candidate_name,candidate_type,model_type,benchmark,n_features,feature_columns,policy_return_sign,policy_return_neutral_3pct,policy_return_tiered,policy_uplift_vs_sell_50_neutral_3pct,avg_hold_neutral_3pct,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value,strategy
ensemble_ridge_gbt,ensemble,ridge+gbt,VEA,25,"ridge_lean_v1,gbt_lean_plus_two",0.06554564439345884,0.06503701147168409,0.03290360224668214,0.03063472053619923,0.7666666666666667,150,0.25956175830036887,0.6066666666666667,0.13452284964391328,0.06743513570401571,0.25956175830036887,0.08151016899379471,
baseline_historical_mean,baseline,baseline,VEA,0,,0.06880458187096972,0.06474795373376073,0.024554089631074295,0.03034566279827588,0.94,150,-0.11992797708552655,0.66,0.14114749498714602,-0.10711426538236535,-0.11992797708552655,0.4600616925637951,historical_mean
live_production_ensemble,live_ensemble,ensemble,VHT,13,,0.02975527679784168,0.030224862058858094,0.008941820077155013,0.009456426579836457,0.5026041666666666,192,0.17816984510213496,0.5885416666666666,0.1416682367866744,-0.41925480334013354,0.17816984510213496,0.14883052610090836,
ridge_lean_v1,model,ridge,VHT,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.024399285064339648,0.03312553292262479,0.013767826819664672,0.012357097443603138,0.3958333333333333,192,0.18165911618696257,0.546875,0.14613660313518465,-0.5983100847477592,0.18165911618696257,0.12002588323179071,
gbt_lean_plus_two,model,gbt,VHT,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",0.03772810745319143,0.038121927838640775,0.01765321600682224,0.017353492359619138,0.625,192,0.21363698210473533,0.625,0.125100447285018,-0.189685152427852,0.21363698210473533,0.08199911956498956,
elasticnet_lean_v1,model,elasticnet,VHT,13,"mom_3m,mom_6m,mom_12m,yield_slope,yield_curvature,credit_spread_hy,nfci,vix,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,medical_cpi_yoy,roe",0.023288290824995783,0.027272601107567133,0.01289367847333628,0.006504165628545487,0.5598958333333334,192,0.0947513015265333,0.5677083333333334,0.14395346018321545,-0.5563808200387332,0.0947513015265333,0.46932178153469545,
ensemble_ridge_gbt,ensemble,ridge+gbt,VHT,25,"ridge_lean_v1,gbt_lean_plus_two",0.03802373666217861,0.03705375903381564,0.012857667640179963,0.016285323554793996,0.4791666666666667,192,0.21838971326262108,0.625,0.12836963684755268,-0.18885183178088516,0.21838971326262108,0.050366601451194544,
baseline_historical_mean,baseline,baseline,VHT,0,,0.027223681721616363,0.03279926723682933,0.012231777938856223,0.01203083175780769,0.609375,192,0.017424110743843677,0.578125,0.1263163216189168,-0.17439369644283453,0.017424110743843677,0.9040209844780058,historical_mean
live_production_ensemble,live_ensemble,ensemble,VPU,13,,0.03875855230713562,0.03852602787556112,0.022917390683021746,0.013791296666356034,0.5260416666666666,192,0.2530247131269837,0.578125,0.13839390303841068,-0.40030970560492385,0.2530247131269837,0.025047222177398732,
ridge_lean_v1,model,ridge,VPU,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.049724961016911116,0.038616935880287424,0.016539528163591506,0.013882204671082343,0.578125,192,0.25197013265333806,0.6354166666666666,0.13463813252836113,-0.3334276533669289,0.25197013265333806,0.03601962893936493,
