candidate_name,candidate_type,model_type,benchmark,n_features,feature_columns,policy_return_sign,policy_return_neutral_3pct,policy_return_tiered,policy_uplift_vs_sell_50_neutral_3pct,avg_hold_neutral_3pct,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value,strategy
baseline_historical_mean,baseline,baseline,VMBS,0,,0.11360403906076227,0.11360403906076227,0.05686623132749132,0.05680201953038114,1.0,120,-0.20392880932476717,0.75,0.12323531713504687,-0.1502628080895121,-0.20392880932476717,0.28240568048713943,historical_mean
live_production_ensemble,live_ensemble,ensemble,BND,13,,0.08151804244281058,0.07972004961108596,0.03690628133230162,0.030105094500003624,0.74,150,0.17145473132139208,0.6466666666666666,0.1312559079313721,-0.3981170248697248,0.17145473132139208,0.16312060713763504,
ridge_lean_v1,model,ridge,BND,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.09263298066431477,0.092386694560886,0.04597448150796958,0.04277173944980364,0.7166666666666667,150,0.43988266145162014,0.7266666666666667,0.1285655119346581,-0.4406650109003325,0.43988266145162014,0.00017404456214897658,
gbt_lean_plus_two,model,gbt,BND,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield,underwriting_income_growth_yoy",0.08401671615147314,0.08425939057880037,0.0420369829831168,0.03464443546771804,0.77,150,0.19614644403420267,0.6333333333333333,0.12869596117401558,-0.25190165527290675,0.19614644403420267,0.07181125743963497,
elasticnet_lean_v1,model,elasticnet,BND,13,"mom_3m,mom_6m,mom_12m,yield_slope,yield_curvature,credit_spread_hy,nfci,vix,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,medical_cpi_yoy,roe",0.07778471983875422,0.08289984522098605,0.03886032254522193,0.03328489010990371,0.76,150,0.1441548645047678,0.6266666666666667,0.12505839084157225,-0.3350644644068226,0.1441548645047678,0.29263149933683585,
ensemble_ridge_gbt,ensemble,ridge+gbt,BND,26,"ridge_lean_v1,gbt_lean_plus_two",0.09476908632203633,0.09463624842699553,0.04467805821656118,0.0450212933159132,0.7533333333333333,150,0.377124316636295,0.7133333333333334,0.11680420752135211,-0.0864468390396862,0.377124316636295,0.0019019340542631214,
baseline_historical_mean,baseline,baseline,BND,0,,0.09922991022216468,0.09915367240042058,0.05054623176914059,0.04953871728933824,0.98,150,-0.008497656200825987,0.7466666666666667,0.11267042251140864,-0.08277969660567464,-0.008497656200825987,0.9617225424806114,historical_mean
live_production_ensemble,live_ensemble,ensemble,GLD,13,,0.034772363540119686,0.040658088846774916,0.02320552507858696,0.010959399355381289,0.5666666666666667,180,0.18360443223556283,0.5722222222222222,0.18143044541907669,-0.6140889693509783,0.18360443223556283,0.1739580285167559,
ridge_lean_v1,model,ridge,GLD,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.04506103311082259,0.04550246621000592,0.020996397311187805,0.015803776718612297,0.6361111111111111,180,0.2595347593032707,0.6222222222222222,0.17574640323598392,-0.527395194210702,0.2595347593032707,0.04824590649789964,
gbt_lean_plus_two,model,gbt,GLD,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield,underwriting_income_growth_yoy",0.04102728684691803,0.043328565187657694,0.021278306418113714,0.013629875696264067,0.5916666666666667,180,0.08697240174336822,0.5555555555555556,0.1868249328430408,-0.5665955696351308,0.08697240174336822,0.4587514529983842,
elasticnet_lean_v1,model,elasticnet,GLD,13,"mom_3m,mom_6m,mom_12m,yield_slope,yield_curvature,credit_spread_hy,nfci,vix,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,medical_cpi_yoy,roe",0.060969269455306056,0.05965739430525079,0.029710408701781207,0.02995870481385717,0.6138888888888889,180,0.2073661819563422,0.6666666666666666,0.17747466024361877,-0.5998297670590829,0.2073661819563422,0.15183479944466732,
ensemble_ridge_gbt,ensemble,ridge+gbt,GLD,26,"ridge_lean_v1,gbt_lean_plus_two",0.042512427525905255,0.04184996472714327,0.02658532844388789,0.012151275235749649,0.6194444444444445,180,0.19236396185067436,0.5888888888888889,0.17206116752306544,-0.41592260027819417,0.19236396185067436,0.12834603379597495,
baseline_historical_mean,baseline,baseline,GLD,0,,0.04405486911514089,0.044251514049328575,0.017634846247752852,0.014552824557934956,0.7833333333333333,180,0.04827448476072604,0.6222222222222222,0.15661973082026462,-0.2138246908156638,0.04827448476072604,0.730274900498993,historical_mean
live_production_ensemble,live_ensemble,ensemble,DBC,13,,0.08504890962333084,0.08341720905081865,0.04405748903719485,0.0326003650811305,0.8005952380952381,168,0.06644276957496673,0.6428571428571429,0.20190135507810755,-1.1769669803641611,0.06644276957496673,0.5825960461072688,
ridge_lean_v1,model,ridge,DBC,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.07194425610954636,0.07322841565809138,0.042724740143480044,0.022411571688403242,0.8184523809523809,168,-0.011431912168899735,0.6190476190476191,0.22002672756463598,-1.8851341789706435,-0.011431912168899735,0.9302758810672411,
