experiment_mode,model_type,feature,feature_in_baseline,horizon_months,n_benchmarks,mean_n_features,mean_ic,median_ic,mean_hit_rate,mean_oos_r2,mean_mae,mean_delta_ic,median_delta_ic,mean_delta_hit_rate,mean_delta_oos_r2,mean_delta_mae,positive_delta_ic_rate,positive_delta_oos_r2_rate,gate_pass_rate
drop_from_baseline,bayesian_ridge,yield_curvature,True,6,8,15.0,0.233111792390159,0.22483661551659934,0.5685144014982725,-5.895423700287321,0.21362741825166903,0.008141924528804217,0.006692727973675025,0.01896654006948125,1.3027755814986093,-0.0055647074075955635,0.625,0.5,0.0
drop_from_baseline,bayesian_ridge,mom_3m,True,6,8,15.0,0.22360297074828644,0.28109767079294123,0.5840542463716087,-22.551348844040625,0.24491969624032126,-0.0013668971130683365,0.010515106611034095,0.03450638494281758,-15.353149562254693,0.025727570581056652,0.625,0.25,0.0
drop_from_baseline,bayesian_ridge,buyback_acceleration,True,6,8,15.0,0.22001595645909297,0.2196392355785145,0.5408670530112656,-13.257773865796533,0.24096642876797242,-0.004953911402261826,-0.0020108577143538586,-0.008680808417525686,-6.059574584010605,0.021774303108707843,0.5,0.375,0.0
drop_from_baseline,bayesian_ridge,vol_63d,True,6,8,15.0,0.21942236103134025,0.22543752314725873,0.5588034903974184,-6.384051548270952,0.21587003878636785,-0.005547506830014563,0.01253732208921203,0.009255628968627083,0.8141477335149783,-0.0033220868728967706,0.5,0.75,0.0
drop_from_baseline,bayesian_ridge,vix,True,6,8,15.0,0.20937614103917856,0.21971011931618745,0.5475396126676961,-6.794001968450974,0.22008564460568003,-0.015593726822176237,-0.01771090491778149,-0.002008248761095059,0.4041973133349559,0.0008935189464154177,0.125,0.5,0.0
drop_from_baseline,bayesian_ridge,buyback_yield,True,6,8,15.0,0.20756395736773708,0.21098826007129273,0.5272336710524566,-4.333299969162399,0.20045661890327832,-0.0174059104936177,-0.013937222385376764,-0.022314190376334593,2.864899312623531,-0.018735506755986266,0.125,0.875,0.0
drop_from_baseline,bayesian_ridge,nfci,True,6,8,15.0,0.200229172885807,0.25238736096982883,0.5736441066303495,-9.44403189457771,0.22496536997712585,-0.024740694975547803,-0.02130445652495483,0.0240962452015583,-2.245832612791781,0.0057732443178612446,0.375,0.375,0.0
drop_from_baseline,bayesian_ridge,mom_12m,True,6,8,15.0,0.19659309151905763,0.2543829290074474,0.5524593117785718,-11.761075135706307,0.22203218523820656,-0.028376776342297187,-0.015144423058768605,0.002911450349780534,-4.562875853920376,0.002840059578941949,0.25,0.25,0.0
drop_from_baseline,bayesian_ridge,credit_spread_hy,True,6,8,15.0,0.19226297473758597,0.22184433834438494,0.5329467845454563,-7.488375555285426,0.2291326035036118,-0.032706893123768815,-0.01755624533089785,-0.016601076883334932,-0.29017627349949565,0.009940477844347238,0.25,0.375,0.0
drop_from_baseline,bayesian_ridge,combined_ratio_ttm,True,6,8,15.0,0.19181969261936652,0.21596122528060216,0.5525046203698956,-5.069217214260116,0.21008201589223996,-0.033150175241988274,-0.03873714933322016,0.0029567589411043094,2.1289820675258144,-0.009110109767024643,0.25,0.5,0.0
