universe_name,benchmark,horizon_months,candidate_type,candidate_name,policy_name,n_obs,avg_hold_fraction,mean_policy_return,median_policy_return,cumulative_policy_return,positive_utility_rate,regret_vs_oracle,uplift_vs_sell_all,uplift_vs_sell_50,uplift_vs_hold_all,capture_ratio
balanced_core7,VXUS,6,model,ridge,tiered_25_50_100,102,0.3946078431372549,0.02808609675756186,0.0,2.8647818692713094,0.49019607843137253,0.09432489185982841,0.02808609675756186,-0.0111592159979697,-0.05040452875350126,0.22944097645798944
balanced_core7,VXUS,6,model,bayesian_ridge,sign_hold_vs_sell,102,0.5392156862745098,0.036240038288427874,0.0,3.696483905419643,0.3431372549019608,0.08617095032896241,0.036240038288427874,-0.003005274467103682,-0.04225058722263525,0.29605216572264037
balanced_core7,VXUS,6,model,bayesian_ridge,tiered_25_50_100,102,0.2696078431372549,0.02854308887312884,0.0,2.911395065059142,0.30392156862745096,0.09386789974426143,0.02854308887312884,-0.010702223882402722,-0.04994753663793429,0.233174237015139
balanced_core7,VXUS,6,model,gbt,sign_hold_vs_sell,102,0.9215686274509803,0.07470636309876993,0.1076539974639949,7.620049036074533,0.6470588235294118,0.047704625518620355,0.07470636309876993,0.03546105034323837,-0.0037842624122931966,0.6102913140606464
balanced_core7,VXUS,6,model,gbt,tiered_25_50_100,102,0.44362745098039214,0.039619575355252644,0.023575208271110565,4.04119668623577,0.5294117647058824,0.08279141326213763,0.039619575355252644,0.0003742625997210865,-0.03887105015581047,0.3236602841194937
balanced_core7,VXUS,6,ensemble,ensemble,sign_hold_vs_sell,102,0.9019607843137255,0.0747379239101086,0.1035399723017903,7.623268238831077,0.6372549019607843,0.0476730647072817,0.0747379239101086,0.03549261115457702,-0.0037527016009545355,0.6105491406797688
balanced_core7,VXUS,6,ensemble,ensemble,tiered_25_50_100,102,0.34558823529411764,0.021124664130000744,0.0,2.154715741260076,0.38235294117647056,0.10128632448738954,0.021124664130000744,-0.01812064862553082,-0.057365961381062376,0.1725716324049006
balanced_core7,VEA,6,heuristic,always_sell_100,always_sell_100,217,0.0,0.0,0.0,0.0,0.0,0.09875907624415774,0.0,-0.030998998318854568,-0.061997996637709135,0.0
balanced_core7,VEA,6,heuristic,always_sell_50,always_sell_50,217,0.5,0.030998998318854568,0.03996371158760792,6.726782635191441,0.6543778801843319,0.06776007792530317,0.030998998318854568,0.0,-0.030998998318854568,0.31388505743226175
balanced_core7,VEA,6,heuristic,always_hold_100,always_hold_100,217,1.0,0.061997996637709135,0.07992742317521584,13.453565270382882,0.6543778801843319,0.036761079606448616,0.061997996637709135,0.030998998318854568,0.0,0.6277701148645235
balanced_core7,VEA,6,baseline,historical_mean,sign_hold_vs_sell,144,1.0,0.07621055564082996,0.11737222485808424,10.974320012279513,0.6875,0.0383497565741815,0.07621055564082996,0.03810527782041498,0.0,0.6652439589881258
balanced_core7,VEA,6,baseline,historical_mean,tiered_25_50_100,144,0.3333333333333333,0.023395571626712977,0.0,3.368962314246669,0.4375,0.09116474058829846,0.023395571626712977,-0.014709706193701995,-0.05281498401411697,0.20422056447265285
balanced_core7,VEA,6,baseline,last_value,sign_hold_vs_sell,144,0.7916666666666666,0.051176180142967716,0.026708528600707382,7.369369940587351,0.5208333333333334,0.06338413207204373,0.051176180142967716,0.013070902322552744,-0.025034375497862228,0.4467182321126901
balanced_core7,VEA,6,baseline,last_value,tiered_25_50_100,144,0.4166666666666667,0.019489583313973977,0.0,2.8064999972122524,0.4305555555555556,0.09507072890103746,0.019489583313973977,-0.018615694506441,-0.056720972326855974,0.17012508902206147
balanced_core7,VEA,6,baseline,zero,sign_hold_vs_sell,144,0.0,0.0,0.0,0.0,0.0,0.11456031221501142,0.0,-0.03810527782041498,-0.07621055564082996,0.0
balanced_core7,VEA,6,baseline,zero,tiered_25_50_100,144,0.0,0.0,0.0,0.0,0.0,0.11456031221501142,0.0,-0.03810527782041498,-0.07621055564082996,0.0
balanced_core7,VEA,6,model,elasticnet,sign_hold_vs_sell,144,0.8263888888888888,0.0672387586739379,0.06871897700505525,9.682381249047058,0.5833333333333334,0.04732155354107354,0.0672387586739379,0.029133480853522933,-0.008971796966892038,0.5869289056033776
balanced_core7,VEA,6,model,elasticnet,tiered_25_50_100,144,0.2743055555555556,0.01611387672826393,0.0,2.320398248870006,0.3125,0.09844643548674752,0.01611387672826393,-0.021991401092151044,-0.060096678912566016,0.14065845681374153
balanced_core7,VEA,6,model,ridge,sign_hold_vs_sell,144,0.7986111111111112,0.05444473369107439,0.018605324961504577,7.840041651514712,0.5277777777777778,0.060115578523937056,0.05444473369107439,0.01633945587065942,-0.021765821949755553,0.47524952261731196
balanced_core7,VEA,6,model,ridge,tiered_25_50_100,144,0.3298611111111111,0.022073676351777902,0.0,3.178609394656018,0.3958333333333333,0.09248663586323354,0.022073676351777902,-0.016031601468637066,-0.05413687928905204,0.1926817056010561
balanced_core7,VEA,6,model,bayesian_ridge,sign_hold_vs_sell,144,0.6111111111111112,0.04643050319404253,0.0,6.685992459942124,0.4027777777777778,0.06812980902096892,0.04643050319404253,0.008325225373627555,-0.029780052446787417,0.40529309231367916
balanced_core7,VEA,6,model,bayesian_ridge,tiered_25_50_100,144,0.2934027777777778,0.02938747072905211,0.0,4.231795784983504,0.3472222222222222,0.08517284148595933,0.02938747072905211,-0.00871780709136286,-0.04682308491177783,0.25652401046093976
balanced_core7,VEA,6,model,gbt,sign_hold_vs_sell,144,0.8541666666666666,0.06792995773093462,0.07155939867360273,9.781913913254584,0.5763888888888888,0.04663035448407683,0.06792995773093462,0.02982467991051964,-0.008280597909895333,0.592962400481599
balanced_core7,VEA,6,model,gbt,tiered_25_50_100,144,0.3680555555555556,0.02685493940450325,0.0,3.8671112742484683,0.4305555555555556,0.08770537281050819,0.02685493940450325,-0.011250338415911719,-0.049355616236326685,0.234417477442806
balanced_core7,VEA,6,ensemble,ensemble,sign_hold_vs_sell,144,0.8611111111111112,0.06816842503800762,0.07301773812619283,9.816253205473096,0.5902777777777778,0.04639188717700383,0.06816842503800762,0.030063147217592647,-0.008042130602822325,0.5950439879219809
balanced_core7,VEA,6,ensemble,ensemble,tiered_25_50_100,144,0.3177083333333333,0.020738135765509105,0.0,2.986291550233311,0.3611111111111111,0.09382217644950235,0.020738135765509105,-0.017367142054905867,-0.05547241987532084,0.1810237364453663
balanced_core7,VHT,6,heuristic,always_sell_100,always_sell_100,259,0.0,0.0,0.0,0.0,0.0,0.07312807406414455,0.0,-0.005720167902374188,-0.011440335804748377,0.0
balanced_core7,VHT,6,heuristic,always_sell_50,always_sell_50,259,0.5,0.005720167902374188,0.008726475214687779,1.4815234867149147,0.5405405405405406,0.06740790616177038,0.005720167902374188,0.0,-0.005720167902374188,0.07822123002113691
balanced_core7,VHT,6,heuristic,always_hold_100,always_hold_100,259,1.0,0.011440335804748377,0.017452950429375558,2.9630469734298295,0.5405405405405406,0.06168773825939619,0.011440335804748377,0.005720167902374188,0.0,0.15644246004227383
balanced_core7,VHT,6,baseline,historical_mean,sign_hold_vs_sell,186,0.5483870967741935,0.031368873913757214,0.0,5.834610547958842,0.3655913978494624,0.05017367324104377,0.031368873913757214,0.012016832460097718,-0.007335208993561779,0.3846933289219714
balanced_core7,VHT,6,baseline,historical_mean,tiered_25_50_100,186,0.1935483870967742,0.013180306968102158,0.0,2.4515370960670015,0.27419354838709675,0.06836224018669883,0.013180306968102158,-0.006171734485557338,-0.02552377593921683,0.16163717504532407
