experiment_mode,feature,feature_in_baseline,benchmark,horizon_months,model_type,n_features,feature_columns,gate_status,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value
add_to_baseline,ppi_auto_ins_yoy,False,VHT,6,ridge,15,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,ppi_auto_ins_yoy",FAIL,186,0.08167598338376326,0.5645161290322581,0.13867142620421352,-0.5692589119255531,0.08167598338376326,0.5549510711040353
single_feature,pgr_vs_kie_6m,False,VHT,6,ridge,1,pgr_vs_kie_6m,FAIL,186,0.10175075263567412,0.6075268817204301,0.1207656930948997,-0.09861496569536277,0.10175075263567412,0.4727709865971262
add_to_baseline,pgr_vs_kie_6m,False,VHT,6,ridge,15,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,pgr_vs_kie_6m",FAIL,186,0.09531770860044105,0.5591397849462365,0.14026191798192086,-0.6029409941392905,0.09531770860044105,0.4895371435384046
single_feature,pgr_vs_peers_6m,False,VHT,6,ridge,1,pgr_vs_peers_6m,FAIL,186,0.10005925826909498,0.5860215053763441,0.12109175371497595,-0.09848152992645831,0.10005925826909498,0.4804327910885618
add_to_baseline,pgr_vs_peers_6m,False,VHT,6,ridge,15,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,pgr_vs_peers_6m",FAIL,186,0.10719524078157854,0.5698924731182796,0.13818862946185262,-0.5503898185613911,0.10719524078157854,0.42339791271521743
single_feature,pgr_vs_vfh_6m,False,VHT,6,ridge,1,pgr_vs_vfh_6m,FAIL,186,0.09564869137057283,0.6021505376344086,0.12171544884583119,-0.11189274549462258,0.09564869137057283,0.49834064009551493
add_to_baseline,pgr_vs_vfh_6m,False,VHT,6,ridge,15,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,pgr_vs_vfh_6m",FAIL,186,0.11093809006522479,0.5591397849462365,0.13948417985509373,-0.5968225120002628,0.11093809006522479,0.4188791700269147
baseline,__baseline__,True,VHT,6,bayesian_ridge,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",FAIL,186,0.2477096727571111,0.6021505376344086,0.17405004319616985,-1.2020456528491383,0.2477096727571111,0.01858548790400545
single_feature,mom_3m,True,VHT,6,bayesian_ridge,1,mom_3m,FAIL,186,-0.010392141321932592,0.553763440860215,0.13630360695401544,-0.34120714646623806,-0.010392141321932592,0.9388391731982395
drop_from_baseline,mom_3m,True,VHT,6,bayesian_ridge,15,"mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",FAIL,186,0.2853750075761461,0.6612903225806451,0.19421359995489598,-6.241368698116131,0.2853750075761461,0.00627219037296638
