date,benchmark,model_type,predicted,realized,slice_pre_2020,slice_2020_2021,slice_post_2022,slice_trailing_36m,vix,slice_low_vix,slice_high_vix
2014-03-31,VTI,elasticnet,-0.007947613601820959,-0.003102266054282765,True,False,False,False,18.41,True,False
2014-04-30,VTI,elasticnet,-0.005704821239548385,0.03077700021619756,True,False,False,False,14.0,True,False
2014-05-30,VTI,elasticnet,0.04257496145240364,0.008590420047044356,True,False,False,False,14.0,True,False
2014-06-30,VTI,elasticnet,-0.06648620730608408,0.0036548388077008997,True,False,False,False,13.41,True,False
2014-07-31,VTI,elasticnet,-0.018414115951614088,0.05352401671541984,True,False,False,False,11.4,True,False
2014-08-29,VTI,elasticnet,-0.01860116557451543,0.033608623788716985,True,False,False,False,11.4,True,False
2014-09-30,VTI,elasticnet,-0.01649156170789383,0.030583012080503513,True,False,False,False,16.95,True,False
2014-10-31,VTI,elasticnet,-0.01649156170789383,-0.022569022246569093,True,False,False,False,11.98,True,False
2014-11-28,VTI,elasticnet,-0.01649156170789383,-0.017002365338863124,True,False,False,False,11.98,True,False
2014-12-31,VTI,elasticnet,-0.01649156170789383,0.05177861865881872,True,False,False,False,14.03,True,False
2015-01-30,VTI,elasticnet,-0.01649156170789383,0.15422526374862833,True,False,False,False,14.03,True,False
2015-02-27,VTI,elasticnet,-0.01649156170789383,0.17810032816250654,True,False,False,False,13.33,True,False
2015-03-31,VTI,elasticnet,-0.011320899239891274,0.19382280817425934,True,False,False,False,20.97,False,True
2015-04-30,VTI,elasticnet,-0.011320899239891274,0.2545252253995002,True,False,False,False,13.34,True,False
2015-05-29,VTI,elasticnet,-0.011320899239891274,0.1443578263482176,True,False,False,False,13.34,True,False
2015-06-30,VTI,elasticnet,-0.011320899239891274,0.1541990481143587,True,False,False,False,14.55,True,False
2015-07-31,VTI,elasticnet,-0.011320899239891274,0.11140180391956023,True,False,False,False,13.84,True,False
2015-08-31,VTI,elasticnet,-0.011320899239891274,0.12611452827585667,True,False,False,False,18.23,True,False
2015-09-30,VTI,elasticnet,-0.014796957324525444,0.119270162776693,True,False,False,False,12.12,True,False
2015-10-30,VTI,elasticnet,-0.014796957324525444,0.011300267802826891,True,False,False,False,12.12,True,False
2015-11-30,VTI,elasticnet,-0.014796957324525444,0.09072175707194874,True,False,False,False,24.5,False,True
2015-12-31,VTI,elasticnet,-0.014796957324525444,0.018022193495523142,True,False,False,False,15.07,True,False
2016-01-29,VTI,elasticnet,-0.014796957324525444,-0.07347219134153371,True,False,False,False,15.07,True,False
2016-02-29,VTI,elasticnet,-0.014796957324525444,-0.13153541702373905,True,False,False,False,18.21,True,False
2016-03-31,VTI,elasticnet,-0.003921706398889786,-0.18263436913453568,True,False,False,False,20.2,False,True
2016-04-29,VTI,elasticnet,0.01206413693891933,-0.07593215472954584,True,False,False,False,20.2,False,True
2016-05-31,VTI,elasticnet,0.007239622423697406,-0.07057752368254522,True,False,False,False,13.95,True,False
2016-06-30,VTI,elasticnet,0.02050729806089787,-0.00022222337452681984,True,False,False,False,15.7,True,False
2016-07-29,VTI,elasticnet,0.017646824521565404,0.09653153944542736,True,False,False,False,15.7,True,False
2016-08-31,VTI,elasticnet,0.028738003428331063,0.12711207761207888,True,False,False,False,15.63,True,False
2016-09-30,VTI,elasticnet,0.014080115407732074,0.1864713425775908,True,False,False,False,11.87,True,False
2016-10-31,VTI,elasticnet,0.014080115407732074,0.1463234995453595,True,False,False,False,13.42,True,False
2016-11-30,VTI,elasticnet,0.014080115407732074,0.19228626745714794,True,False,False,False,13.29,True,False
2016-12-30,VTI,elasticnet,0.014080115407732074,0.17520734399199434,True,False,False,False,13.29,True,False
2017-01-31,VTI,elasticnet,0.014080115407732074,0.18147149196836887,True,False,False,False,13.33,True,False
2017-02-28,VTI,elasticnet,0.014080115407732074,0.20235221009517135,True,False,False,False,14.04,True,False
2017-03-31,VTI,elasticnet,-0.06570593971407963,0.15872351240293647,True,False,False,False,11.99,True,False
2017-04-28,VTI,elasticnet,-0.06337878651348217,0.13966570929386357,True,False,False,False,11.99,True,False
2017-05-31,VTI,elasticnet,-0.03483124281570219,0.1353818761275274,True,False,False,False,12.37,True,False
2017-06-30,VTI,elasticnet,-0.1631287584827728,0.1643644319318951,True,False,False,False,10.82,True,False
2017-07-31,VTI,elasticnet,-0.10041125094081844,-0.007169124862172582,True,False,False,False,10.41,True,False
2017-08-31,VTI,elasticnet,-0.11902846361262907,0.08280773658605112,True,False,False,False,11.18,True,False
2017-09-29,VTI,elasticnet,0.0196523694835088,0.22697249810894315,True,False,False,False,11.18,True,False
2017-10-31,VTI,elasticnet,0.0196523694835088,0.22803218937333303,True,False,False,False,10.59,True,False
2017-11-30,VTI,elasticnet,0.0196523694835088,0.16944092656350307,True,False,False,False,9.51,True,False
2017-12-29,VTI,elasticnet,0.0196523694835088,0.04018228572440519,True,False,False,False,9.51,True,False
2018-01-31,VTI,elasticnet,0.0196523694835088,0.1173287204319533,True,False,False,False,11.28,True,False
2018-02-28,VTI,elasticnet,0.0196523694835088,0.09536800406787127,True,False,False,False,11.04,True,False
2018-03-30,VTI,elasticnet,0.04186664798684677,0.05333510258746643,True,False,False,False,11.04,True,False
2018-04-30,VTI,elasticnet,0.04186664798684677,0.11935708350256513,True,False,False,False,19.85,True,False
2018-05-31,VTI,elasticnet,0.04186664798684677,0.04878066056873287,True,False,False,False,19.97,True,False
2018-06-29,VTI,elasticnet,0.04186664798684677,0.09856938142568572,True,False,False,False,19.97,True,False
2018-07-31,VTI,elasticnet,0.04186664798684677,0.14095284735829172,True,False,False,False,15.43,True,False
2018-08-31,VTI,elasticnet,0.04186664798684677,0.14286842941524602,True,False,False,False,16.09,True,False
2018-09-28,VTI,elasticnet,0.13276211291439377,0.09873053682915656,True,False,False,False,16.09,True,False
2018-10-31,VTI,elasticnet,0.09727809807340246,0.044555100912424095,True,False,False,False,12.86,True,False
2018-11-30,VTI,elasticnet,0.04600342388488543,0.22376066331355093,True,False,False,False,12.12,True,False
2018-12-31,VTI,elasticnet,0.10330081466508606,0.1951624485287744,True,False,False,False,21.23,False,True
2019-01-31,VTI,elasticnet,0.020744746243650497,0.16062170131210052,True,False,False,False,18.07,True,False
2019-02-28,VTI,elasticnet,-0.029771164902466757,0.02268264043209034,True,False,False,False,25.42,False,True
2019-03-29,VTI,elasticnet,-0.14547672145132004,0.02508628695949411,True,False,False,False,25.42,False,True
2019-04-30,VTI,elasticnet,-0.1412749712298176,-0.11848568637905044,True,False,False,False,14.78,True,False
2019-05-31,VTI,elasticnet,-0.16120512841546786,-0.22304691027169565,True,False,False,False,13.71,True,False
2019-06-28,VTI,elasticnet,-0.17168177626208864,-0.19915368166314784,True,False,False,False,13.71,True,False
2019-07-31,VTI,elasticnet,-0.19111567674264993,-0.0493778960490181,True,False,False,False,18.71,True,False
2019-08-30,VTI,elasticnet,-0.16926024505087306,-0.022484135147471163,True,False,False,False,18.71,True,False
2019-09-30,VTI,elasticnet,0.0849007773028403,0.13167479355504985,True,False,False,False,16.12,True,False
2019-10-31,VTI,elasticnet,0.0849007773028403,0.3023562338994146,True,False,False,False,18.98,True,False
2019-11-29,VTI,elasticnet,0.0849007773028403,0.127554710256495,True,False,False,False,18.98,True,False
2019-12-31,VTI,elasticnet,0.0849007773028403,0.1795738432456757,True,False,False,False,13.22,True,False
2020-01-31,VTI,elasticnet,0.0849007773028403,0.10032563597578803,False,True,False,False,12.62,True,False
2020-02-28,VTI,elasticnet,0.0849007773028403,0.09113484350796242,False,True,False,False,12.62,True,False
2020-03-31,VTI,elasticnet,0.0807373560156069,-0.06413786280602674,False,True,False,False,18.84,True,False
2020-04-30,VTI,elasticnet,0.0807373560156069,-0.07754914308297112,False,True,False,False,40.11,False,True
2020-05-29,VTI,elasticnet,0.0807373560156069,-0.09363834890489597,False,True,False,False,40.11,False,True
2020-06-30,VTI,elasticnet,0.0807373560156069,-0.013571290683149995,False,True,False,False,34.15,False,True
2020-07-31,VTI,elasticnet,0.0807373560156069,-0.1704037248978254,False,True,False,False,27.51,False,True
2020-08-31,VTI,elasticnet,0.0807373560156069,-0.17401339632766688,False,True,False,False,30.43,False,True
2020-09-30,VTI,elasticnet,0.08972693378397555,-0.16810748976187395,False,True,False,False,24.46,False,True
2020-10-30,VTI,elasticnet,0.08972693378397555,-0.1612320331928747,False,True,False,False,24.46,False,True
2020-11-30,VTI,elasticnet,0.08972693378397555,0.00633522290443711,False,True,False,False,26.37,False,True
2020-12-31,VTI,elasticnet,0.08972693378397555,-0.12459922903825116,False,True,False,False,38.02,False,True
2021-01-29,VTI,elasticnet,0.08972693378397555,-0.09132238789619151,False,True,False,False,38.02,False,True
2021-02-26,VTI,elasticnet,0.08972693378397555,-0.009856802066744441,False,True,False,False,20.57,False,True
2021-03-31,VTI,elasticnet,0.04586287420668494,-0.15596520063402475,False,True,False,False,33.09,False,True
2021-04-30,VTI,elasticnet,0.0760419907294411,-0.1542814565024484,False,True,False,False,27.95,False,True
2021-05-31,VTI,elasticnet,0.07860012359111493,-0.13217203573231973,False,True,False,False,19.4,True,False
2021-06-30,VTI,elasticnet,0.09516674354891018,-0.021628565809641787,False,True,False,False,18.61,True,False
2021-07-30,VTI,elasticnet,0.09484951143677398,0.17556919598054244,False,True,False,False,18.61,True,False
