horizon_months,model_name,target_kind,n_obs,fold_count,n_features,target_mae,target_rmse,growth_mae,growth_rmse,future_bvps_mae,future_bvps_rmse,directional_hit_rate,spearman_ic,mean_predicted_growth,mean_realized_growth,target_variant,feature_block
6,ridge_bridge,growth,174,29,26,0.8515795656770054,4.196072828578429,0.8515795656770054,4.196072828578429,34.29352902438986,176.62018624288484,0.7413793103448276,0.06580483498960676,0.8300073313955335,0.06650965268783703,raw,bridge_combined
6,elastic_net_bridge,growth,174,29,26,7.528788403513595,40.12777510953417,7.528788403513595,40.12777510953417,312.05692714780184,1691.7988340032434,0.5574712643678161,0.19126171018536972,7.453282812470237,0.06650965268783703,raw,bridge_combined
12,no_change_bvps,growth,162,27,0,0.16540498484730423,0.2043396711633203,0.16540498484730423,0.2043396711633203,4.047777777777778,5.9153957946537625,0.08641975308641975,,0.0,0.1461869215335706,raw,baseline
12,drift_bvps_growth,growth,162,27,0,0.12735813400621035,0.16235504323614913,0.12735813400621035,0.16235504323614913,3.1901609136861504,4.727333524763753,0.8395061728395061,0.026369591028651083,0.09467880504640129,0.1461869215335706,raw,baseline
12,trailing_3m_growth,growth,162,27,0,0.13513264444420592,0.20436133544771995,0.13513264444420592,0.20436133544771995,3.62876404224732,6.059726744345973,0.8024691358024691,0.017150402391384892,0.10710079814776048,0.1461869215335706,raw,baseline
12,seasonal_month_drift,growth,162,27,0,0.132901565562094,0.16733445870199912,0.132901565562094,0.16733445870199912,3.2999970009231765,4.867640347518289,0.8395061728395061,-0.14818489971370505,0.09264499647442817,0.1461869215335706,raw,baseline
12,ridge_bridge,growth,162,27,9,0.1288275254306709,0.16535303006351326,0.1288275254306709,0.16535303006351326,3.281808425420566,4.8935757087412854,0.8395061728395061,0.05650183964401089,0.09481111243517941,0.1461869215335706,raw,bvps_lags
12,elastic_net_bridge,growth,162,27,9,0.24639161283942246,0.32361359517040944,0.24639161283942246,0.32361359517040944,6.884000587109037,11.170567028483122,0.5,-0.1773298276365761,0.07023158095818409,0.1461869215335706,raw,bvps_lags
12,ridge_bridge,growth,162,27,11,0.3552936545934005,1.2343604931492076,0.3552936545934005,1.2343604931492076,13.958232827799824,57.43181824690142,0.845679012345679,0.05396430229719106,0.34343921897375196,0.1461869215335706,raw,accounting_core
12,elastic_net_bridge,growth,162,27,11,0.5462856446405765,1.9863687089430722,0.5462856446405765,1.9863687089430722,21.515690271653064,92.3371816615528,0.8271604938271605,-0.2069955868302094,0.5151848137524186,0.1461869215335706,raw,accounting_core
12,ridge_bridge,growth,162,27,6,0.6280272722801323,2.6222400609593315,0.6280272722801323,2.6222400609593315,26.59704312874049,122.88617837958357,0.8395061728395061,0.006075694259209863,0.600931260285945,0.1461869215335706,raw,logical_interactions
12,elastic_net_bridge,growth,162,27,6,5.786575171847466,29.18863382197089,5.786575171847466,29.18863382197089,266.828282425268,1369.199735782978,0.808641975308642,-0.49493127620628286,5.694318068091579,0.1461869215335706,raw,logical_interactions
12,ridge_bridge,growth,162,27,26,0.8460451482118846,3.768907738930638,0.8460451482118846,3.768907738930638,36.90309364711243,176.52344075853196,0.8580246913580247,0.0244566099460738,0.8313960946211315,0.1461869215335706,raw,bridge_combined
12,elastic_net_bridge,growth,162,27,26,2.065838030051931,9.533041951754111,2.065838030051931,9.533041951754111,91.58058424983105,445.4980464191292,0.6666666666666666,-0.26042500222281495,1.851523438824267,0.1461869215335706,raw,bridge_combined
1,no_change_bvps,growth,186,31,0,0.019952744214944057,0.030000524882743736,0.019952744214944057,0.030000524882743736,0.8731413978494624,1.8919341673257626,0.20430107526881722,,0.0,0.011555575274616441,persistent,baseline
1,drift_bvps_growth,growth,186,31,0,0.016699129478358582,0.028076475593924656,0.016699129478358582,0.028076475593924656,0.754070962104808,1.8210876242714362,0.7526881720430108,-0.02942059006199104,0.00921989539099302,0.011555575274616441,persistent,baseline
