feature_group,benchmark,model_type,horizon_months,n_obs,n_features,ic,hit_rate,mae,oos_r2
C_plus_edgar_core,VFH,elasticnet,6,259,16,0.006504812702991899,0.45698924731182794,0.16585602737191635,-0.9514465951720383
C_plus_edgar_core,VFH,gbt,6,259,16,0.06976752860522194,0.5645161290322581,0.14631822377807616,-0.5607459127873846
C_plus_edgar_core,BND,elasticnet,6,221,16,-0.08690148038626665,0.6,0.15653323843216066,-1.1625488983533843
C_plus_edgar_core,BND,gbt,6,221,16,0.12037441997382106,0.64,0.14079338782061793,-0.5146112212775458
C_plus_edgar_core,VHT,elasticnet,6,259,16,0.11911709019291018,0.5645161290322581,0.1518153136739574,-0.5647921109780343
C_plus_edgar_core,VHT,gbt,6,259,16,0.1570454153466848,0.6075268817204301,0.12998564756020745,-0.2521200510900661
C_plus_edgar_core,GLD,elasticnet,6,250,16,0.05081481105982759,0.5944444444444444,0.20534494222636349,-1.3468464642732676
C_plus_edgar_core,GLD,gbt,6,250,16,0.04088213052993242,0.5444444444444444,0.18799350531212186,-0.6246508643547297
C_plus_edgar_core,VNQ,elasticnet,6,251,16,0.10886860333710975,0.5666666666666667,0.1782710842543983,-1.0889607116976352
C_plus_edgar_core,VNQ,gbt,6,251,16,0.1164252137200024,0.5611111111111111,0.17170076161962874,-0.9368069978073823
C_plus_edgar_core,VXUS,elasticnet,6,175,16,-0.08257156452818055,0.5294117647058824,0.19365322419710856,-0.8031298197917238
C_plus_edgar_core,VXUS,gbt,6,175,16,-0.07049596545708445,0.5686274509803921,0.16821849043846243,-0.35288823101430444
D_plus_v60,VTI,elasticnet,6,291,23,-0.0049267514069660946,0.44594594594594594,0.19999178003288628,-2.0890781647268626
D_plus_v60,VTI,gbt,6,291,23,0.04684174418062022,0.5180180180180181,0.15527611904954675,-0.6918660723313486
D_plus_v60,VOO,elasticnet,6,180,23,-0.15397156736508125,0.3888888888888889,0.2061214416093622,-1.3888905573699102
D_plus_v60,VOO,gbt,6,180,23,0.07544329725223245,0.5185185185185185,0.15347549849740383,-0.3231130226728578
D_plus_v60,VFH,elasticnet,6,259,23,-0.01615030861662839,0.4731182795698925,0.1869952271170678,-1.5934647142182001
D_plus_v60,VFH,gbt,6,259,23,0.08277017025311668,0.5268817204301075,0.15095765092848398,-0.5955832050661407
D_plus_v60,BND,elasticnet,6,221,23,-0.06696007989730451,0.5933333333333334,0.14324521199659682,-0.7987265395658063
D_plus_v60,BND,gbt,6,221,23,0.1690266296996002,0.6333333333333333,0.13353721653708514,-0.39290357251226404
D_plus_v60,VHT,elasticnet,6,259,23,0.07663102985399538,0.5752688172043011,0.17510831935808163,-1.709795566965207
D_plus_v60,VHT,gbt,6,259,23,0.19681940248619417,0.6236559139784946,0.13699157869228426,-0.47648577720248464
D_plus_v60,GLD,elasticnet,6,250,23,0.08732866520797959,0.5944444444444444,0.1985446762525553,-1.2643377748877902
D_plus_v60,GLD,gbt,6,250,23,0.07289357127153494,0.5888888888888889,0.18587229295612318,-0.6842278199098575
D_plus_v60,VNQ,elasticnet,6,251,23,0.07961236741061678,0.5333333333333333,0.19284192445012896,-1.4159459135155998
D_plus_v60,VNQ,gbt,6,251,23,0.17794010602265212,0.5888888888888889,0.1644195972342715,-0.814129441924992
D_plus_v60,VXUS,elasticnet,6,175,23,-0.16468333997973605,0.5392156862745098,0.19074769773734576,-0.7310837259607175
D_plus_v60,VXUS,gbt,6,175,23,0.015645939236984808,0.5196078431372549,0.16655836248043793,-0.2756491327149697
E_plus_v63_v64,VTI,elasticnet,6,291,36,0.028486614442806358,0.4594594594594595,0.24121068327889797,-4.761773849577776
E_plus_v63_v64,VTI,gbt,6,291,36,-0.005214797103345267,0.49099099099099097,0.15625559764372135,-0.7837726997153946
E_plus_v63_v64,VOO,elasticnet,6,180,36,-0.09036606113756025,0.3888888888888889,0.26929208967822205,-4.859682605636295
E_plus_v63_v64,VOO,gbt,6,180,36,0.022755258318137742,0.4166666666666667,0.1774052411436624,-0.760402057624179
E_plus_v63_v64,VFH,elasticnet,6,259,36,0.10483231044364666,0.5268817204301075,0.19181303729459956,-2.0406178504908463
E_plus_v63_v64,VFH,gbt,6,259,36,0.006072126078704228,0.489247311827957,0.15142552314761448,-0.5796879064586136
E_plus_v63_v64,BND,elasticnet,6,221,36,0.018262063605849935,0.58,0.14784031334992154,-0.8626463338415593
E_plus_v63_v64,BND,gbt,6,221,36,0.1925031201445242,0.6133333333333333,0.13110508206326207,-0.36432334232158503
E_plus_v63_v64,VHT,elasticnet,6,259,36,0.03907194262280633,0.510752688172043,0.18699755642718208,-1.8811375445333485
E_plus_v63_v64,VHT,gbt,6,259,36,0.1137854926964702,0.5645161290322581,0.142052377461188,-0.443508586783278
E_plus_v63_v64,GLD,elasticnet,6,250,36,0.04149053575476165,0.5777777777777777,0.1946127569917729,-1.1780207384845638
E_plus_v63_v64,GLD,gbt,6,250,36,0.08397914539351367,0.5388888888888889,0.18131119515413563,-0.549976584533195
E_plus_v63_v64,VNQ,elasticnet,6,251,36,0.08777404645223708,0.48333333333333334,0.1978745675942213,-1.3061176110982982
E_plus_v63_v64,VNQ,gbt,6,251,36,0.16821447219227065,0.5944444444444444,0.16280558105206258,-0.8873210523019741
E_plus_v63_v64,VXUS,elasticnet,6,175,36,-0.023670047903648767,0.5980392156862745,0.19019623000928884,-0.7819933750386561
E_plus_v63_v64,VXUS,gbt,6,175,36,-0.06878164767464733,0.5,0.18073999242794256,-0.4591583018125267
