model_type,variant,benchmark,n_obs,n_features,ic,hit_rate,mae,oos_r2
ridge,plus_both_buyback_features,VHT,259,16,0.12818279725300596,0.5752688172043011,0.140155502478159,-0.5642151198576886
ridge,plus_both_buyback_features,GLD,250,16,0.16542485879193802,0.5666666666666667,0.17525619635453027,-0.4770984716550266
ridge,plus_both_buyback_features,VNQ,251,16,0.1630852804098892,0.5277777777777778,0.15123117523342886,-0.36269145918932755
ridge,plus_both_buyback_features,VXUS,175,16,-0.020395700335310518,0.5490196078431373,0.17855810189422736,-0.5055708317963887
bayesian_ridge,baseline,VTI,291,14,0.07296249844390178,0.5045045045045045,0.3315080103493962,-24.742580244396823
bayesian_ridge,baseline,VOO,180,14,0.3898844398715786,0.5462962962962963,0.20142556575642145,-1.4475165417981897
bayesian_ridge,baseline,VFH,259,14,0.19280709034029714,0.5376344086021505,0.16327372801271067,-1.1149438093186248
bayesian_ridge,baseline,BND,221,14,0.2775856704742433,0.5733333333333334,0.16439166020415366,-1.3671231467222626
bayesian_ridge,baseline,VHT,259,14,0.22229484961932774,0.5645161290322581,0.17269610456345777,-1.2195496229741405
bayesian_ridge,baseline,GLD,250,14,0.19119931685134314,0.5277777777777778,0.20594691305595317,-0.9418167102897712
bayesian_ridge,baseline,VNQ,251,14,0.2950584894595512,0.5666666666666667,0.15850448744095663,-0.617095127978575
bayesian_ridge,baseline,VXUS,175,14,0.12401965496378309,0.4411764705882353,0.1946153548233886,-0.7254863448809254
bayesian_ridge,plus_buyback_yield,VTI,291,15,0.09994839512117276,0.5180180180180181,0.3125140337569825,-21.49236671858477
bayesian_ridge,plus_buyback_yield,VOO,180,15,0.37335543551782935,0.5277777777777778,0.20501270689078183,-1.5244181622838302
bayesian_ridge,plus_buyback_yield,VFH,259,15,0.20032635706259994,0.5376344086021505,0.1664438426270255,-1.1656044789558218
bayesian_ridge,plus_buyback_yield,BND,221,15,0.2864358415929597,0.6,0.1578672182562462,-1.2096528507601132
bayesian_ridge,plus_buyback_yield,VHT,259,15,0.24243014793299422,0.5860215053763441,0.17269711851713132,-1.1722565557463716
bayesian_ridge,plus_buyback_yield,GLD,250,15,0.18268876611418047,0.5333333333333333,0.20694738648711655,-0.9334460397589417
bayesian_ridge,plus_buyback_yield,VNQ,251,15,0.30356080949000486,0.5777777777777777,0.1611332018807016,-0.707932662247972
bayesian_ridge,plus_buyback_yield,VXUS,175,15,0.09894770173762094,0.4411764705882353,0.1938639031711236,-0.7167803676143019
bayesian_ridge,plus_buyback_acceleration,VTI,291,15,0.052166993607246845,0.46396396396396394,0.3458571384382028,-27.39457842927631
bayesian_ridge,plus_buyback_acceleration,VOO,180,15,0.3487191212476302,0.49074074074074076,0.1930933443505357,-1.2380530637384868
bayesian_ridge,plus_buyback_acceleration,VFH,259,15,0.18904372718414464,0.543010752688172,0.16593863359785152,-1.1783681581396217
bayesian_ridge,plus_buyback_acceleration,BND,221,15,0.2624347748788835,0.58,0.15481350346947625,-1.0289621359217183
bayesian_ridge,plus_buyback_acceleration,VHT,259,15,0.21423662751935996,0.5645161290322581,0.17398953865916159,-1.243283703279404
bayesian_ridge,plus_buyback_acceleration,GLD,250,15,0.19845262713869766,0.5388888888888889,0.20022194956046893,-0.8256238195500729
bayesian_ridge,plus_buyback_acceleration,VNQ,251,15,0.29865530829140813,0.6055555555555555,0.16305462611320953,-0.7352229138976454
bayesian_ridge,plus_buyback_acceleration,VXUS,175,15,0.10396887775585097,0.43137254901960786,0.1970648592744085,-0.7451122049616055
bayesian_ridge,plus_both_buyback_features,VTI,291,16,0.08927973079911883,0.5315315315315315,0.3311376141218191,-24.299773759950252
