subset_label,benchmark,n_obs,n_features,ic,hit_rate,mae,oos_r2
B_plus_C__pif_growth_yoy__pe_ratio,VXUS,175,13,-0.17979030543276114,0.6666666666666666,0.17176008526225203,-0.424002705231199
B_plus_C__pif_growth_yoy__pb_ratio,VTI,291,13,-0.11673944850988892,0.42792792792792794,0.19756211928398554,-2.2425343929177073
B_plus_C__pif_growth_yoy__pb_ratio,VOO,180,13,-0.21101672214232856,0.3425925925925926,0.21029301562206107,-1.4844258484280024
B_plus_C__pif_growth_yoy__pb_ratio,VFH,259,13,-0.09440852234677845,0.41397849462365593,0.17348654245306433,-1.1858379409183368
B_plus_C__pif_growth_yoy__pb_ratio,BND,221,13,-0.08552720017180084,0.6266666666666667,0.16127008450672795,-1.2549854355840244
B_plus_C__pif_growth_yoy__pb_ratio,VHT,259,13,0.12089915883881194,0.5752688172043011,0.1537913234156666,-0.6216707057140962
B_plus_C__pif_growth_yoy__pb_ratio,GLD,250,13,0.052782979276877494,0.5944444444444444,0.1961200091730504,-0.9611862213601801
B_plus_C__pif_growth_yoy__pb_ratio,VNQ,251,13,0.08393570161501229,0.55,0.18351225789945644,-1.1112964903244107
B_plus_C__pif_growth_yoy__pb_ratio,VXUS,175,13,-0.1525313073578532,0.46078431372549017,0.2116250630656436,-0.9888242967172682
B_plus_C__gainshare_est__pe_ratio,VTI,291,13,-0.09523146207116089,0.45045045045045046,0.17006946591385166,-1.097446030167696
B_plus_C__gainshare_est__pe_ratio,VOO,180,13,-0.024656237375275357,0.3611111111111111,0.21402820207234455,-1.8005355337400073
B_plus_C__gainshare_est__pe_ratio,VFH,259,13,-0.03248679700008966,0.46774193548387094,0.16081891133895743,-0.9408108794787968
B_plus_C__gainshare_est__pe_ratio,BND,221,13,-0.025510803511000674,0.6533333333333333,0.1380041001328835,-0.6216270651168359
B_plus_C__gainshare_est__pe_ratio,VHT,259,13,0.1825732064795291,0.5860215053763441,0.13822652747622796,-0.4750941937394677
B_plus_C__gainshare_est__pe_ratio,GLD,250,13,0.0158912364146378,0.5944444444444444,0.18528713755753076,-0.7761088847033619
B_plus_C__gainshare_est__pe_ratio,VNQ,251,13,0.19563291581389328,0.6166666666666667,0.1615339681633085,-0.6690325928789802
B_plus_C__gainshare_est__pe_ratio,VXUS,175,13,-0.10463788791991083,0.6274509803921569,0.17250854384466913,-0.4529025373144304
B_plus_C__gainshare_est__pb_ratio,VTI,291,13,-0.1791429283707137,0.4144144144144144,0.18972183790622402,-1.8859628134873874
B_plus_C__gainshare_est__pb_ratio,VOO,180,13,-0.16303025865162632,0.37037037037037035,0.2466927559596829,-3.206462465263942
B_plus_C__gainshare_est__pb_ratio,VFH,259,13,-0.04879211159519428,0.43010752688172044,0.17311479559222664,-1.1646252206614713
B_plus_C__gainshare_est__pb_ratio,BND,221,13,-0.0792921783318789,0.6,0.17136162763518822,-1.560943192764566
B_plus_C__gainshare_est__pb_ratio,VHT,259,13,0.04138704186324048,0.5483870967741935,0.15206069514896245,-0.688370171175438
B_plus_C__gainshare_est__pb_ratio,GLD,250,13,0.034040009547102235,0.5888888888888889,0.1955324330490146,-1.0044116269257874
B_plus_C__gainshare_est__pb_ratio,VNQ,251,13,0.03509001221790732,0.5333333333333333,0.18327409903601885,-1.2497700260293874
B_plus_C__gainshare_est__pb_ratio,VXUS,175,13,-0.10227012898495731,0.5,0.20659400671357792,-1.0831362178057349
B_plus_C__pe_ratio__pb_ratio,VTI,291,13,-0.16173954598477627,0.40540540540540543,0.19941580447100105,-2.277840185515507
B_plus_C__pe_ratio__pb_ratio,VOO,180,13,-0.08993326828427967,0.32407407407407407,0.24402455452514213,-3.0646383478840624
B_plus_C__pe_ratio__pb_ratio,VFH,259,13,-0.0765520756114577,0.46236559139784944,0.1638038333687449,-0.8889720522149978
B_plus_C__pe_ratio__pb_ratio,BND,221,13,-0.044694168249485376,0.5933333333333334,0.1604179237039726,-1.2532960377280613
B_plus_C__pe_ratio__pb_ratio,VHT,259,13,0.08255745892207128,0.543010752688172,0.15149053902432133,-0.6243527663120965
B_plus_C__pe_ratio__pb_ratio,GLD,250,13,0.028247881433861106,0.5833333333333334,0.19927366154775072,-1.0519627013901998
B_plus_C__pe_ratio__pb_ratio,VNQ,251,13,0.15462808050242172,0.5611111111111111,0.1719720246191358,-0.893789413926948
B_plus_C__pe_ratio__pb_ratio,VXUS,175,13,-0.08384216149239655,0.46078431372549017,0.21711808991003834,-1.1286741381236265
B_plus_C__combined_ratio_ttm__pif_growth_yoy__gainshare_est,VTI,291,14,-0.02752466678494143,0.4774774774774775,0.19907792904167218,-3.1371880129705465
B_plus_C__combined_ratio_ttm__pif_growth_yoy__gainshare_est,VOO,180,14,0.007304765907910495,0.4537037037037037,0.17316555183841334,-0.805923378608592
B_plus_C__combined_ratio_ttm__pif_growth_yoy__gainshare_est,VFH,259,14,0.01416136039628099,0.46774193548387094,0.16132661585311334,-0.9491198123587081
B_plus_C__combined_ratio_ttm__pif_growth_yoy__gainshare_est,BND,221,14,0.014611870877372805,0.6866666666666666,0.1323021804648549,-0.5302495117362112
B_plus_C__combined_ratio_ttm__pif_growth_yoy__gainshare_est,VHT,259,14,0.12351016395152806,0.5806451612903226,0.1424385233768137,-0.4441365841718681
B_plus_C__combined_ratio_ttm__pif_growth_yoy__gainshare_est,GLD,250,14,0.1809877626987281,0.6444444444444445,0.17102781162729458,-0.8187448878119916
B_plus_C__combined_ratio_ttm__pif_growth_yoy__gainshare_est,VNQ,251,14,0.13629761724795783,0.5944444444444444,0.1827726401560155,-1.0691617028659337
B_plus_C__combined_ratio_ttm__pif_growth_yoy__gainshare_est,VXUS,175,14,-0.15567217848171921,0.6568627450980392,0.16806008128571456,-0.37077895569572905
B_plus_C__combined_ratio_ttm__pif_growth_yoy__pe_ratio,VTI,291,14,-0.058848501271996444,0.49099099099099097,0.18267285790487856,-1.9836500410442368
