bucket,subset_label,mean_ic,mean_hit_rate,mean_mae,mean_oos_r2,avg_n_obs,n_features,obs_per_feature,delta_ic_vs_B
group_e_subset,B_plus_E__roe_net_income_ttm__investment_book_yield__unearned_premium_growth_yoy,0.07600947214413468,0.5792430737188802,0.16565512272545005,-0.8482314113354367,235.75,14.0,16.839285714285715,0.06986060367288889
group_e_subset,B_plus_E__roe_net_income_ttm__underwriting_income_3m__investment_book_yield,0.07303324187497903,0.5481952089660819,0.16452027686280846,-0.9113877169988742,235.75,14.0,16.839285714285715,0.06688437340373324
group_e_subset,B_plus_E__investment_income_growth_yoy__roe_net_income_ttm__underwriting_income_3m__investment_book_yield__underwriting_income,0.07283013200552353,0.5607053305677594,0.16615680399911295,-0.9187266534608213,235.75,16.0,14.734375,0.06668126353427774
group_e_subset,B_plus_E__investment_income_growth_yoy__underwriting_income_3m,0.0726976440670393,0.5590189857789478,0.1653446077505155,-0.8790241024661078,235.75,13.0,18.134615384615383,0.0665487755957935
group_e_subset,B_plus_E__roe_net_income_ttm__investment_book_yield__underwriting_income__unearned_premium_growth_yoy,0.07104875245342149,0.5687685550825968,0.16825465818016483,-0.8880825265075754,235.75,15.0,15.716666666666667,0.0648998839821757
group_e_subset,B_plus_E__investment_income_growth_yoy__underwriting_income_3m__underwriting_income,0.0706515965036663,0.5661097055309579,0.1665699645779361,-0.9183902501946745,235.75,14.0,16.839285714285715,0.0645027280324205
group_e_subset,B_plus_E__investment_income_growth_yoy__roe_net_income_ttm__underwriting_income_3m__underwriting_income__unearned_premium_growth_yoy,0.06981178179498185,0.5530724961204089,0.17120330900033381,-0.9299586447843705,235.75,16.0,14.734375,0.06366291332373605
group_e_subset,B_plus_E__investment_income_growth_yoy__investment_book_yield__unearned_premium_growth_yoy,0.06978712282261196,0.5848080979461435,0.16062810218945353,-0.707866966976625,235.75,14.0,16.839285714285715,0.06363825435136616
group_e_subset,B_plus_E__roe_net_income_ttm__investment_book_yield,0.06956992134421985,0.5706899522862521,0.16343726722012025,-0.9012358207031581,235.75,13.0,18.134615384615383,0.06342105287297406
group_e_subset,B_plus_E__investment_income_growth_yoy__underwriting_income_3m__unearned_premium_growth_yoy,0.06846064542500334,0.5568465120718442,0.16884750994018952,-0.8621360541815504,235.75,14.0,16.839285714285715,0.062311776953757544
group_e_subset,B_plus_E__roe_net_income_ttm__underwriting_income,0.06836016607031367,0.550489562142788,0.1677878800784554,-0.9893609345132364,235.75,13.0,18.134615384615383,0.06221129759906788
group_e_subset,B_plus_E__investment_income_growth_yoy__investment_book_yield__underwriting_income,0.06791581236294589,0.569125615178746,0.16632430102531828,-0.8763675127214026,235.75,14.0,16.839285714285715,0.061766943891700093
group_e_subset,B_plus_E__roe_net_income_ttm__underwriting_income_3m__underwriting_income,0.06654360146927916,0.5404125259035126,0.16598911457592747,-0.9364921979985021,235.75,14.0,16.839285714285715,0.06039473299803337
group_e_subset,B_plus_E__investment_income_growth_yoy__roe_net_income_ttm__underwriting_income__unearned_premium_growth_yoy,0.06574244988914203,0.570101959169796,0.16618332883576833,-0.8009326367850731,235.75,15.0,15.716666666666667,0.05959358141789624
group_e_subset,B_plus_E__roe_net_income_ttm__underwriting_income_3m__investment_book_yield__unearned_premium_growth_yoy,0.06471656561888742,0.555345798834888,0.17040006422929388,-0.9396400574376235,235.75,15.0,15.716666666666667,0.05856769714764162
group_e_subset,B_plus_E__roe_net_income_ttm__underwriting_income_3m__investment_book_yield__underwriting_income,0.06417503594085312,0.5545594669622184,0.16585046244350715,-0.9430548420644094,235.75,15.0,15.716666666666667,0.05802616746960733
group_e_subset,B_plus_E__investment_income_growth_yoy__underwriting_income_3m__investment_book_yield__underwriting_income,0.064088024841933,0.5761765584369949,0.16662893838699563,-0.9338663299423473,235.75,15.0,15.716666666666667,0.05793915637068721
group_e_subset,B_plus_E__roe_net_income_ttm__underwriting_income_3m,0.06381712123827951,0.533847331677028,0.16522440092363136,-0.9104687221497656,235.75,13.0,18.134615384615383,0.05766825276703372
group_e_subset,B_plus_E__investment_income_growth_yoy__underwriting_income,0.06286777514415191,0.5704293714967339,0.166521704183948,-0.9188766849096223,235.75,13.0,18.134615384615383,0.05671890667290612
group_e_subset,B_plus_E__investment_income_growth_yoy__roe_net_income_ttm__underwriting_income_3m__investment_book_yield__unearned_premium_growth_yoy,0.06267342413108254,0.5548843293008379,0.16855924493696287,-0.8774341691395818,235.75,16.0,14.734375,0.056524555659836745
group_e_subset,B_plus_E__investment_income_growth_yoy__underwriting_income_3m__underwriting_income__unearned_premium_growth_yoy,0.06090286573661822,0.5601858594837722,0.1701128710415615,-0.8963101987682165,235.75,15.0,15.716666666666667,0.05475399726537242
group_e_subset,B_plus_E__roe_net_income_ttm__underwriting_income_3m__unearned_premium_growth_yoy,0.05958665354568367,0.5439446182425309,0.17071837702125453,-0.9212211009840111,235.75,14.0,16.839285714285715,0.053437785074437874
group_e_subset,B_plus_E__investment_book_yield__underwriting_income__unearned_premium_growth_yoy,0.05920246404154973,0.5707442808083225,0.167967051523542,-0.8861156457657008,235.75,14.0,16.839285714285715,0.05305359557030394
group_e_subset,B_plus_E__investment_income_growth_yoy__investment_book_yield,0.05776701852963974,0.582822027435405,0.16169526403904136,-0.7498020057751538,235.75,13.0,18.134615384615383,0.051618150058393944
group_e_subset,B_plus_E__investment_income_growth_yoy__investment_book_yield__underwriting_income__unearned_premium_growth_yoy,0.05756088025190846,0.5715852641066114,0.16836884531964907,-0.8706045899005586,235.75,15.0,15.716666666666667,0.05141201178066267
group_e_subset,B_plus_E__investment_book_yield__underwriting_income,0.05705687529170193,0.5655277834760757,0.16655246762962164,-0.9876723892908709,235.75,13.0,18.134615384615383,0.05090800682045614
group_e_subset,B_plus_E__roe_net_income_ttm__underwriting_income_3m__underwriting_income__unearned_premium_growth_yoy,0.0553918337530528,0.5495136953841887,0.1736414519594376,-0.9904786569564048,235.75,15.0,15.716666666666667,0.04924296528180701
group_e_subset,B_plus_E__roe_net_income_ttm__underwriting_income_3m__investment_book_yield__underwriting_income__unearned_premium_growth_yoy,0.05509553801899161,0.562403128935387,0.17220657462611128,-0.9970363203317547,235.75,16.0,14.734375,0.04894666954774582
group_e_subset,B_plus_E__investment_income_growth_yoy__underwriting_income_3m__investment_book_yield,0.05387156294409714,0.5648061652734329,0.16751079019450532,-0.9258771694769121,235.75,14.0,16.839285714285715,0.04772269447285134
group_e_subset,B_plus_E__investment_income_growth_yoy__roe_net_income_ttm__investment_book_yield__underwriting_income__unearned_premium_growth_yoy,0.05368851332092823,0.5658189736225789,0.17051732150969445,-0.9123749403695969,235.75,16.0,14.734375,0.04753964484968243
group_e_subset,B_plus_E__investment_income_growth_yoy__unearned_premium_growth_yoy,0.05351283504518952,0.5767450348830804,0.16298008381958956,-0.7523201395440181,235.75,13.0,18.134615384615383,0.04736396657394372
group_e_subset,B_plus_E__investment_book_yield__unearned_premium_growth_yoy,0.05285715560424619,0.5707407003777971,0.16169252419045468,-0.7378080619190864,235.75,13.0,18.134615384615383,0.04670828713300039
group_e_subset,B_plus_E__investment_income_growth_yoy__underwriting_income__unearned_premium_growth_yoy,0.05283622822644371,0.5723259573615361,0.16674929902362312,-0.8279828463859292,235.75,14.0,16.839285714285715,0.046687359755197916
group_e_subset,B_plus_E__investment_income_growth_yoy__roe_net_income_ttm__underwriting_income_3m__investment_book_yield__underwriting_income__unearned_premium_growth_yoy,0.050920302120624074,0.5590144580063935,0.16962675500890248,-0.906216898864521,235.75,17.0,13.867647058823529,0.04477143364937827
group_e_subset,B_plus_E__investment_income_growth_yoy__underwriting_income_3m__investment_book_yield__unearned_premium_growth_yoy,0.04619730492298349,0.5559116065781151,0.16733185633153427,-0.8273616933701806,235.75,15.0,15.716666666666667,0.040048436451737696
