as_of,path_name,candidate_name,policy_name,consensus,confidence_tier,recommendation_mode,sell_pct,mean_predicted,mean_ic,mean_hit_rate,aggregate_oos_r2,aggregate_nw_ic,signal_agrees_with_shadow,mode_agrees_with_shadow,sell_agrees_with_shadow,signal_agrees_with_live,mode_agrees_with_live,sell_agrees_with_live
2025-09-30,ensemble_ridge_gbt_v20_pricing,ensemble_ridge_gbt_v20_pricing,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.17158848891627212,0.1382071544404067,0.6607364075898559,-0.21142750518125908,0.1414207187155365,False,True,True,True,True,True
2025-10-31,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,-0.01175642225280153,True,True,True,False,True,True
2025-10-31,live_production_ensemble_reduced,production_4_model_ensemble,current_production_mapping,NEUTRAL,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.029497014746779276,0.13428802537231796,0.5829353386707484,-0.7883033439398377,0.1428332289934383,False,True,True,True,True,True
2025-10-31,ensemble_ridge_gbt_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.14005127883273774,0.16571046452791194,0.678798006750593,-0.15235303921027854,0.16737206613799335,False,True,True,False,True,True
2025-10-31,ensemble_ridge_gbt_v18,ensemble_ridge_gbt_v18,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1528525234958733,0.19110054199654147,0.6857258027732166,-0.13260373398808478,0.20057585812473178,False,True,True,False,True,True
2025-10-31,ensemble_ridge_gbt_v20_value,ensemble_ridge_gbt_v20_value,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1725203129859517,0.18885911828207116,0.6738738368910783,-0.16773286527421338,0.18564106827484333,False,True,True,False,True,True
2025-10-31,ensemble_ridge_gbt_v20_best,ensemble_ridge_gbt_v20_best,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1753782007473794,0.1888651553320395,0.6664424831235176,-0.15046529040891876,0.19778479924383507,False,True,True,False,True,True
2025-10-31,ensemble_ridge_gbt_v20_usd,ensemble_ridge_gbt_v20_usd,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1664455067943751,0.15320358280765128,0.6648485677796023,-0.20327344204388131,0.16335822323027416,False,True,True,False,True,True
2025-10-31,ensemble_ridge_gbt_v20_pricing,ensemble_ridge_gbt_v20_pricing,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.17158848891627212,0.1382071544404067,0.6607364075898559,-0.21142750518125908,0.1414207187155365,False,True,True,False,True,True
2025-11-28,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,-0.01175642225280153,True,True,True,False,True,True
2025-11-28,live_production_ensemble_reduced,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.0473867610947951,0.13428802537231796,0.5829353386707484,-0.7883033439398377,0.1428332289934383,False,True,True,True,True,True
2025-11-28,ensemble_ridge_gbt_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.14005127883273774,0.16571046452791194,0.678798006750593,-0.15235303921027854,0.16737206613799335,False,True,True,True,True,True
2025-11-28,ensemble_ridge_gbt_v18,ensemble_ridge_gbt_v18,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1528525234958733,0.19110054199654147,0.6857258027732166,-0.13260373398808478,0.20057585812473178,False,True,True,True,True,True
2025-11-28,ensemble_ridge_gbt_v20_value,ensemble_ridge_gbt_v20_value,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1725203129859517,0.18885911828207116,0.6738738368910783,-0.16773286527421338,0.18564106827484333,False,True,True,True,True,True
2025-11-28,ensemble_ridge_gbt_v20_best,ensemble_ridge_gbt_v20_best,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1753782007473794,0.1888651553320395,0.6664424831235176,-0.15046529040891876,0.19778479924383507,False,True,True,True,True,True
2025-11-28,ensemble_ridge_gbt_v20_usd,ensemble_ridge_gbt_v20_usd,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1664455067943751,0.15320358280765128,0.6648485677796023,-0.20327344204388131,0.16335822323027416,False,True,True,True,True,True
2025-11-28,ensemble_ridge_gbt_v20_pricing,ensemble_ridge_gbt_v20_pricing,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.17158848891627212,0.1382071544404067,0.6607364075898559,-0.21142750518125908,0.1414207187155365,False,True,True,True,True,True
2025-12-31,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,-0.01175642225280153,True,True,True,False,True,True
2025-12-31,live_production_ensemble_reduced,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,HIGH,DEFER-TO-TAX-DEFAULT,0.5,-0.08159270959047486,0.13428802537231796,0.5829353386707484,-0.7883033439398377,0.1428332289934383,False,True,True,True,True,True
2025-12-31,ensemble_ridge_gbt_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.14005127883273774,0.16571046452791194,0.678798006750593,-0.15235303921027854,0.16737206613799335,False,True,True,True,True,True
2025-12-31,ensemble_ridge_gbt_v18,ensemble_ridge_gbt_v18,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1528525234958733,0.19110054199654147,0.6857258027732166,-0.13260373398808478,0.20057585812473178,False,True,True,True,True,True
2025-12-31,ensemble_ridge_gbt_v20_value,ensemble_ridge_gbt_v20_value,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1725203129859517,0.18885911828207116,0.6738738368910783,-0.16773286527421338,0.18564106827484333,False,True,True,True,True,True
