candidate_name,model_type,benchmark,n_features,feature_columns,policy_return_sign,policy_uplift_vs_sell_50_sign,policy_return_neutral_3pct,policy_uplift_vs_sell_50_neutral_3pct,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value,strategy
gbt_lean_plus_two,gbt,BND,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield,underwriting_income_growth_yoy",0.08401671615147314,0.0344017610403908,0.08425939057880037,0.03464443546771804,150,0.19614644403420267,0.6333333333333333,0.12869596117401558,-0.25190165527290675,0.19614644403420267,0.07181125743963497,
gbt_lean_plus_two,gbt,GLD,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield,underwriting_income_growth_yoy",0.04102728684691803,0.0113285973555244,0.043328565187657694,0.013629875696264067,180,0.08697240174336822,0.5555555555555556,0.1868249328430408,-0.5665955696351308,0.08697240174336822,0.4587514529983842,
gbt_lean_plus_two,gbt,DBC,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield,underwriting_income_growth_yoy",0.09318493819693453,0.04236809422724639,0.09215426268625584,0.0413374187165677,168,0.05430259345886,0.6845238095238095,0.19025163384748517,-0.6286374815497604,0.05430259345886,0.6847384325174686,
gbt_lean_plus_two,gbt,VDE,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield,underwriting_income_growth_yoy",0.03731352762998105,0.005354626513809638,0.041050864381560456,0.009091963265389046,180,-0.011843067777918537,0.5333333333333333,0.21780400696095892,-0.6723657295913408,-0.011843067777918537,0.9250182363731629,
bayesian_ridge_current__v15_best,bayesian_ridge,VOO,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,usd_broad_return_3m,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",0.04665893235513053,0.020728569181034048,0.04559929632573422,0.019668933151637733,108,0.22435622624253335,0.5185185185185185,0.2640231534727269,-14.150189032312438,0.22435622624253335,0.10734472051740676,
bayesian_ridge_current__v15_best,bayesian_ridge,VXUS,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,usd_broad_return_3m,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",0.04255357068097533,0.003256334530495964,0.04686597993202172,0.0075687437815423544,108,-0.005401697676412587,0.4722222222222222,0.21636436058426015,-1.4381521396825034,-0.005401697676412587,0.9709418650877802,
bayesian_ridge_current__v15_best,bayesian_ridge,VWO,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,usd_broad_return_3m,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",0.05885262273980047,0.018712250653800385,0.05720346800300048,0.017063095917000393,174,0.018138329679091087,0.5344827586206896,0.23405989912077416,-4.93418762714248,0.018138329679091087,0.8726985393546607,
bayesian_ridge_current__v15_best,bayesian_ridge,VMBS,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,usd_broad_return_3m,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",0.08755927630818819,0.030757256777807038,0.08850849933921116,0.03170647980883001,120,0.330522952982846,0.6416666666666667,0.1526743840324683,-0.7276824737838687,0.330522952982846,0.013001418190125204,
bayesian_ridge_current__v15_best,bayesian_ridge,BND,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,usd_broad_return_3m,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",0.07733408197347393,0.02771912686239157,0.07692447910445771,0.02730952399337538,150,0.2807929241299613,0.64,0.14879663574956475,-1.2698881062010159,0.2807929241299613,0.024166827742631188,
bayesian_ridge_current__v15_best,bayesian_ridge,GLD,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,usd_broad_return_3m,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",0.05132485818594456,0.021626168694550932,0.04898851953100693,0.019289830039613303,180,0.2670946634155375,0.6,0.2397950031262164,-4.317546948829856,0.2670946634155375,0.04071127088193138,
