candidate_name,model_type,candidate_feature,replace_feature,priority_rank,research_source,candidate_available_now,status,notes,n_benchmarks,mean_ic,mean_ic_delta,mean_hit_rate,mean_hit_rate_delta,mean_oos_r2,mean_oos_r2_delta,mean_policy_return_sign,mean_policy_return_sign_delta,mean_policy_return_neutral_3pct,mean_policy_return_neutral_3pct_delta,mean_mae,mean_mae_delta
bayesian_ridge_current,bayesian_ridge,usd_broad_return_3m,nfci,25,chatgpt;claude,True,queued,,8,0.1454247228815704,-0.011249558031368621,0.5618731755154169,0.01948823207443897,-106.3082521020685,25.560488716281103,0.05962587785357069,0.0028744361844747143,0.058892552423419176,0.0024185365455931486,0.314676567109815,-0.016287427110212062
bayesian_ridge_current,bayesian_ridge,book_value_per_share_growth_yoy,roe_net_income_ttm,17,claude,True,queued,,8,0.07980922412737132,-0.07686505678556774,0.555890234446269,0.013505291005291013,-116.6499615442932,15.218779274056406,0.059140195225148094,0.002388753556052123,0.058209211787759854,0.0017351959099338242,0.3251893158852878,-0.005774678334739297
bayesian_ridge_current,bayesian_ridge,pgr_pe_vs_market_pe,roe_net_income_ttm,42,geminipro,True,queued,,8,0.1393100114434297,-0.017364269469509336,0.5680726600985222,0.025687716657544234,-127.6497946641446,4.218946154205003,0.05865207781250853,0.001900636143412562,0.05637213827008586,-0.00010187760774017307,0.33688810777824285,0.005924113558215715
elasticnet_current,elasticnet,breakeven_momentum_3m,vol_63d,32,geminipro,True,queued,,8,0.16593239662548787,0.10901378231757186,0.5959766694033936,-0.0007026546250684038,-0.5878632110502188,0.20742753058942684,0.06465908827631411,0.0010015422429262677,0.06419263696407303,0.00063822926449423,0.1691808095246294,-0.007609587592213238
ridge_lean_v1,ridge,book_value_per_share_growth_yoy,roe_net_income_ttm,17,claude,True,queued,,8,0.19271791220926127,-0.08050711585483923,0.6521670315635832,0.0021998722860791867,-0.5202621075694643,0.12717410543045443,0.07277184576305129,0.0008053920542659527,0.07146996424932317,0.0007985475330359714,0.16461889510660463,-0.0005856340095261175
elasticnet_current,elasticnet,pgr_pe_vs_market_pe,roe_net_income_ttm,42,geminipro,True,queued,,8,0.057812344577925986,0.0008937302700099967,0.5946680578361613,-0.002011266192300673,-0.7418875534996034,0.05340318814004219,0.0640099452918117,0.00035239925842385153,0.06328063171029517,-0.00027377598928362244,0.17648374872733644,-0.0003066483895062082
ridge_lean_v1,ridge,npw_vs_npe_spread_pct,npw_growth_yoy,14,chatgpt;claude,True,queued,,8,0.25736010280571636,-0.015864925258384104,0.6355631955847473,-0.014403963692756816,-0.4200054652642622,0.22743074773565655,0.07213712492826141,0.0001706712194760535,0.07042852706756977,-0.00024288964871743268,0.15935973912892878,-0.005844789987201957
ridge_lean_v1,ridge,underwriting_margin_ttm,combined_ratio_ttm,15,chatgpt,True,queued,,8,0.26354480090028887,-0.009680227163811634,0.645983967341726,-0.003983191935778133,-0.5696596509098633,0.07777656209005562,0.07198013977395246,1.3686065167101483e-05,0.07046726729449057,-0.00020414942179662696,0.162921152764387,-0.00228337635174374
bayesian_ridge_current,bayesian_ridge,underwriting_margin_ttm,combined_ratio_ttm,15,chatgpt,True,queued,,8,0.16113933347704912,0.004465052564110065,0.5414193349753695,-0.0009656084656084682,-130.5021909911123,1.3665498272373098,0.05661961245699766,-0.0001318292120983085,0.05606038054639893,-0.0004136353314270983,0.3276774929522249,-0.0032865012678021596
elasticnet_current,elasticnet,vwo_vxus_spread_6m,mom_6m,39,geminipro,True,queued,,8,0.037325282910031024,-0.019593331397884967,0.5868711229702609,-0.009808201058201044,-0.7676105794275344,0.027680162212111198,0.0631596716086702,-0.0004978744247176527,0.06147051728671151,-0.0020838904128672865,0.17748744698016544,0.0006970498633227795
bayesian_ridge_current,bayesian_ridge,rate_adequacy_gap_yoy,vmt_yoy,8,chatgpt;claude,True,queued,,8,0.16097281543090078,0.004298534517961739,0.5311961777047984,-0.011188765736179523,-126.2216888759386,5.647051942411014,0.05518252399080022,-0.0015689176782957524,0.05577564281726494,-0.0006983730605610939,0.34919564819054927,0.018231653970522177
ridge_lean_v1,ridge,breakeven_momentum_3m,vol_63d,32,geminipro,True,queued,,8,0.30371547401895843,0.030490445954857955,0.6293901660280969,-0.020576993249407066,-0.40950214559596554,0.23793406740395323,0.0703374918462588,-0.0016289618625265397,0.07063808983459341,-3.332688169378935e-05,0.157165775268756,-0.008038753847374737
ridge_lean_v1,ridge,usd_broad_return_3m,nfci,25,chatgpt;claude,True,queued,,8,0.21913007638570925,-0.05409495167839123,0.635259875022806,-0.014707284254698028,-0.5531801487159308,0.09425606428398792,0.06981314321608134,-0.0021533104927040107,0.07066287515836576,-8.541557921436412e-06,0.16240503172663628,-0.002799497389494466
elasticnet_current,elasticnet,commodity_equity_momentum,mom_6m,36,gemini,True,queued,,8,0.03286171018299362,-0.024056904124922375,0.5767544699872286,-0.019924854041233335,-0.9528061214692052,-0.15751537982955968,0.06112048600671214,-0.002537060026675709,0.060757249080143946,-0.002797158619434853,0.1853190751933339,0.008528678076491259
elasticnet_current,elasticnet,rate_adequacy_gap_yoy,vmt_yoy,8,chatgpt;claude,True,queued,,8,0.029278436098928603,-0.027640178208987395,0.5850232621784346,-0.011656061850027363,-1.2427010981840776,-0.44741035654443184,0.06094424243399438,-0.0027133035993934735,0.060176456649021985,-0.003377951050556811,0.19104951601258702,0.014259118895744362
elasticnet_current,elasticnet,usd_broad_return_3m,nfci,25,chatgpt;claude,True,queued,,8,0.020576484072123105,-0.036342130235792885,0.5574176701331873,-0.039261653895274556,-0.9862209537429466,-0.19093021210330094,0.057445128805700726,-0.00621241722768712,0.05783893918530286,-0.0057154685142759365,0.18507244180186974,0.008282044685027079
