benchmark,target_horizon,date,before,after,data_only,delta,status,sign_flip,delta_data,delta_window
VGT,6,2019-02-28,-0.04181623436,-0.0629108476,-0.04181623436,-0.02109461324,changed,False,0,-0.02109461324
VGT,6,2020-06-30,-0.04287805546,-0.03891601453,-0.04287805546,0.003962040932,changed,False,0,0.003962040932
VGT,6,2021-01-29,-0.0957258886,-0.08358703789,-0.0957258886,0.01213885071,changed,False,0,0.01213885071
VGT,6,2021-02-26,-0.03399413561,-0.0597205642,-0.03399413561,-0.02572642859,changed,False,0,-0.02572642859
VGT,6,2021-06-30,-0.1027178328,-0.09230765408,-0.1027178328,0.01041017875,changed,False,0,0.01041017875
VGT,6,2022-09-30,-0.005282035342,-0.02690363698,-0.005282035342,-0.02162160164,changed,False,0,-0.02162160164
VGT,6,2023-11-30,0.06166691429,0.129509257,0.06166691429,0.06784234272,changed,False,0,0.06784234272
VGT,6,2024-02-29,0.1279066234,0.1970152067,0.1279066234,0.06910858329,changed,False,0,0.06910858329
VGT,6,2024-11-29,0.09307869765,0.1038468782,0.09307869765,0.01076818057,changed,False,0,0.01076818057
VGT,6,2025-02-28,-0.2783073598,-0.29071067,-0.2783073598,-0.01240331021,changed,False,0,-0.01240331021
VGT,6,2025-04-30,-0.5922594606,-0.6766640703,-0.5922594606,-0.0844046097,changed,False,0,-0.0844046097
VGT,6,2025-09-30,-0.05440447602,-0.05441373304,-0.05441373304,-9.257026661e-06,changed,False,-9.257026661e-06,0
VGT,6,2025-10-31,0.9066661741,-0.01443039901,-0.01443039901,-0.9210965731,changed,True,-0.9210965731,0
VGT,6,2025-11-28,0.7742096496,-0.4041679479,-0.3051844673,-1.178377597,changed,True,-1.079394117,-0.09898348068
VGT,6,2025-12-31,0.9030110068,-0.1369956038,-0.1369956038,-1.040006611,changed,True,-1.040006611,0
VGT,6,2026-01-30,0.8769103005,-0.1946036412,-0.1846173106,-1.071513942,changed,True,-1.061527611,-0.009986330555
VGT,6,2026-02-27,0.8637030229,-0.2993730654,-0.2781926532,-1.163076088,changed,True,-1.141895676,-0.02118041226
VHT,6,2004-06-30,-0.00580007209,-0.02406029088,-0.00580007209,-0.01826021879,changed,False,0,-0.01826021879
VHT,6,2005-09-30,-0.06461740873,-0.04442353569,-0.06461740873,0.02019387304,changed,False,0,0.02019387304
VHT,6,2006-09-29,-0.1359482359,-0.1422376558,-0.1359482359,-0.006289419946,changed,False,0,-0.006289419946
VHT,6,2007-02-28,-0.03050236513,-0.06166143849,-0.03050236513,-0.03115907336,changed,False,0,-0.03115907336
VHT,6,2008-04-30,-0.1482856071,-0.08799397265,-0.1482856071,0.06029163442,changed,False,0,0.06029163442
VHT,6,2008-11-28,0.03216670973,0.01621406102,0.03216670973,-0.01595264871,changed,False,0,-0.01595264871
VHT,6,2009-01-30,0.1951689423,0.1853098696,0.1951689423,-0.009859072737,changed,False,0,-0.009859072737
VHT,6,2009-02-27,0.1793651618,0.1638458615,0.1793651618,-0.01551930025,changed,False,0,-0.01551930025
VHT,6,2009-06-30,-0.006989765226,0.002023628071,-0.006989765226,0.009013393297,changed,True,0,0.009013393297
VHT,6,2010-01-29,0.2699129187,0.2523656642,0.2699129187,-0.01754725454,changed,False,0,-0.01754725454
VHT,6,2010-02-26,0.2046646165,0.2362043598,0.2046646165,0.03153974335,changed,False,0,0.03153974335
VHT,6,2010-06-30,-0.05287695957,-0.03797094013,-0.05287695957,0.01490601944,changed,False,0,0.01490601944
VHT,6,2012-02-29,-0.1591299871,-0.1746391843,-0.1591299871,-0.01550919718,changed,False,0,-0.01550919718
VHT,6,2012-11-30,-0.002405973542,0.003144421712,-0.002405973542,0.005550395254,changed,True,0,0.005550395254
VHT,6,2013-02-28,-0.1367577515,-0.1383555337,-0.1367577515,-0.001597782283,changed,False,0,-0.001597782283
VHT,6,2013-11-29,-0.1334888614,-0.1496581182,-0.1334888614,-0.01616925678,changed,False,0,-0.01616925678
VHT,6,2014-02-28,-0.04411523818,-0.05222891969,-0.04411523818,-0.008113681508,changed,False,0,-0.008113681508
VHT,6,2014-04-30,-0.0642493819,-0.07843837711,-0.0642493819,-0.01418899521,changed,False,0,-0.01418899521
VHT,6,2014-11-28,-0.07581081741,-0.0751310227,-0.07581081741,0.0006797947127,changed,False,0,0.0006797947127
VHT,6,2015-01-30,0.1022786534,0.07901880498,0.1022786534,-0.02325984843,changed,False,0,-0.02325984843
VHT,6,2015-02-27,0.1203858327,0.1176261376,0.1203858327,-0.002759695173,changed,False,0,-0.002759695173
VHT,6,2015-06-30,0.1797343389,0.1785705811,0.1797343389,-0.001163757796,changed,False,0,-0.001163757796
VHT,6,2016-09-30,0.2360269508,0.2213814595,0.2360269508,-0.01464549131,changed,False,0,-0.01464549131
VHT,6,2018-02-28,0.05991216454,0.05581819284,0.05991216454,-0.004093971708,changed,False,0,-0.004093971708
VHT,6,2018-09-28,0.10927383,0.08788043391,0.10927383,-0.02139339611,changed,False,0,-0.02139339611
VHT,6,2018-11-30,0.3027058867,0.3133576508,0.3027058867,0.01065176418,changed,False,0,0.01065176418
VHT,6,2019-02-28,0.0734738414,0.06380092832,0.0734738414,-0.009672913081,changed,False,0,-0.009672913081
VHT,6,2020-06-30,0.07504269351,0.07396761704,0.07504269351,-0.001075076462,changed,False,0,-0.001075076462
VHT,6,2021-01-29,-0.03297121119,-0.03228858871,-0.03297121119,0.0006826224783,changed,False,0,0.0006826224783
VHT,6,2021-02-26,-0.03263649826,-0.03177829734,-0.03263649826,0.0008582009207,changed,False,0,0.0008582009207
VHT,6,2021-06-30,-0.01568403752,-0.007501431385,-0.01568403752,0.008182606131,changed,False,0,0.008182606131
VHT,6,2022-09-30,0.1574016308,0.1594497019,0.1574016308,0.002048071038,changed,False,0,0.002048071038
VHT,6,2023-11-30,0.1386544691,0.1877845854,0.1386544691,0.0491301163,changed,False,0,0.0491301163
VHT,6,2024-02-29,0.1998792797,0.2471232919,0.1998792797,0.0472440122,changed,False,0,0.0472440122
VHT,6,2024-11-29,0.1672463042,0.1790975399,0.1672463042,0.01185123566,changed,False,0,0.01185123566
VHT,6,2025-02-28,-0.06605804922,-0.06857355596,-0.06605804922,-0.00251550674,changed,False,0,-0.00251550674
VHT,6,2025-04-30,-0.2656946673,-0.3060276054,-0.2656946673,-0.04033293814,changed,False,0,-0.04033293814
VHT,6,2025-09-30,-0.1886185132,-0.1886071887,-0.1886071887,1.132445484e-05,changed,False,1.132445484e-05,0
VHT,6,2025-10-31,0.03056781255,0.03057859849,0.03057859849,1.078593445e-05,changed,False,1.078593445e-05,0
VHT,6,2025-11-28,-0.02880036945,-0.07234827605,-0.02879012379,-0.04354790659,changed,False,1.024566837e-05,-0.04355815226
VHT,6,2025-12-31,0.01082850169,0.01083964161,0.01083964161,1.113991781e-05,changed,False,1.113991781e-05,0
VHT,6,2026-01-30,-0.03730524604,-0.04797792577,-0.03729383738,-0.01067267973,changed,False,1.140866045e-05,-0.01068408839
VHT,6,2026-02-27,-0.08621035522,-0.06630309211,-0.08619844157,0.01990726311,changed,False,1.19136491e-05,0.01989534946
VFH,6,2004-06-30,-0.1083216892,-0.1183581075,-0.1083216892,-0.01003641825,changed,False,0,-0.01003641825
VFH,6,2005-09-30,-0.1337967461,-0.1255522973,-0.1337967461,0.008244448789,changed,False,0,0.008244448789
VFH,6,2006-09-29,-0.1603411659,-0.1529715655,-0.1603411659,0.007369600338,changed,False,0,0.007369600338
VFH,6,2007-02-28,0.05333674883,0.03470608424,0.05333674883,-0.01863066459,changed,False,0,-0.01863066459
VFH,6,2008-04-30,0.09308282657,0.131647272,0.09308282657,0.03856444539,changed,False,0,0.03856444539
VFH,6,2008-11-28,0.1350091831,0.1036075977,0.1350091831,-0.03140158548,changed,False,0,-0.03140158548
VFH,6,2009-01-30,0.00503521584,-0.05508553854,0.00503521584,-0.06012075438,changed,True,0,-0.06012075438
VFH,6,2009-02-27,-0.3327394398,-0.3727234413,-0.3327394398,-0.03998400153,changed,False,0,-0.03998400153
VFH,6,2009-06-30,-0.04610969191,-0.03730685743,-0.04610969191,0.00880283448,changed,False,0,0.00880283448
VFH,6,2010-01-29,0.1580759255,0.1312909528,0.1580759255,-0.02678497276,changed,False,0,-0.02678497276
VFH,6,2010-02-26,0.1765671093,0.2071892988,0.1765671093,0.03062218952,changed,False,0,0.03062218952
VFH,6,2010-06-30,-0.04118863804,-0.04077176334,-0.04118863804,0.0004168746956,changed,False,0,0.0004168746956
VFH,6,2012-02-29,-0.1197103111,-0.1340296594,-0.1197103111,-0.01431934831,changed,False,0,-0.01431934831
VFH,6,2012-11-30,-0.01882667242,-0.02671839849,-0.01882667242,-0.00789172607,changed,False,0,-0.00789172607
VFH,6,2013-02-28,-0.08812482634,-0.07156145825,-0.08812482634,0.01656336809,changed,False,0,0.01656336809
VFH,6,2013-11-29,-0.09669430887,-0.1110244345,-0.09669430887,-0.01433012561,changed,False,0,-0.01433012561
VFH,6,2014-02-28,-0.04940168622,-0.04997015532,-0.04940168622,-0.0005684691023,changed,False,0,-0.0005684691023
VFH,6,2014-04-30,0.02921425226,0.01699418373,0.02921425226,-0.01222006852,changed,False,0,-0.01222006852
VFH,6,2014-11-28,-0.005626935115,0.006067397004,-0.005626935115,0.01169433212,changed,True,0,0.01169433212
VFH,6,2015-01-30,0.1151074874,0.1116050281,0.1151074874,-0.003502459292,changed,False,0,-0.003502459292
VFH,6,2015-02-27,0.1359376279,0.1478799738,0.1359376279,0.01194234593,changed,False,0,0.01194234593
VFH,6,2015-06-30,0.1528970687,0.153239821,0.1528970687,0.0003427523418,changed,False,0,0.0003427523418
VFH,6,2016-09-30,0.05863505362,0.03263846309,0.05863505362,-0.02599659054,changed,False,0,-0.02599659054
VFH,6,2018-02-28,0.169668435,0.1780208341,0.169668435,0.008352399038,changed,False,0,0.008352399038
VFH,6,2018-09-28,0.1390737492,0.1122167243,0.1390737492,-0.02685702492,changed,False,0,-0.02685702492
VFH,6,2018-11-30,0.2481341895,0.2656572478,0.2481341895,0.01752305831,changed,False,0,0.01752305831
VFH,6,2019-02-28,0.05379207822,0.03452376467,0.05379207822,-0.01926831355,changed,False,0,-0.01926831355
VFH,6,2020-06-30,-0.04338428549,-0.05740703668,-0.04338428549,-0.01402275119,changed,False,0,-0.01402275119
VFH,6,2021-01-29,-0.1664956829,-0.1744897304,-0.1664956829,-0.007994047463,changed,False,0,-0.007994047463
VFH,6,2021-02-26,-0.03059006195,-0.07228433162,-0.03059006195,-0.04169426967,changed,False,0,-0.04169426967
VFH,6,2021-06-30,-8.466872275e-05,0.009416136264,-8.466872275e-05,0.009500804987,changed,True,0,0.009500804987
VFH,6,2022-09-30,0.1902499416,0.1729022294,0.1902499416,-0.01734771218,changed,False,0,-0.01734771218
VFH,6,2023-11-30,0.05951106452,0.1055766127,0.05951106452,0.04606554815,changed,False,0,0.04606554815
VFH,6,2024-02-29,0.1452333664,0.1732620216,0.1452333664,0.02802865523,changed,False,0,0.02802865523
VFH,6,2024-11-29,0.08556503027,0.0976246151,0.08556503027,0.01205958482,changed,False,0,0.01205958482
VFH,6,2025-02-28,-0.1641615773,-0.178266768,-0.1641615773,-0.01410519074,changed,False,0,-0.01410519074
VFH,6,2025-04-30,-0.3039620187,-0.3368726043,-0.3039620187,-0.03291058556,changed,False,0,-0.03291058556
