candidate_name,candidate_type,model_type,benchmark,n_features,feature_columns,policy_return_sign,policy_return_neutral_2pct,policy_return_neutral_3pct,policy_return_tiered,avg_hold_sign,avg_hold_neutral_2pct,avg_hold_neutral_3pct,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value,strategy
ensemble_ridge_gbt_elasticnet,ensemble,ridge+gbt+elasticnet,DBC,38,"ridge_lean_v1,gbt_lean_plus_two,elasticnet_lean_v1",0.08106338030198898,0.07990196996968116,0.07837912375234547,0.03999557711590955,0.8333333333333334,0.8333333333333334,0.8214285714285714,168,-0.002981357656622512,0.6488095238095238,0.1942743732468829,-0.7148509441349726,-0.002981357656622512,0.9824440639686153,
baseline_historical_mean,baseline,baseline,DBC,0,,0.08634822233219674,0.08984555611661703,0.08984555611661703,0.04468038987359092,0.8928571428571429,0.8928571428571429,0.8928571428571429,168,-0.12099466212557697,0.6607142857142857,0.1662056955128255,-0.19046113276128085,-0.12099466212557697,0.3964323933522501,historical_mean
ridge_lean_v1,model,ridge,VDE,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.05275894793973435,0.04703807182608879,0.04781648749412203,0.020597601141668836,0.7666666666666667,0.7527777777777778,0.7388888888888889,180,-0.00365237610214307,0.6,0.21879437369355703,-0.9009342872606698,-0.00365237610214307,0.9790166514144086,
gbt_lean_plus_two,model,gbt,VDE,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",0.03943101980131085,0.03875240442786855,0.03670516200993387,0.01832028701533864,0.7,0.7027777777777777,0.6972222222222222,180,-0.008768879378216278,0.5444444444444444,0.21698856323292448,-0.6533072104839759,-0.008768879378216278,0.9459220315257182,
elasticnet_lean_v1,model,elasticnet,VDE,13,"mom_3m,mom_6m,mom_12m,yield_slope,yield_curvature,credit_spread_hy,nfci,vix,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,medical_cpi_yoy,roe",0.038352495069766554,0.03958946566130789,0.03998541061281869,0.013278610755839967,0.6666666666666666,0.6694444444444444,0.6583333333333333,180,-0.027974533085294538,0.5444444444444444,0.2096046143063752,-0.5247129989949701,-0.027974533085294538,0.856097537764407,
ensemble_ridge_gbt,ensemble,ridge+gbt,VDE,25,"ridge_lean_v1,gbt_lean_plus_two",0.04302425590166296,0.04560066828506264,0.04355882906747402,0.018008332958517947,0.75,0.7277777777777777,0.7222222222222222,180,-0.02446577569266541,0.55,0.2129309118698911,-0.5512888894637356,-0.02446577569266541,0.8514136595709579,
ensemble_ridge_gbt_elasticnet,ensemble,ridge+gbt+elasticnet,VDE,38,"ridge_lean_v1,gbt_lean_plus_two,elasticnet_lean_v1",0.04452171205107517,0.04438927333553635,0.04248359296752992,0.018125650365453938,0.7111111111111111,0.7222222222222222,0.7138888888888889,180,-0.009442678271963127,0.5555555555555556,0.20884918000427372,-0.4653893217486247,-0.009442678271963127,0.9470482952730216,
baseline_historical_mean,baseline,baseline,VDE,0,,0.05135584768253136,0.05001722577042585,0.05001722577042585,0.013896332310277463,0.8,0.7666666666666667,0.7666666666666667,180,-0.0202955420833861,0.5666666666666667,0.18517115088560934,-0.17446306074327778,-0.0202955420833861,0.8928321633090086,historical_mean
ridge_lean_v1,model,ridge,VFH,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.03639079357075442,0.03650152265569034,0.03434969525638557,0.01184342910488482,0.640625,0.6692708333333334,0.6588541666666666,192,0.15018955321053634,0.546875,0.14057469135503006,-0.5731629838309638,0.15018955321053634,0.2621557343297679,
gbt_lean_plus_two,model,gbt,VFH,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",0.042130796777980206,0.04134526909148618,0.04161906258328894,0.02606677278509668,0.6510416666666666,0.6354166666666666,0.6223958333333334,192,0.31248479363174275,0.5989583333333334,0.13645278318269793,-0.36556974746113613,0.31248479363174275,0.006995128727465652,
elasticnet_lean_v1,model,elasticnet,VFH,13,"mom_3m,mom_6m,mom_12m,yield_slope,yield_curvature,credit_spread_hy,nfci,vix,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,medical_cpi_yoy,roe",0.032928026427516084,0.033869245463434366,0.03211497479278949,0.020008812957155602,0.7916666666666666,0.734375,0.7161458333333334,192,0.1529872352487083,0.5416666666666666,0.1366020236741708,-0.3002460241940723,0.1529872352487083,0.16715692708580998,
ensemble_ridge_gbt,ensemble,ridge+gbt,VFH,25,"ridge_lean_v1,gbt_lean_plus_two",0.04083648055962267,0.042011321963928455,0.04437209832386554,0.020879728263934822,0.6458333333333334,0.609375,0.6119791666666666,192,0.28035564115780054,0.5833333333333334,0.12744930705756566,-0.21879911475838676,0.28035564115780054,0.030496724284257683,
ensemble_ridge_gbt_elasticnet,ensemble,ridge+gbt+elasticnet,VFH,38,"ridge_lean_v1,gbt_lean_plus_two,elasticnet_lean_v1",0.037152142711705215,0.04138591529472727,0.04191596724481755,0.021079871026687846,0.6510416666666666,0.640625,0.65625,192,0.2557154192550796,0.5364583333333334,0.1282762153780769,-0.16742751572778602,0.2557154192550796,0.04082759343124382,
baseline_historical_mean,baseline,baseline,VFH,0,,0.03057525241514385,0.025934537153948833,0.02359852202726216,0.002013808563015843,0.78125,0.734375,0.71875,192,-0.10637663872351291,0.5208333333333334,0.12830560885839318,-0.15824785022765986,-0.10637663872351291,0.45414641976646447,historical_mean
