as_of,path_name,consensus,recommendation_mode,sell_pct,mean_predicted,mean_ic,mean_hit_rate,aggregate_oos_r2,universe_name,signal_agrees_with_shadow,mode_agrees_with_shadow,sell_agrees_with_shadow,signal_agrees_with_live,mode_agrees_with_live,sell_agrees_with_live
2017-10-31,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.10613258198854314,0.1406302165260129,0.7268112750477421,-0.5770472862614315,current_reduced,True,True,True,True,True,True
2017-11-30,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.06940621342957584,0.2712135455345504,0.6290827504126922,-0.3902820191969194,current_reduced,True,True,True,True,True,True
2017-11-30,live_production_ensemble_reduced,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.026809660499635693,0.22273924262788752,0.6006397917371755,-0.796217880272251,current_reduced,True,True,True,True,True,True
2017-11-30,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.11592770142581484,0.17089212784810454,0.7331286240079845,-0.5743722332218595,current_reduced,True,True,True,True,True,True
2017-12-29,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.06940621342957584,0.23389587833130399,0.6308745042683337,-0.3913466459848318,current_reduced,True,True,True,True,True,True
2017-12-29,live_production_ensemble_reduced,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.02460746284704043,0.22960270929936122,0.6051018350473886,-0.8050707648276838,current_reduced,True,True,True,True,True,True
2017-12-29,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.1148331698190465,0.1297785845883726,0.7375118191391633,-0.5762171487153596,current_reduced,True,True,True,True,True,True
2018-01-31,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.06940621342957584,0.21141024897889418,0.6340549856582929,-0.3966483681609909,current_reduced,True,True,True,True,True,True
2018-01-31,live_production_ensemble_reduced,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.026922043194326502,0.23520194672760392,0.6105961254395642,-0.8229544023904964,current_reduced,True,True,True,True,True,True
2018-01-31,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.11623280803616637,0.1412405035321907,0.7429285280254694,-0.5755518638416914,current_reduced,True,True,True,True,True,True
2018-02-28,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.06940621342957584,0.19600030292199208,0.6371670922854655,-0.40014441781251975,current_reduced,True,True,True,True,True,True
2018-02-28,live_production_ensemble_reduced,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.019476446938386974,0.24160928946501697,0.6157298040455245,-0.8405091684896955,current_reduced,True,True,True,True,True,True
2018-02-28,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.11320600598956934,0.14028391065718174,0.747985885927954,-0.5734279063420045,current_reduced,True,True,True,True,True,True
2018-03-30,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.06940621342957584,0.17872683620759514,0.6402090964590965,-0.4013330471984813,current_reduced,True,True,True,True,True,True
2018-03-30,live_production_ensemble_reduced,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.0036264194459506398,0.2443759344061608,0.6136065323565324,-0.858684579031914,current_reduced,False,True,True,True,True,True
2018-03-30,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.11895148018463352,0.1362168807833628,0.7527319902319902,-0.5704849720579721,current_reduced,True,True,True,False,True,True
2018-04-30,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.08661947890466157,0.18856838866781725,0.6431805406595474,-0.40427440278575855,current_reduced,True,True,True,True,True,True
2018-04-30,live_production_ensemble_reduced,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,-0.021521143229435172,0.2307274458693184,0.6075140329368076,-0.8872807740662372,current_reduced,False,True,True,True,True,True
2018-04-30,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.14941530190579563,0.13976843957304866,0.7572056071821349,-0.5708892173497886,current_reduced,True,True,True,False,True,True
2018-05-31,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.08661947890466157,0.16996923931155783,0.6460818244642682,-0.4037705480312901,current_reduced,True,True,True,True,True,True
2018-05-31,live_production_ensemble_reduced,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.0026020753481921653,0.21346379105051957,0.6081544672852996,-0.9066795005340813,current_reduced,False,True,True,True,True,True
2018-05-31,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.14941095382570713,0.1228554208548661,0.7614384234645618,-0.5764591076756389,current_reduced,True,True,True,False,True,True
2018-06-29,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.08661947890466157,0.14397777939593515,0.6417978315920474,-0.4034602911435743,current_reduced,True,True,True,True,True,True
2018-06-29,live_production_ensemble_reduced,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.019689710027814528,0.19573538748873948,0.6015003755085326,-0.9196730571997405,current_reduced,False,True,True,True,True,True
2018-06-29,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.14670530934833875,0.10146921444035305,0.7583405742007892,-0.5787060634715504,current_reduced,True,True,True,False,True,True
2018-07-31,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.08661947890466157,0.13833065847812187,0.6447188123093862,-0.406715745970752,current_reduced,True,True,True,True,True,True
2018-07-31,live_production_ensemble_reduced,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.03164888600407232,0.19502232288799037,0.6033881769392311,-0.9352045952067076,current_reduced,False,True,True,True,True,True
2018-07-31,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.14680505583888526,0.09940551238352398,0.7623229060577386,-0.5808266076427475,current_reduced,True,True,True,False,True,True
2018-08-31,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.08661947890466157,0.13523839041027408,0.6475659498390771,-0.4102220188970931,current_reduced,True,True,True,True,True,True
2018-08-31,live_production_ensemble_reduced,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.005632866932097927,0.19052514554061828,0.6037029359379698,-0.9561597398358082,current_reduced,False,True,True,True,True,True
2018-08-31,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.1019878139050042,0.09858616111418951,0.7661235627917076,-0.5812666393604495,current_reduced,True,True,True,False,True,True
2018-09-28,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.08661947890466157,0.10888687045289533,0.6490395021645021,-0.41057564609563935,current_reduced,True,True,True,True,True,True
2018-09-28,live_production_ensemble_reduced,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.04037503110149035,0.19170979234711533,0.5973901966089465,-0.9816969100805084,current_reduced,False,True,True,True,True,True
2018-09-28,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.105299106716464,0.09273221611918261,0.7684568903318905,-0.5810544793916512,current_reduced,True,True,True,False,True,True
2018-10-31,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.08127041802305435,0.0835151492166895,0.650385800530936,-0.40835120138380865,current_reduced,True,True,True,True,True,True
2018-10-31,live_production_ensemble_reduced,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.07676297994402491,0.167118178758357,0.6004679087755669,-0.9776528938822522,current_reduced,True,True,True,True,True,True
2018-10-31,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.10091830679647903,0.06961211461350587,0.7705810145360574,-0.5771537501266473,current_reduced,True,True,True,True,True,True
2018-11-30,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.08127041802305435,0.11423012354897179,0.6530536019482236,-0.412268763919142,current_reduced,True,True,True,True,True,True
2018-11-30,live_production_ensemble_reduced,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.06243908860392697,0.1743370018870805,0.6047401709176198,-0.9809588650882841,current_reduced,True,True,True,True,True,True
2018-11-30,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.10180133242795805,0.08600802373967521,0.773954638613386,-0.572959638317126,current_reduced,True,True,True,True,True,True
2018-12-31,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.08127041802305435,0.1529277051511305,0.6556563513992058,-0.41170231342237584,current_reduced,True,True,True,True,True,True
2018-12-31,live_production_ensemble_reduced,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.07291284700691547,0.20256106954222225,0.6134640496129107,-0.9694349220251004,current_reduced,True,True,True,True,True,True
2018-12-31,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.095505668184994,0.09270737365717238,0.77719965085758,-0.5646689166357468,current_reduced,True,True,True,True,True,True
2019-01-31,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.08127041802305435,0.17556905110372895,0.6581963249516442,-0.41280916350783126,current_reduced,True,True,True,True,True,True
2019-01-31,live_production_ensemble_reduced,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.043959784160104654,0.2043955654518625,0.614649419729207,-0.9754945389419174,current_reduced,False,True,True,True,True,True
2019-01-31,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.07664505490681633,0.0862203770915074,0.7758612531085936,-0.5651069117759848,current_reduced,True,True,True,False,True,True
2019-02-28,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.08127041802305435,0.14473412517703682,0.6576775425505355,-0.4077473458108283,current_reduced,True,True,True,True,True,True
2019-02-28,live_production_ensemble_reduced,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.04024859275723261,0.187776391826151,0.6127495460176664,-0.9691168908042178,current_reduced,False,True,True,True,True,True
2019-02-28,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.050718100228478155,0.1081945419115141,0.7717218271048134,-0.5590797524555631,current_reduced,True,True,True,False,True,True
2019-03-29,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.08127041802305435,0.11920233202387406,0.6589096055088702,-0.4044971431064419,current_reduced,True,True,True,True,True,True
2019-03-29,live_production_ensemble_reduced,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.051498432864288166,0.17046132025068436,0.6138057306255836,-0.9643717715095375,current_reduced,False,True,True,True,True,True
2019-03-29,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05278393737348376,0.12650921734349857,0.7695655345471522,-0.5557412506169834,current_reduced,True,True,True,False,True,True
2019-04-30,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.10215798688075187,0.07062685334750854,0.648794323819878,-0.3862631003882442,current_reduced,True,True,True,True,True,True
2019-04-30,live_production_ensemble_reduced,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.03468607125425659,0.17422665906303467,0.6128289395085931,-0.9100430651778826,current_reduced,False,True,True,True,True,True
2019-04-30,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.04816887188454937,0.14116332597282127,0.7649235743541821,-0.5184524830502475,current_reduced,True,True,True,False,True,True
2019-05-31,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.10215798688075187,0.02498535515460086,0.6379315344037783,-0.3668339274561001,current_reduced,True,True,True,True,True,True
