signal,target,month,n_obs,ic
ep_6m,rel_12m,10,20,-0.210526
ep_6m,rel_12m,11,20,-0.147368
ep_6m,rel_12m,12,20,-0.204511
ep_3m,rel_12m,1,21,-0.036364
ep_3m,rel_12m,2,21,0.136364
ep_3m,rel_12m,3,21,0.125974
ep_3m,rel_12m,4,21,-0.289610
ep_3m,rel_12m,5,21,-0.375325
ep_3m,rel_12m,6,21,-0.379221
ep_3m,rel_12m,7,21,-0.416883
ep_3m,rel_12m,8,21,-0.470130
ep_3m,rel_12m,9,20,-0.345865
ep_3m,rel_12m,10,20,-0.315789
ep_3m,rel_12m,11,21,-0.092208
ep_3m,rel_12m,12,21,-0.003896
ep_norm,rel_12m,1,17,0.002451
ep_norm,rel_12m,2,17,0.186275
ep_norm,rel_12m,3,17,-0.105392
ep_norm,rel_12m,4,17,-0.061275
ep_norm,rel_12m,5,17,-0.029412
ep_norm,rel_12m,6,17,-0.007353
ep_norm,rel_12m,7,17,-0.026961
ep_norm,rel_12m,8,18,0.038184
ep_norm,rel_12m,9,17,0.090686
ep_norm,rel_12m,10,17,0.176471
ep_norm,rel_12m,11,17,0.066176
ep_norm,rel_12m,12,17,0.105392
roe_gap,rel_12m,1,17,-0.343137
roe_gap,rel_12m,2,17,-0.392157
roe_gap,rel_12m,3,17,-0.196078
roe_gap,rel_12m,4,17,-0.281863
roe_gap,rel_12m,5,17,-0.318627
roe_gap,rel_12m,6,17,-0.294118
roe_gap,rel_12m,7,17,-0.424020
roe_gap,rel_12m,8,18,-0.562436
roe_gap,rel_12m,9,17,-0.617647
roe_gap,rel_12m,10,17,-0.544118
roe_gap,rel_12m,11,17,-0.519608
roe_gap,rel_12m,12,17,-0.561275
ep_rel_mkt,rel_12m,1,17,-0.262255
ep_rel_mkt,rel_12m,2,17,-0.245098
ep_rel_mkt,rel_12m,3,17,-0.154412
ep_rel_mkt,rel_12m,4,17,-0.110294
ep_rel_mkt,rel_12m,5,17,-0.186275
ep_rel_mkt,rel_12m,6,17,-0.034314
ep_rel_mkt,rel_12m,7,17,-0.193627
ep_rel_mkt,rel_12m,8,17,-0.227941
ep_rel_mkt,rel_12m,9,17,-0.149510
ep_rel_mkt,rel_12m,10,16,-0.020588
ep_rel_mkt,rel_12m,11,17,-0.053922
ep_rel_mkt,rel_12m,12,17,-0.176471
