signal_a,signal_b,target,kind,horizon,n_obs,slope_a,nw_t_a,slope_b,nw_t_b,corr_ab,r2
bp,roe_gap,rel_3m,rel,3,214,0.000487,0.046988,-0.015293,-1.396955,-0.142408,0.025101
bp,roe_gap,abs_6m,abs,6,211,0.001988,0.107693,-0.028090,-1.885209,-0.134349,0.051516
bp,roe_gap,rel_6m,rel,6,211,0.000925,0.050113,-0.032002,-1.622818,-0.134349,0.062555
bp,roe_gap,abs_12m,abs,12,205,-0.003556,-0.113811,-0.067643,-2.582471,-0.109486,0.173526
bp,roe_gap,rel_12m,rel,12,205,-0.000211,-0.006846,-0.059024,-2.007079,-0.109486,0.102825
bp,roe_gap,abs_24m,abs,24,193,-0.031192,-0.873599,-0.080752,-2.720008,0.059494,0.220518
bp,roe_gap,rel_24m,rel,24,193,-0.016919,-0.332217,-0.039450,-1.040566,0.059494,0.040669
bp,roe_gap,abs_36m,abs,36,181,-0.050815,-1.266978,0.006152,0.261607,0.138787,0.055490
bp,roe_gap,rel_36m,rel,36,181,-0.043736,-0.712181,0.048474,1.422525,0.138787,0.053263
ep,roe_gap,abs_1m,abs,1,216,-0.000570,-0.071070,-0.000109,-0.012967,0.799969,0.000106
ep,roe_gap,rel_1m,rel,1,216,0.003255,0.462234,-0.008055,-1.056309,0.799969,0.009846
ep,roe_gap,abs_3m,abs,3,214,-0.002165,-0.136267,-0.006233,-0.353056,0.797589,0.007187
ep,roe_gap,rel_3m,rel,3,214,0.013862,0.788268,-0.026418,-1.351195,0.797589,0.032505
ep,roe_gap,abs_6m,abs,6,211,-0.008466,-0.300370,-0.021651,-0.712526,0.792187,0.052971
ep,roe_gap,rel_6m,rel,6,211,0.024950,0.779195,-0.051892,-1.491822,0.792187,0.076545
ep,roe_gap,abs_12m,abs,12,205,0.005765,0.123263,-0.071791,-1.453430,0.787066,0.173532
ep,roe_gap,rel_12m,rel,12,205,0.053812,0.989513,-0.101354,-1.897037,0.787066,0.135370
ep,roe_gap,abs_24m,abs,24,193,0.019197,0.362064,-0.099001,-1.506139,0.853904,0.195911
ep,roe_gap,rel_24m,rel,24,193,0.106502,1.233041,-0.131399,-1.607829,0.853904,0.099640
ep,roe_gap,abs_36m,abs,36,181,0.016563,0.167063,-0.015816,-0.163854,0.900593,0.001153
ep,roe_gap,rel_36m,rel,36,181,0.058401,0.385109,-0.010192,-0.076865,0.900593,0.035409
