fold,train_start,train_end,train_obs,test_date,y_true,path_b_prob,path_a_prob,path_a_available_benchmarks,path_a_weight_sum
13,2017-02-28,2022-01-31,60,2022-11-30,1,0.02254178698470307,0.1445562101867283,6,1.0
13,2017-02-28,2022-01-31,60,2022-12-30,1,0.016772180530465162,0.15477656668020318,6,1.0
13,2017-02-28,2022-01-31,60,2023-01-31,1,0.013364185028851852,0.16655470231323977,6,1.0
13,2017-02-28,2022-01-31,60,2023-02-28,1,0.024810396785275225,0.1839688262704029,6,1.0
13,2017-02-28,2022-01-31,60,2023-03-31,1,0.013286763107270434,0.19614085572262127,6,1.0
14,2017-08-31,2022-07-29,60,2023-04-28,0,0.013706351152536874,0.20437825005578464,6,1.0
14,2017-08-31,2022-07-29,60,2023-05-31,0,0.009369746773257552,0.20007276480800967,6,1.0
14,2017-08-31,2022-07-29,60,2023-06-30,0,0.00580227477605589,0.1956206821570971,6,1.0
14,2017-08-31,2022-07-29,60,2023-07-31,0,0.005597753621156916,0.19210079273706626,6,1.0
14,2017-08-31,2022-07-29,60,2023-08-31,0,0.002101434856179876,0.18742734513644796,6,1.0
14,2017-08-31,2022-07-29,60,2023-09-29,0,0.0021211174949745705,0.1839251125419292,6,1.0
