date,predicted,realized,prob_sell,live_hold_fraction,shadow_hold_fraction,live_sell_pct,shadow_sell_pct,live_recommendation_mode,shadow_recommendation_mode,would_change,disagreement_label,live_policy_return,shadow_policy_return,shadow_minus_live,shadow_beat_live,monitor_month_number,cumulative_shadow_minus_live,expanding_shadow_minus_live_mean,expanding_agreement_rate,cumulative_disagreement_months,selected_variant,selected_gate_style,selected_threshold,selected_promotion_eligible
2013-01-31,0.010996868729002868,0.10554550061474605,0.20125444537916262,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.05277275030737302,0.05277275030737302,0.0,False,28,0.0811991810789989,0.002899970752821389,0.6428571428571429,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2013-02-28,0.007321982610719684,0.040360408383246574,0.19264891545106483,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.020180204191623287,0.020180204191623287,0.0,False,29,0.0811991810789989,0.0027999717613447894,0.6551724137931034,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2013-03-29,0.004267581502097632,0.0611157184608893,0.18721274682376673,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.03055785923044465,0.03055785923044465,0.0,False,30,0.0811991810789989,0.002706639369299963,0.6666666666666666,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2013-04-30,0.015364301247834642,0.026782687392175288,0.3233884188151797,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.013391343696087644,0.013391343696087644,0.0,False,31,0.0811991810789989,0.0026193284219031897,0.6774193548387096,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2013-05-31,0.008236132989447295,0.06036092807337025,0.357974282898632,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.030180464036685124,0.030180464036685124,0.0,False,32,0.0811991810789989,0.002537474408718715,0.6875,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2013-06-28,0.006907122459319962,0.012491884848846968,0.3358957669971344,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.006245942424423484,0.006245942424423484,0.0,False,33,0.0811991810789989,0.0024605812448181483,0.696969696969697,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2013-07-31,0.004660529065125617,-0.030824264017020285,0.3153282476732104,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,-0.015412132008510143,-0.015412132008510143,0.0,False,34,0.0811991810789989,0.0023882112082058496,0.7058823529411765,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2013-08-30,0.001477551760932541,-0.004538727887698286,0.4054630421461394,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,-0.002269363943849143,-0.002269363943849143,0.0,False,35,0.0811991810789989,0.002319976602257111,0.7142857142857143,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2013-09-30,-0.002626670040365771,-0.06666918955066173,0.478235577918732,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,-0.033334594775330864,-0.033334594775330864,0.0,False,36,0.0811991810789989,0.002255532807749969,0.7222222222222222,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2013-10-31,0.025550001172872545,-0.0490665449915224,0.5552075030735997,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,-0.0245332724957612,-0.0245332724957612,0.0,False,37,0.0811991810789989,0.0021945724615945643,0.7297297297297297,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2013-11-29,0.022279181481360898,-0.07197193512057024,0.6256910437783396,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,-0.03598596756028512,-0.03598596756028512,0.0,False,38,0.0811991810789989,0.002136820554710497,0.7368421052631579,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2013-12-31,0.02711356122496318,-0.0653906053924268,0.7495130790677612,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,-0.0326953026962134,-0.0326953026962134,0.0,False,39,0.0811991810789989,0.0020820302840768947,0.7435897435897436,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2014-01-31,0.02843864545151396,-0.042213078586779036,0.7332793882596738,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,-0.021106539293389518,-0.021106539293389518,0.0,False,40,0.0811991810789989,0.0020299795269749722,0.75,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2014-02-28,0.0222965140007614,-0.025072513178333793,0.6553672450384983,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,-0.012536256589166897,-0.012536256589166897,0.0,False,41,0.0811991810789989,0.0019804678311950946,0.7560975609756098,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2014-03-31,0.021874571497780118,0.038285796809785756,0.47545830318667276,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.019142898404892878,0.019142898404892878,0.0,False,42,0.0811991810789989,0.0019333138352142592,0.7619047619047619,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2014-04-30,0.0024265694378872425,0.07956230657884708,0.6190010082132309,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.03978115328942354,0.03978115328942354,0.0,False,43,0.0811991810789989,0.0018883530483488112,0.7674418604651163,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2014-05-30,0.0058699190798013525,0.10245928675524832,0.6027515031270013,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.05122964337762416,0.05122964337762416,0.0,False,44,0.0811991810789989,0.001845435933613611,0.7727272727272727,10,gemini_veto_0.50,veto_regression_sell,0.5,True
