horizon_months,model_name,target_kind,n_obs,fold_count,n_features,target_mae,target_rmse,growth_mae,growth_rmse,future_bvps_mae,future_bvps_rmse,directional_hit_rate,spearman_ic,mean_predicted_growth,mean_realized_growth,target_variant,feature_block
3,ridge_bridge,growth,180,30,26,0.12635192967313966,0.4515898911243253,0.12635192967313966,0.4515898911243253,4.191562248709606,16.800745407972176,0.7222222222222222,0.3056287745506548,0.10931289695118493,0.03190318601597351,raw,bridge_combined
3,elastic_net_bridge,growth,180,30,26,2.067474184233297,11.018744568951325,2.067474184233297,11.018744568951325,76.04681038324108,411.6814874966289,0.6388888888888888,0.3632848750475838,-1.994850591691976,0.03190318601597351,raw,bridge_combined
3,no_change_bvps,growth,180,30,0,0.06680620988330638,0.08159867011425184,0.06680620988330638,0.08159867011425184,1.7459322222222227,2.758353381095324,0.12222222222222222,,0.0,0.05459606753595469,adjusted,baseline
3,drift_bvps_growth,growth,180,30,0,0.044126688598943725,0.06280417115984535,0.044126688598943725,0.06280417115984535,1.1932969266858005,2.1720670173344545,0.8555555555555555,0.11930270568554045,0.04371300971461679,0.05459606753595469,adjusted,baseline
3,trailing_3m_growth,growth,180,30,0,0.046940911944384114,0.0637964037309146,0.046940911944384114,0.0637964037309146,1.2041542969494163,2.126430184401721,0.7777777777777778,0.43838617954795456,0.039805835927738384,0.05459606753595469,adjusted,baseline
3,seasonal_month_drift,growth,180,30,0,0.048308582996746736,0.06817207909960132,0.048308582996746736,0.06817207909960132,1.3729337351568924,2.4626091414885933,0.8777777777777778,-0.07535167785067268,0.03752737479184447,0.05459606753595469,adjusted,baseline
3,ridge_bridge,growth,180,30,9,0.04357156561188666,0.06205346866794837,0.04357156561188666,0.06205346866794837,1.1630028677793927,2.1232096206036846,0.8611111111111112,0.16587343230758153,0.044034110967371996,0.05459606753595469,adjusted,bvps_lags
3,elastic_net_bridge,growth,180,30,9,0.05813894959175015,0.07867846351064413,0.05813894959175015,0.07867846351064413,1.5590876689179747,2.5471096869787764,0.7555555555555555,0.19528586273238885,0.03853628453027026,0.05459606753595469,adjusted,bvps_lags
3,ridge_bridge,growth,180,30,11,0.14696241111211386,0.5876086979660946,0.14696241111211386,0.5876086979660946,5.012538323538909,21.836378867427182,0.8611111111111112,0.2720762986511929,0.15381070446458192,0.05459606753595469,adjusted,accounting_core
3,elastic_net_bridge,growth,180,30,11,0.9094605595672145,4.628816168981302,0.9094605595672145,4.628816168981302,33.06319346263757,172.29289890242947,0.85,0.36359146887249605,0.8929965977517984,0.05459606753595469,adjusted,accounting_core
3,ridge_bridge,growth,180,30,6,0.14066037321841962,0.5492067147424823,0.14066037321841962,0.5492067147424823,4.789202351993469,20.480533431189915,0.8555555555555555,0.1945348107451876,0.14607530881101413,0.05459606753595469,adjusted,logical_interactions
3,elastic_net_bridge,growth,180,30,6,0.04053973886255506,0.056887675530511474,0.04053973886255506,0.056887675530511474,1.066967944825601,1.9184629747227873,0.8388888888888889,0.33490745599144006,0.05358096538642495,0.05459606753595469,adjusted,logical_interactions
3,ridge_bridge,growth,180,30,26,0.22530612296321031,1.019401531937087,0.22530612296321031,1.019401531937087,7.923378272675325,37.979636274142216,0.8666666666666667,0.3153348354373078,0.23315784216861318,0.05459606753595469,adjusted,bridge_combined
3,elastic_net_bridge,growth,180,30,26,0.1282196085777395,0.39672486014814845,0.1282196085777395,0.39672486014814845,3.951088672198789,14.70077140743364,0.7055555555555556,0.16420465652232064,-0.03104216977648907,0.05459606753595469,adjusted,bridge_combined
6,no_change_bvps,growth,174,29,0,0.08981024038453886,0.11513252354914968,0.08981024038453886,0.11513252354914968,2.2886206896551715,3.554123717922443,0.2471264367816092,,0.0,0.06650965268783703,raw,baseline
6,drift_bvps_growth,growth,174,29,0,0.0787322541578037,0.09993830568327698,0.0787322541578037,0.09993830568327698,2.056704029859036,3.149467172183382,0.7413793103448276,-0.029908805043435228,0.04756158946694287,0.06650965268783703,raw,baseline
