horizon_months,model_name,target_kind,n_obs,fold_count,n_features,target_mae,target_rmse,growth_mae,growth_rmse,future_bvps_mae,future_bvps_rmse,directional_hit_rate,spearman_ic,mean_predicted_growth,mean_realized_growth,feature_block,feature_block_notes
1,elastic_net_bridge,growth,186,31,26,0.03257186819259364,0.045353060081243575,0.03257186819259364,0.045353060081243575,0.7590562565861341,1.3296206306312304,0.6344086021505376,0.18406631575512028,0.004102608564816387,0.01025736812076767,bridge_combined,"Union of BVPS lags, accounting core, and logical interactions."
3,no_change_bvps,growth,180,30,0,0.05701149619330045,0.07008349114438345,0.05701149619330045,0.07008349114438345,1.4812222222222216,2.3166899279407724,0.2611111111111111,,0.0,0.03157247261993348,baseline,
3,drift_bvps_growth,growth,180,30,0,0.04968221187884684,0.06445030247481066,0.04968221187884684,0.06445030247481066,1.309216244070035,2.2242961992419583,0.6944444444444444,0.06902093714351107,0.02334952117199692,0.03157247261993348,baseline,
3,trailing_3m_growth,growth,180,30,0,0.05025792520796756,0.06512856395767533,0.05025792520796756,0.06512856395767533,1.307187052544164,2.3011074913250718,0.6833333333333333,0.4386519889815928,0.02580391608380842,0.03157247261993348,baseline,
3,seasonal_month_drift,growth,180,30,0,0.0568836642584426,0.0747870489787218,0.0568836642584426,0.0747870489787218,1.4172073028102168,2.3269471816632348,0.6388888888888888,-0.007022532933527704,0.021254186598569636,0.03157247261993348,baseline,
3,ridge_bridge,growth,180,30,9,0.04937219651385783,0.06425919665734885,0.04937219651385783,0.06425919665734885,1.299654433624618,2.227550336341356,0.6944444444444444,0.17033250528954036,0.02276723748401404,0.03157247261993348,bvps_lags,Pre-registered x9 bvps_lags feature block.
3,elastic_net_bridge,growth,180,30,9,0.05988569897500893,0.07717282037630552,0.05988569897500893,0.07717282037630552,1.5468960129682077,2.4170455050011226,0.5222222222222223,0.2335567113988968,0.014471149993423712,0.03157247261993348,bvps_lags,Pre-registered x9 bvps_lags feature block.
3,ridge_bridge,growth,180,30,11,0.10912580826557575,0.3549227836987506,0.10912580826557575,0.3549227836987506,3.478588672074585,12.887856318520454,0.7,0.22794645305231215,0.0906556741746806,0.03157247261993348,accounting_core,Pre-registered x9 accounting_core feature block.
3,elastic_net_bridge,growth,180,30,11,0.06197178805024818,0.08387068861496583,0.06197178805024818,0.08387068861496583,1.4874592420411252,2.4620498907223514,0.7222222222222222,0.40775765083169013,0.03340503815872114,0.03157247261993348,accounting_core,Pre-registered x9 accounting_core feature block.
3,ridge_bridge,growth,180,30,6,0.1533230031445808,0.5967094051210257,0.1533230031445808,0.5967094051210257,5.08057864247404,21.746966322101546,0.6944444444444444,0.19399168389545654,0.13385159251382053,0.03157247261993348,logical_interactions,Pre-registered x9 logical_interactions feature block.
3,elastic_net_bridge,growth,180,30,6,0.7938801211773533,4.153748493125273,0.7938801211773533,4.153748493125273,28.325671067537037,151.52499390511323,0.7222222222222222,0.502410826677241,0.7813207062744657,0.03157247261993348,logical_interactions,Pre-registered x9 logical_interactions feature block.
3,ridge_bridge,growth,180,30,26,0.21139763164093625,0.9214817502322542,0.21139763164093625,0.9214817502322542,7.19723933704353,33.57045229014617,0.6944444444444444,0.2933960376329069,0.19338588583642075,0.03157247261993348,bridge_combined,"Union of BVPS lags, accounting core, and logical interactions."
3,elastic_net_bridge,growth,180,30,26,0.06442900408856658,0.08415763897449235,0.06442900408856658,0.08415763897449235,1.5149094112588946,2.3039626568663785,0.6444444444444445,0.4070384924630375,0.011695586878800821,0.03157247261993348,bridge_combined,"Union of BVPS lags, accounting core, and logical interactions."
6,no_change_bvps,growth,174,29,0,0.08964536687417704,0.11501963718604402,0.08964536687417704,0.11501963718604402,2.2597126436781605,3.5286963989357414,0.2413793103448276,,0.0,0.06741529437479797,baseline,
6,drift_bvps_growth,growth,174,29,0,0.07850921843848621,0.09919760558478664,0.07850921843848621,0.09919760558478664,2.0103656562385113,3.0514569272374468,0.7471264367816092,-0.01383983114035503,0.04691827362663246,0.06741529437479797,baseline,
6,trailing_3m_growth,growth,174,29,0,0.08237050192651602,0.10488846071565672,0.08237050192651602,0.10488846071565672,2.075006865603491,3.2852013325626217,0.632183908045977,0.2234066022814622,0.059566542331113186,0.06741529437479797,baseline,
6,seasonal_month_drift,growth,174,29,0,0.08375365152314704,0.10597421603806052,0.08375365152314704,0.10597421603806052,2.144313074019133,3.2032863376772314,0.7586206896551724,0.08321677123424936,0.049764978004391426,0.06741529437479797,baseline,
6,ridge_bridge,growth,174,29,9,0.08018143951418286,0.10147384654272183,0.08018143951418286,0.10147384654272183,2.076213636558486,3.169833027108784,0.7471264367816092,0.02474899626982545,0.04628287625756961,0.06741529437479797,bvps_lags,Pre-registered x9 bvps_lags feature block.
6,elastic_net_bridge,growth,174,29,9,0.12730426716239435,0.16889363956121717,0.12730426716239435,0.16889363956121717,3.5168957387865105,5.5364667945233474,0.4885057471264368,-0.10348472336911645,0.031224334588336043,0.06741529437479797,bvps_lags,Pre-registered x9 bvps_lags feature block.
6,ridge_bridge,growth,174,29,11,0.4670393472221865,2.1221395333662647,0.4670393472221865,2.1221395333662647,17.555285175201888,85.09405346220424,0.7471264367816092,0.06762948831117059,0.44825488934619473,0.06741529437479797,accounting_core,Pre-registered x9 accounting_core feature block.
6,elastic_net_bridge,growth,174,29,11,4.445843562858904,23.454020433235883,4.445843562858904,23.454020433235883,175.91699027007795,940.0849919197491,0.7183908045977011,0.21559725504712549,4.431083396400737,0.06741529437479797,accounting_core,Pre-registered x9 accounting_core feature block.
6,ridge_bridge,growth,174,29,6,0.8024101841159674,3.9423363058519216,0.8024101841159674,3.9423363058519216,31.082781228374344,159.77445768124193,0.7471264367816092,0.07677325664170392,0.7802970549801816,0.06741529437479797,logical_interactions,Pre-registered x9 logical_interactions feature block.
6,elastic_net_bridge,growth,174,29,6,11.603965278273337,62.29016728482559,11.603965278273337,62.29016728482559,464.25719837870156,2523.525269212853,0.6379310344827587,0.2544571314672969,11.574455132992135,0.06741529437479797,logical_interactions,Pre-registered x9 logical_interactions feature block.
6,ridge_bridge,growth,174,29,26,1.1382602986592565,5.744445018094471,1.1382602986592565,5.744445018094471,44.49445770024818,231.90656163622083,0.7471264367816092,0.08712207067399413,1.118640137321477,0.06741529437479797,bridge_combined,"Union of BVPS lags, accounting core, and logical interactions."
6,elastic_net_bridge,growth,174,29,26,4.10623642459585,21.57158635400526,4.10623642459585,21.57158635400526,162.58049660111442,868.2738200899012,0.5459770114942529,0.1789037273270879,4.040350174099075,0.06741529437479797,bridge_combined,"Union of BVPS lags, accounting core, and logical interactions."
