benchmark,selector,fold,feature,coef,abs_coef,selected,C,l1_ratio,in_consensus_subset,selected_method
VOO,l1,2,medical_cpi_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,2,severity_index_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,2,ppi_auto_ins_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,2,motor_vehicle_ins_cpi_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,2,rate_adequacy_gap_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,2,auto_pricing_power_spread,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,2,pgr_vs_kie_6m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,2,pgr_vs_peers_6m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,2,pgr_vs_vfh_6m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,2,vwo_vxus_spread_6m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,2,gold_vs_treasury_6m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,2,commodity_equity_momentum,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,2,credit_spread_ratio,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,2,excess_bond_premium_proxy,0.0,0.0,False,0.05,,True,l1_consensus
VOO,l1,2,pgr_pe_vs_market_pe,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,2,equity_risk_premium,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,mom_3m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,mom_6m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,mom_12m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,vol_63d,0.0,0.0,False,0.05,,True,l1_consensus
VOO,l1,3,high_52w,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,pe_ratio,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,pb_ratio,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,roe,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,combined_ratio_ttm,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,monthly_combined_ratio_delta,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,pif_growth_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,gainshare_est,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,cr_acceleration,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,pif_growth_acceleration,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,channel_mix_agency_pct,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,npw_growth_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,npw_per_pif_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,npw_vs_npe_spread_pct,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,underwriting_income,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,underwriting_income_3m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,underwriting_income_growth_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,underwriting_margin_ttm,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,unearned_premium_growth_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,unearned_premium_to_npw_ratio,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,roe_net_income_ttm,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,roe_trend,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,book_value_per_share_growth_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,pgr_premium_to_surplus,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,direct_channel_pif_share_ttm,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,channel_mix_direct_pct_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,unrealized_gain_pct_equity,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,investment_income_growth_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,duration_rate_shock_3m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,buyback_yield,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,buyback_acceleration,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,yield_slope,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,yield_curvature,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,real_rate_10y,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,real_yield_change_6m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,breakeven_inflation_10y,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,breakeven_momentum_3m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,baa10y_spread,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,credit_spread_hy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,nfci,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,vix,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,vmt_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,usd_broad_return_3m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,usd_momentum_6m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,wti_return_3m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,mortgage_spread_30y_10y,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,term_premium_10y,0.0,0.0,False,0.05,,True,l1_consensus
VOO,l1,3,legal_services_ppi_relative,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,gasoline_retail_sales_delta,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,used_car_cpi_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,medical_cpi_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,severity_index_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,ppi_auto_ins_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,motor_vehicle_ins_cpi_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,rate_adequacy_gap_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,auto_pricing_power_spread,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,pgr_vs_kie_6m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,pgr_vs_peers_6m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,pgr_vs_vfh_6m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,vwo_vxus_spread_6m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,gold_vs_treasury_6m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,commodity_equity_momentum,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,credit_spread_ratio,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,excess_bond_premium_proxy,0.0,0.0,False,0.05,,True,l1_consensus
VOO,l1,3,pgr_pe_vs_market_pe,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,3,equity_risk_premium,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,mom_3m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,mom_6m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,mom_12m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,vol_63d,0.0,0.0,False,0.05,,True,l1_consensus
VOO,l1,4,high_52w,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,pe_ratio,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,pb_ratio,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,roe,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,combined_ratio_ttm,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,monthly_combined_ratio_delta,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,pif_growth_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,gainshare_est,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,cr_acceleration,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,pif_growth_acceleration,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,channel_mix_agency_pct,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,npw_growth_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,npw_per_pif_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,npw_vs_npe_spread_pct,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,underwriting_income,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,underwriting_income_3m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,underwriting_income_growth_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,underwriting_margin_ttm,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,unearned_premium_growth_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,unearned_premium_to_npw_ratio,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,roe_net_income_ttm,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,roe_trend,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,book_value_per_share_growth_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,pgr_premium_to_surplus,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,direct_channel_pif_share_ttm,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,channel_mix_direct_pct_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,unrealized_gain_pct_equity,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,investment_income_growth_yoy,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,duration_rate_shock_3m,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,buyback_yield,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,buyback_acceleration,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,yield_slope,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,yield_curvature,0.0,0.0,False,0.05,,False,l1_consensus
VOO,l1,4,real_rate_10y,0.0,0.0,False,0.05,,False,l1_consensus
