benchmark,feature,coefficient,feature_std,standardized_abs_coef,train_n,classifier_weight,weighted_importance
VWO,npw_growth_yoy,-0.524123086745234,0.09820483900141805,0.05147142335074197,247,0.1338767798644752,0.006890828413238491
VWO,investment_income_growth_yoy,0.1793286327109736,0.24662713003079845,0.04422730601785458,247,0.1338767798644752,0.005921009311751096
VWO,book_value_per_share_growth_yoy,-0.17900855809600127,0.2355664625045195,0.04216841278870979,247,0.1338767798644752,0.0056453713161484205
VXUS,combined_ratio_ttm,-0.3568397767613987,2.6384755754049505,0.9415130353179055,176,0.1317452504463663,0.124039870636476
VXUS,real_yield_change_6m,1.4130035087039934,0.5289343796690359,0.7473861343465179,176,0.1317452504463663,0.09846457344962359
VXUS,credit_spread_hy,0.5512381676538713,1.2162605362419798,0.670449229387744,176,0.1317452504463663,0.08832850163726162
VXUS,mom_12m,0.7923645512020466,0.7463969165696737,0.591418457816321,176,0.1317452504463663,0.07791657284361493
VXUS,yield_slope,0.5300805804174465,0.9152138811326975,0.4851371053169242,176,0.1317452504463663,0.06391450944080337
VXUS,nfci,0.7486636310641883,0.17653624791648792,0.1321662683796056,176,0.1317452504463663,0.017412278128232806
VXUS,real_rate_10y,0.11438322302045473,0.871121093523519,0.09964163831832307,176,0.1317452504463663,0.013127312595133722
VXUS,vix,0.012949268718447825,6.721655712964716,0.08704052606007011,176,0.1317452504463663,0.01146717590476741
VXUS,npw_growth_yoy,-0.4103617901411189,0.09478990131758652,0.03889815359198481,176,0.1317452504463663,0.005124646986877262
VXUS,vol_63d,0.2731205722486248,0.10336948839761324,0.02823233382420371,176,0.1317452504463663,0.0037194758903551367
VXUS,investment_income_growth_yoy,-0.07306190846049126,0.2665515242340474,0.019474763063592387,176,0.1317452504463663,0.002565707537196623
VXUS,book_value_per_share_growth_yoy,-0.11521123317934856,0.1371923985184113,0.015806105416138798,176,0.1317452504463663,0.002082379316630873
