feature,fold_count,selected_count,mean_abs_coefficient,selection_rate,horizon_months,model_name,feature_block
current_bvps,30,30,0.001243913879602589,1.0,3,ridge_bridge,bvps_lags
dividend_season_flag,30,30,0.0012265073788037448,1.0,3,ridge_bridge,bvps_lags
q4_flag,30,30,0.0008632102444240429,1.0,3,ridge_bridge,bvps_lags
bvps_growth_ytd,30,30,0.0007207071677621208,1.0,3,ridge_bridge,bvps_lags
month_of_year,30,30,0.0007075381152512604,1.0,3,ridge_bridge,bvps_lags
bvps_growth_6m,30,30,0.0006766520862567292,1.0,3,ridge_bridge,bvps_lags
bvps_yoy_dollar_change,30,30,0.0005947917964732666,1.0,3,ridge_bridge,bvps_lags
bvps_growth_3m,30,30,0.0005760878718839859,1.0,3,ridge_bridge,bvps_lags
bvps_growth_1m,30,30,0.00033681387227730214,1.0,3,ridge_bridge,bvps_lags
current_bvps,30,29,0.02628353576836813,0.9666666666666667,3,elastic_net_bridge,bvps_lags
dividend_season_flag,30,28,0.018051250544727598,0.9333333333333333,3,elastic_net_bridge,bvps_lags
bvps_growth_3m,30,28,0.005609746905361315,0.9333333333333333,3,elastic_net_bridge,bvps_lags
bvps_yoy_dollar_change,30,25,0.010798534732940655,0.8333333333333334,3,elastic_net_bridge,bvps_lags
bvps_growth_ytd,30,22,0.00840347888492325,0.7333333333333333,3,elastic_net_bridge,bvps_lags
bvps_growth_6m,30,22,0.007407118705464139,0.7333333333333333,3,elastic_net_bridge,bvps_lags
month_of_year,30,21,0.007892600783969117,0.7,3,elastic_net_bridge,bvps_lags
bvps_growth_1m,30,20,0.003447812727196914,0.6666666666666666,3,elastic_net_bridge,bvps_lags
q4_flag,30,13,0.002715004871937931,0.43333333333333335,3,elastic_net_bridge,bvps_lags
monthly_combined_ratio_delta,30,30,0.0011687015569772385,1.0,3,ridge_bridge,accounting_core
pgr_premium_to_surplus,30,30,0.0008816836764022209,1.0,3,ridge_bridge,accounting_core
buyback_yield,30,30,0.000711879994751035,1.0,3,ridge_bridge,accounting_core
underwriting_income_growth_yoy,30,30,0.0006519766928002676,1.0,3,ridge_bridge,accounting_core
pif_growth_yoy,30,30,0.0006098894373303801,1.0,3,ridge_bridge,accounting_core
realized_gain_to_net_income_ratio,30,30,0.0005219022768977647,1.0,3,ridge_bridge,accounting_core
underwriting_margin_ttm,30,30,0.0004983705612155141,1.0,3,ridge_bridge,accounting_core
combined_ratio_ttm,30,30,0.0004944033756163734,1.0,3,ridge_bridge,accounting_core
unrealized_gain_pct_equity,30,30,0.0004912215857785419,1.0,3,ridge_bridge,accounting_core
npw_growth_yoy,30,30,0.0002598156586409284,1.0,3,ridge_bridge,accounting_core
investment_book_yield,30,21,0.0004879566709912775,0.7,3,ridge_bridge,accounting_core
monthly_combined_ratio_delta,30,30,0.02355640657707759,1.0,3,elastic_net_bridge,accounting_core
pgr_premium_to_surplus,30,28,0.030687092570498828,0.9333333333333333,3,elastic_net_bridge,accounting_core
underwriting_income_growth_yoy,30,26,0.00883171497970708,0.8666666666666667,3,elastic_net_bridge,accounting_core
realized_gain_to_net_income_ratio,30,25,0.009812085942765234,0.8333333333333334,3,elastic_net_bridge,accounting_core
pif_growth_yoy,30,22,0.010153473387411599,0.7333333333333333,3,elastic_net_bridge,accounting_core
buyback_yield,30,22,0.010034531908545046,0.7333333333333333,3,elastic_net_bridge,accounting_core
unrealized_gain_pct_equity,30,22,0.006538093802708432,0.7333333333333333,3,elastic_net_bridge,accounting_core
npw_growth_yoy,30,18,0.0023413504468969074,0.6,3,elastic_net_bridge,accounting_core
combined_ratio_ttm,30,17,0.010112333433373184,0.5666666666666667,3,elastic_net_bridge,accounting_core
