model_family,model_type,feature,experiment_mode,feature_group,family,n_benchmarks,mean_delta_ic,mean_delta_oos_r2,mean_delta_balanced_accuracy,mean_delta_brier_score,mean_delta_score,positive_benchmark_count
classification,ridge,ta_ratio_bb_pct_b_6m_vmbs,add_feature,ratio_bollinger,volatility,8,,,-0.024075943440206436,0.02839169500514956,-0.026233819222677996,3
classification,ridge,ta_ratio_bb_pct_b_6m_vmbs,replace_mom_12m,ratio_bollinger,volatility,8,,,0.001180786505730634,0.00861542418247679,-0.0037173188383730783,3
classification,ridge,ta_ratio_bb_pct_b_6m_vmbs,replace_vix,ratio_bollinger,volatility,8,,,-0.008470702466620274,0.012733519420294586,-0.01060211094345743,5
classification,ridge,ta_ratio_bb_pct_b_6m_vmbs,replace_vol_63d,ratio_bollinger,volatility,8,,,0.003074502305393044,-0.015864138552661382,0.009469320429027213,6
classification,ridge,ta_ratio_bb_pct_b_6m_voo,add_feature,ratio_bollinger,volatility,8,,,-0.009240158436011219,0.0128021593480452,-0.01102115889202821,3
classification,ridge,ta_ratio_bb_pct_b_6m_voo,replace_mom_12m,ratio_bollinger,volatility,8,,,0.009926670954847859,-0.01454770885904861,0.012237189906948233,6
classification,ridge,ta_ratio_bb_pct_b_6m_voo,replace_vix,ratio_bollinger,volatility,8,,,0.0048607859602465345,-0.004947894621616055,0.004904340290931295,5
classification,ridge,ta_ratio_bb_pct_b_6m_voo,replace_vol_63d,ratio_bollinger,volatility,8,,,-0.004453088273575899,-0.011870445711573224,0.0037086787189986627,5
classification,ridge,ta_ratio_bb_pct_b_6m_vwo,add_feature,ratio_bollinger,volatility,8,,,-0.0031363633164009155,0.004175348173249861,-0.0036558557448253884,4
classification,ridge,ta_ratio_bb_pct_b_6m_vwo,replace_mom_12m,ratio_bollinger,volatility,8,,,0.020334240846629166,-0.02358622627738788,0.021960233562008522,7
classification,ridge,ta_ratio_bb_pct_b_6m_vwo,replace_vix,ratio_bollinger,volatility,8,,,0.0039103358916047146,-0.010987293693600117,0.007448814792602416,7
classification,ridge,ta_ratio_bb_pct_b_6m_vwo,replace_vol_63d,ratio_bollinger,volatility,8,,,0.014737369003265659,-0.029242721668053317,0.021990045335659486,8
classification,ridge,ta_ratio_bb_pct_b_6m_vxus,add_feature,ratio_bollinger,volatility,8,,,-0.003275449753779351,0.019171236954174737,-0.011223343353977044,4
classification,ridge,ta_ratio_bb_pct_b_6m_vxus,replace_mom_12m,ratio_bollinger,volatility,8,,,0.0032775292949818458,-0.003221754213352499,0.0032496417541671724,6
classification,ridge,ta_ratio_bb_pct_b_6m_vxus,replace_vix,ratio_bollinger,volatility,8,,,0.0015730200579339784,0.004520451760778695,-0.0014737158514223584,5
classification,ridge,ta_ratio_bb_pct_b_6m_vxus,replace_vol_63d,ratio_bollinger,volatility,8,,,0.0008215281070001676,-0.009508760947560643,0.005165144527280405,6
classification,ridge,ta_ratio_bb_width_6m_bnd,add_feature,ratio_bollinger,volatility,8,,,-0.047098940055266734,0.06945883717335044,-0.058278888614308584,0
classification,ridge,ta_ratio_bb_width_6m_bnd,replace_mom_12m,ratio_bollinger,volatility,8,,,-0.05123964786111762,0.04982203802660562,-0.05053084294386162,1
classification,ridge,ta_ratio_bb_width_6m_bnd,replace_vix,ratio_bollinger,volatility,8,,,-0.04722755542066767,0.049596526334124744,-0.04841204087739621,2
classification,ridge,ta_ratio_bb_width_6m_bnd,replace_vol_63d,ratio_bollinger,volatility,8,,,-0.0433033432410931,0.0508934635230898,-0.04709840338209145,0
classification,ridge,ta_ratio_bb_width_6m_dbc,add_feature,ratio_bollinger,volatility,8,,,-0.007530632999901442,0.011864184508579768,-0.009697408754240605,2
classification,ridge,ta_ratio_bb_width_6m_dbc,replace_mom_12m,ratio_bollinger,volatility,8,,,-0.0031696966115654784,-0.00745390371515366,0.0021421035517940907,6
classification,ridge,ta_ratio_bb_width_6m_dbc,replace_vix,ratio_bollinger,volatility,8,,,0.005547087813873773,-0.009691735288805913,0.007619411551339843,6
classification,ridge,ta_ratio_bb_width_6m_dbc,replace_vol_63d,ratio_bollinger,volatility,8,,,0.00136783134378652,-0.01670493880431396,0.00903638507405024,7
classification,ridge,ta_ratio_bb_width_6m_gld,add_feature,ratio_bollinger,volatility,8,,,-0.016829503394532284,0.009968179281511808,-0.013398841338022046,3
classification,ridge,ta_ratio_bb_width_6m_gld,replace_mom_12m,ratio_bollinger,volatility,8,,,-0.03555259228577726,-0.013360399854318705,-0.011096096215729276,7
classification,ridge,ta_ratio_bb_width_6m_gld,replace_vix,ratio_bollinger,volatility,8,,,-0.006933654070143493,-0.00831459947891047,0.0006904727043834883,6
classification,ridge,ta_ratio_bb_width_6m_gld,replace_vol_63d,ratio_bollinger,volatility,8,,,0.0073808714324988325,-0.006050585331758784,0.006715728382128808,6
classification,ridge,ta_ratio_bb_width_6m_vde,add_feature,ratio_bollinger,volatility,8,,,-0.00010656408758524111,0.008400787018004258,-0.004253675552794749,4
classification,ridge,ta_ratio_bb_width_6m_vde,replace_mom_12m,ratio_bollinger,volatility,8,,,0.014923735037218298,-0.022630111281238728,0.018776923159228513,7
