model_family,benchmark,model_type,experiment_mode,feature,replaced_feature,n_features,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value,brier_score,accuracy,balanced_accuracy,precision,recall,base_rate,predicted_positive_rate,feature_group,family,baseline_ic,baseline_oos_r2,baseline_hit_rate,baseline_balanced_accuracy,baseline_brier_score,delta_ic,delta_oos_r2,delta_hit_rate,delta_balanced_accuracy,delta_brier_score
regression,GLD,gbt,replace_vol_63d,ta_ratio_rsi_6m_voo,vol_63d,12,180.0,0.1998391919899084,0.5944444444444444,0.1863724061871643,-0.7144087025791725,0.1998391919899084,0.0995970105015075,,,,,,,,ratio_oscillator,momentum,0.2361867880429047,-0.4412171354534386,0.6055555555555555,,,-0.036347596052996284,-0.27319156712573395,-0.011111111111111072,,
classification,GLD,ridge,replace_vol_63d,ta_ratio_rsi_6m_voo,vol_63d,12,180.0,,,,,,,0.2976077487517788,0.5888888888888889,0.625,0.7948717948717948,0.5166666666666667,0.6666666666666666,0.4333333333333333,ratio_oscillator,momentum,,,,0.6541666666666667,0.2974192251282321,,,,-0.029166666666666674,0.00018852362354671026
regression,GLD,ridge,replace_vix,ta_ratio_rsi_6m_voo,vix,12,180.0,0.2826239492988467,0.6555555555555556,0.1753104297268271,-0.6115103971281117,0.2826239492988467,0.0235684990080801,,,,,,,,ratio_oscillator,momentum,0.2123645791536775,-0.7766847838210735,0.5777777777777777,,,0.0702593701451692,0.1651743866929618,0.07777777777777783,,
regression,GLD,gbt,replace_vix,ta_ratio_rsi_6m_voo,vix,12,180.0,0.1796957709406315,0.5555555555555556,0.1793805830925595,-0.5546955331097296,0.1796957709406315,0.1344779290419758,,,,,,,,ratio_oscillator,momentum,0.2361867880429047,-0.4412171354534386,0.6055555555555555,,,-0.056491017102273194,-0.11347839765629103,-0.04999999999999993,,
classification,GLD,ridge,replace_vix,ta_ratio_rsi_6m_voo,vix,12,180.0,,,,,,,0.3015611667958395,0.6055555555555555,0.6541666666666667,0.8356164383561644,0.5083333333333333,0.6666666666666666,0.4055555555555555,ratio_oscillator,momentum,,,,0.6541666666666667,0.2974192251282321,,,,0.0,0.004141941667607396
regression,GLD,ridge,add_feature,ta_ratio_bb_pct_b_6m_voo,,13,180.0,0.2130374394271428,0.6277777777777778,0.1795480585661129,-0.6485963225017815,0.2130374394271428,0.1257192408552514,,,,,,,,ratio_bollinger,volatility,0.2123645791536775,-0.7766847838210735,0.5777777777777777,,,0.0006728602734652755,0.12808846131929208,0.050000000000000044,,
regression,GLD,gbt,add_feature,ta_ratio_bb_pct_b_6m_voo,,13,180.0,0.2525821296771089,0.6,0.1760334838695767,-0.523681088462282,0.2525821296771089,0.0272855903526021,,,,,,,,ratio_bollinger,volatility,0.2361867880429047,-0.4412171354534386,0.6055555555555555,,,0.016395341634204225,-0.0824639530088434,-0.005555555555555536,,
classification,GLD,ridge,add_feature,ta_ratio_bb_pct_b_6m_voo,,13,180.0,,,,,,,0.3286333191861513,0.5833333333333334,0.65,0.8571428571428571,0.45,0.6666666666666666,0.35,ratio_bollinger,volatility,,,,0.6541666666666667,0.2974192251282321,,,,-0.004166666666666652,0.031214094057919195
regression,GLD,ridge,replace_mom_12m,ta_ratio_bb_pct_b_6m_voo,mom_12m,12,180.0,0.1963373355144705,0.6388888888888888,0.1679679056717165,-0.4254871541527889,0.1963373355144705,0.1180643556323127,,,,,,,,ratio_bollinger,volatility,0.2123645791536775,-0.7766847838210735,0.5777777777777777,,,-0.016027243639207017,0.3511976296682846,0.061111111111111116,,
regression,GLD,gbt,replace_mom_12m,ta_ratio_bb_pct_b_6m_voo,mom_12m,12,180.0,0.305232428040013,0.6333333333333333,0.1589135667000435,-0.2700484614240763,0.305232428040013,0.0077708591297946,,,,,,,,ratio_bollinger,volatility,0.2361867880429047,-0.4412171354534386,0.6055555555555555,,,0.0690456399971083,0.1711686740293623,0.02777777777777779,,
