horizon_months,model_name,target_kind,n_obs,fold_count,n_features,target_mae,target_rmse,return_mae,return_rmse,implied_price_mae,implied_price_rmse,directional_hit_rate,spearman_ic,mean_predicted_return,mean_realized_return
6,drift,return,240,40,0,0.14065896636355474,0.20324642624622724,0.14065896636355474,0.20324642624622724,11.047911508854643,23.220396087075223,0.6125,0.10608616104325523,0.043717555994581506,0.04586512942417256
6,no_change,log_return,240,40,0,0.15686542948610285,0.2791937392006259,0.14459371054280587,0.20035990008188684,11.340208333333331,21.207671499169038,0.3125,,0.0,0.04586512942417256
6,drift,log_return,240,40,0,0.15345883456715514,0.2876275353477087,0.14065896636355474,0.20324642624622724,11.047911508854643,23.220396087075223,0.6125,0.10608616104325523,0.0437175559945815,0.04586512942417256
6,ridge_return,return,240,40,21,0.14237853452000176,0.20350782589512553,0.14237853452000176,0.20350782589512553,11.09681152378484,23.191815696504143,0.5958333333333333,0.09349988715081857,0.0446784884509326,0.04586512942417256
6,ridge_log_return,log_return,240,40,21,0.16216722492297925,0.28694919605974123,0.14824038764305858,0.2064314746808272,11.004130969466077,22.41472708691475,0.5791666666666667,0.1985728918904842,0.018745640984392187,0.04586512942417256
6,hist_gbt_return,return,240,40,21,0.16969117313298476,0.23211885836725554,0.16969117313298476,0.23211885836725554,11.645487250956709,22.797191495975497,0.5583333333333333,0.08011092410001941,0.03131862040348624,0.04586512942417256
6,hist_gbt_log_return,log_return,240,40,21,0.20703369650984438,0.34000848215805013,0.18177350617419438,0.24715259552934582,11.678055859156078,22.181265141544436,0.5833333333333334,0.1998394912576138,-0.00773795564142988,0.04586512942417256
12,no_change,return,228,38,0,0.21474810828618596,0.267534293312369,0.21474810828618596,0.267534293312369,15.216710526315788,26.99799624631038,0.25877192982456143,,0.0,0.14816121072817862
12,drift,return,228,38,0,0.19028972636104455,0.23886531126732344,0.19028972636104455,0.23886531126732344,12.445950835552841,24.90445411283784,0.6535087719298246,0.2725492624500612,0.08146474121260043,0.14816121072817862
12,no_change,log_return,228,38,0,0.19322516170400691,0.23116206743249845,0.21474810828618593,0.267534293312369,15.216710526315788,26.99799624631038,0.25877192982456143,,0.0,0.1481612107281786
12,drift,log_return,228,38,0,0.1731142290803818,0.21534040058090292,0.19028972636104455,0.23886531126732344,12.445950835552841,24.90445411283784,0.6535087719298246,0.2725492624500612,0.08146474121260044,0.1481612107281786
12,ridge_return,return,228,38,21,0.196885666918677,0.24577627160506138,0.196885666918677,0.24577627160506138,12.57176421439884,24.69073244350631,0.6359649122807017,0.23117476664942083,0.08564634869653451,0.14816121072817862
12,ridge_log_return,log_return,228,38,21,0.19861180244245633,0.2593148067748308,0.20903581503268076,0.2678940354972968,12.699356348462327,24.54690307868335,0.6535087719298246,0.3384416160343918,0.03865532999420482,0.1481612107281786
12,hist_gbt_return,return,228,38,21,0.23817886501437463,0.30505416768412846,0.23817886501437463,0.30505416768412846,13.717034178174412,24.172509093594773,0.618421052631579,0.0800017415026293,0.13144922428658135,0.14816121072817862
12,hist_gbt_log_return,log_return,228,38,21,0.25595737099703675,0.39887247885030025,0.24830629253410264,0.32571891556891575,13.613136812382075,23.123815074049297,0.6052631578947368,0.129028779675591,0.09820650064056262,0.1481612107281786
