benchmark,method,selector_penalty,n_features,features,n_obs,n_covered,coverage,accuracy,balanced_accuracy,balanced_accuracy_covered,brier_score,log_loss,precision,recall,base_rate,predicted_positive_rate,ece_10,production_eligible
VDE,l1_consensus,l1,6,credit_spread_hy|real_rate_10y|pgr_pe_vs_market_pe|real_yield_change_6m|combined_ratio_ttm|baa10y_spread,162,106,0.654320987654321,0.7283950617283951,0.5610944527736133,0.5214814814814814,0.2064406993563927,0.6223759935323132,0.5714285714285714,0.17391304347826086,0.2839506172839506,0.08641975308641975,0.11413080905644316,True
VDE,ridge_full_pool_control,ridge,72,mom_3m|mom_6m|mom_12m|vol_63d|high_52w|pe_ratio|pb_ratio|roe|combined_ratio_ttm|monthly_combined_ratio_delta|pif_growth_yoy|gainshare_est|cr_acceleration|pif_growth_acceleration|channel_mix_agency_pct|npw_growth_yoy|npw_per_pif_yoy|npw_vs_npe_spread_pct|underwriting_income|underwriting_income_3m|underwriting_income_growth_yoy|underwriting_margin_ttm|unearned_premium_growth_yoy|unearned_premium_to_npw_ratio|roe_net_income_ttm|roe_trend|book_value_per_share_growth_yoy|pgr_premium_to_surplus|direct_channel_pif_share_ttm|channel_mix_direct_pct_yoy|unrealized_gain_pct_equity|investment_income_growth_yoy|investment_book_yield|duration_rate_shock_3m|buyback_yield|buyback_acceleration|yield_slope|yield_curvature|real_rate_10y|real_yield_change_6m|breakeven_inflation_10y|breakeven_momentum_3m|baa10y_spread|credit_spread_hy|nfci|vix|vmt_yoy|usd_broad_return_3m|usd_momentum_6m|wti_return_3m|mortgage_spread_30y_10y|term_premium_10y|legal_services_ppi_relative|gasoline_retail_sales_delta|used_car_cpi_yoy|medical_cpi_yoy|severity_index_yoy|ppi_auto_ins_yoy|motor_vehicle_ins_cpi_yoy|rate_adequacy_gap_yoy|auto_pricing_power_spread|pgr_vs_kie_6m|pgr_vs_peers_6m|pgr_vs_vfh_6m|vwo_vxus_spread_6m|gold_vs_treasury_6m|commodity_equity_momentum|credit_spread_ratio|excess_bond_premium_proxy|pgr_pe_vs_market_pe|pgr_price_to_book_relative|equity_risk_premium,162,116,0.7160493827160493,0.691358024691358,0.49587706146926536,0.5067476383265858,0.22483450935423815,0.6586988256153794,0.25,0.043478260869565216,0.2839506172839506,0.04938271604938271,0.12589096821720136,False
VGT,elastic_net_consensus,elastic_net,12,usd_momentum_6m|roe|real_yield_change_6m|yield_curvature|roe_trend|underwriting_income_3m|book_value_per_share_growth_yoy|commodity_equity_momentum|baa10y_spread|breakeven_inflation_10y|medical_cpi_yoy|cr_acceleration,174,49,0.28160919540229884,0.6379310344827587,0.58157602663707,0.6533333333333333,0.2408247402367433,0.7012373160821946,0.5641025641025641,0.3235294117647059,0.39080459770114945,0.22413793103448276,0.10165538064975457,True
VGT,l1_consensus,l1,1,direct_channel_pif_share_ttm,174,0,0.0,0.6264367816091954,0.5405105438401776,,0.24178442393848082,0.6767110213677009,0.5882352941176471,0.14705882352941177,0.39080459770114945,0.09770114942528736,0.08067419126354433,True
VGT,ridge_full_pool_control,ridge,72,mom_3m|mom_6m|mom_12m|vol_63d|high_52w|pe_ratio|pb_ratio|roe|combined_ratio_ttm|monthly_combined_ratio_delta|pif_growth_yoy|gainshare_est|cr_acceleration|pif_growth_acceleration|channel_mix_agency_pct|npw_growth_yoy|npw_per_pif_yoy|npw_vs_npe_spread_pct|underwriting_income|underwriting_income_3m|underwriting_income_growth_yoy|underwriting_margin_ttm|unearned_premium_growth_yoy|unearned_premium_to_npw_ratio|roe_net_income_ttm|roe_trend|book_value_per_share_growth_yoy|pgr_premium_to_surplus|direct_channel_pif_share_ttm|channel_mix_direct_pct_yoy|unrealized_gain_pct_equity|investment_income_growth_yoy|investment_book_yield|duration_rate_shock_3m|buyback_yield|buyback_acceleration|yield_slope|yield_curvature|real_rate_10y|real_yield_change_6m|breakeven_inflation_10y|breakeven_momentum_3m|baa10y_spread|credit_spread_hy|nfci|vix|vmt_yoy|usd_broad_return_3m|usd_momentum_6m|wti_return_3m|mortgage_spread_30y_10y|term_premium_10y|legal_services_ppi_relative|gasoline_retail_sales_delta|used_car_cpi_yoy|medical_cpi_yoy|severity_index_yoy|ppi_auto_ins_yoy|motor_vehicle_ins_cpi_yoy|rate_adequacy_gap_yoy|auto_pricing_power_spread|pgr_vs_kie_6m|pgr_vs_peers_6m|pgr_vs_vfh_6m|vwo_vxus_spread_6m|gold_vs_treasury_6m|commodity_equity_momentum|credit_spread_ratio|excess_bond_premium_proxy|pgr_pe_vs_market_pe|pgr_price_to_book_relative|equity_risk_premium,174,74,0.42528735632183906,0.5517241379310345,0.5055493895671476,0.5,0.2552790145911728,0.8378002649873738,0.4,0.29411764705882354,0.39080459770114945,0.28735632183908044,0.15554642854497977,False
VIG,elastic_net_consensus,elastic_net,12,pb_ratio|wti_return_3m|monthly_combined_ratio_delta|real_yield_change_6m|baa10y_spread|yield_curvature|npw_per_pif_yoy|vwo_vxus_spread_6m|underwriting_income_3m|combined_ratio_ttm|mom_3m|commodity_equity_momentum,144,98,0.6805555555555556,0.7430555555555556,0.606087395807022,0.5743589743589743,0.17622226908861965,0.5338757832116183,0.5,0.32432432432432434,0.2569444444444444,0.16666666666666666,0.08467110863153038,True
VIG,l1_consensus,l1,6,underwriting_margin_ttm|underwriting_income_3m|excess_bond_premium_proxy|ppi_auto_ins_yoy|vol_63d|term_premium_10y,144,97,0.6736111111111112,0.7430555555555556,0.5795655468552665,0.6135724331926864,0.18304433146560495,0.5543962896121979,0.5,0.24324324324324326,0.2569444444444444,0.125,0.09109502104879114,True
VIG,ridge_full_pool_control,ridge,72,mom_3m|mom_6m|mom_12m|vol_63d|high_52w|pe_ratio|pb_ratio|roe|combined_ratio_ttm|monthly_combined_ratio_delta|pif_growth_yoy|gainshare_est|cr_acceleration|pif_growth_acceleration|channel_mix_agency_pct|npw_growth_yoy|npw_per_pif_yoy|npw_vs_npe_spread_pct|underwriting_income|underwriting_income_3m|underwriting_income_growth_yoy|underwriting_margin_ttm|unearned_premium_growth_yoy|unearned_premium_to_npw_ratio|roe_net_income_ttm|roe_trend|book_value_per_share_growth_yoy|pgr_premium_to_surplus|direct_channel_pif_share_ttm|channel_mix_direct_pct_yoy|unrealized_gain_pct_equity|investment_income_growth_yoy|investment_book_yield|duration_rate_shock_3m|buyback_yield|buyback_acceleration|yield_slope|yield_curvature|real_rate_10y|real_yield_change_6m|breakeven_inflation_10y|breakeven_momentum_3m|baa10y_spread|credit_spread_hy|nfci|vix|vmt_yoy|usd_broad_return_3m|usd_momentum_6m|wti_return_3m|mortgage_spread_30y_10y|term_premium_10y|legal_services_ppi_relative|gasoline_retail_sales_delta|used_car_cpi_yoy|medical_cpi_yoy|severity_index_yoy|ppi_auto_ins_yoy|motor_vehicle_ins_cpi_yoy|rate_adequacy_gap_yoy|auto_pricing_power_spread|pgr_vs_kie_6m|pgr_vs_peers_6m|pgr_vs_vfh_6m|vwo_vxus_spread_6m|gold_vs_treasury_6m|commodity_equity_momentum|credit_spread_ratio|excess_bond_premium_proxy|pgr_pe_vs_market_pe|pgr_price_to_book_relative|equity_risk_premium,144,85,0.5902777777777778,0.7361111111111112,0.5837332659762566,0.5938697318007663,0.19903654887808783,0.5913258705622737,0.47619047619047616,0.2702702702702703,0.2569444444444444,0.14583333333333334,0.12005204965336687,False
VMBS,elastic_net_consensus,elastic_net,12,duration_rate_shock_3m|pb_ratio|mortgage_spread_30y_10y|auto_pricing_power_spread|yield_curvature|motor_vehicle_ins_cpi_yoy|npw_vs_npe_spread_pct|real_yield_change_6m|channel_mix_agency_pct|baa10y_spread|mom_6m|roe,102,81,0.7941176470588235,0.8137254901960784,0.5333333333333333,0.47183098591549294,0.15031915306043264,0.5178016568282663,0.18181818181818182,0.16666666666666666,0.11764705882352941,0.10784313725490197,0.1481567298328295,True
VMBS,l1_consensus,l1,5,real_yield_change_6m|roe|excess_bond_premium_proxy|term_premium_10y|mom_12m,102,82,0.803921568627451,0.8333333333333334,0.5444444444444445,0.4930555555555556,0.1437499485864429,0.5982147497816364,0.2222222222222222,0.16666666666666666,0.11764705882352941,0.08823529411764706,0.15696051981366602,True
