benchmark,target,n_features,n_obs,accuracy,balanced_accuracy,brier_score,log_loss,precision,recall,base_rate,predicted_positive_rate,ece_10,feature_set,selected_feature_set,selected_next
POOLED,actionable_sell_3pct,16,1044,0.6848659003831418,0.5499934240810154,0.23997203768666134,0.8226327390650341,0.2834008097165992,0.3153153153153153,0.21264367816091953,0.23659003831417624,0.2199604873822212,lean_plus_benchmark_context,lean_baseline,False
VOO,actionable_sell_3pct,33,90,0.7777777777777778,0.63659961064244,0.20241855278059676,1.45048728310813,0.6153846153846154,0.34782608695652173,0.25555555555555554,0.14444444444444443,0.22221142664878796,lean_plus_ops_and_context,lean_baseline,False
VXUS,actionable_sell_3pct,33,90,0.7222222222222222,0.5354552780016116,0.22898882538617105,1.2299335748393991,0.25,0.23529411764705882,0.18888888888888888,0.17777777777777778,0.2351158155942579,lean_plus_ops_and_context,lean_baseline,False
VWO,actionable_sell_3pct,33,156,0.6025641025641025,0.4972903225806452,0.282139854646147,1.140227646751071,0.19607843137254902,0.3225806451612903,0.1987179487179487,0.3269230769230769,0.29232815807750967,lean_plus_ops_and_context,lean_baseline,False
VMBS,actionable_sell_3pct,33,102,0.7352941176470589,0.4888888888888889,0.22111828513272463,1.57614088459488,0.10526315789473684,0.16666666666666666,0.11764705882352941,0.18627450980392157,0.23191414229727308,lean_plus_ops_and_context,lean_baseline,False
BND,actionable_sell_3pct,33,132,0.6136363636363636,0.4642857142857143,0.3166368605963509,1.7831273181456853,0.12195121951219512,0.25,0.15151515151515152,0.3106060606060606,0.3191010225804035,lean_plus_ops_and_context,lean_baseline,False
GLD,actionable_sell_3pct,33,162,0.5925925925925926,0.5,0.31868968643517326,1.536611644127639,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.28684968442165554,lean_plus_ops_and_context,lean_baseline,False
DBC,actionable_sell_3pct,33,150,0.64,0.5247548433389141,0.24778937283097804,1.024985573321023,0.28205128205128205,0.2972972972972973,0.24666666666666667,0.26,0.24152292077883308,lean_plus_ops_and_context,lean_baseline,False
VDE,actionable_sell_3pct,33,162,0.6111111111111112,0.4726386806596702,0.31330684443256407,1.3105198658535728,0.22580645161290322,0.15217391304347827,0.2839506172839506,0.19135802469135801,0.29057608601625723,lean_plus_ops_and_context,lean_baseline,False
POOLED,actionable_sell_3pct,33,1044,0.6475095785440613,0.5081870191359242,0.27465752487287776,1.3699575737044662,0.22348484848484848,0.26576576576576577,0.21264367816091953,0.25287356321839083,0.25899679917003404,lean_plus_ops_and_context,lean_baseline,False
VOO,actionable_sell_3pct,26,90,0.8,0.6515249837767683,0.19346284712199488,0.7759366142298366,0.7272727272727273,0.34782608695652173,0.25555555555555554,0.12222222222222222,0.1755206183727042,lean_plus_inflation_and_context,lean_baseline,False
VXUS,actionable_sell_3pct,26,90,0.7222222222222222,0.5580177276390008,0.20239236967614585,0.6851333895561608,0.2777777777777778,0.29411764705882354,0.18888888888888888,0.2,0.23294887973696699,lean_plus_inflation_and_context,lean_baseline,False
VWO,actionable_sell_3pct,26,156,0.717948717948718,0.5086451612903226,0.19750608408922452,0.655140313774618,0.21739130434782608,0.16129032258064516,0.1987179487179487,0.14743589743589744,0.14714384918613532,lean_plus_inflation_and_context,lean_baseline,False
VMBS,actionable_sell_3pct,26,102,0.7745098039215687,0.6194444444444445,0.19833730751428633,0.7107518855276661,0.23809523809523808,0.4166666666666667,0.11764705882352941,0.20588235294117646,0.23227989958882586,lean_plus_inflation_and_context,lean_baseline,False
BND,actionable_sell_3pct,26,132,0.6060606060606061,0.6035714285714285,0.31775415619988107,1.0710179310594514,0.21428571428571427,0.6,0.15151515151515152,0.42424242424242425,0.3629084521028086,lean_plus_inflation_and_context,lean_baseline,False
GLD,actionable_sell_3pct,26,162,0.6172839506172839,0.5555555555555556,0.26110922326242014,0.8609079670499888,0.27586206896551724,0.4444444444444444,0.2222222222222222,0.35802469135802467,0.23565044190254042,lean_plus_inflation_and_context,lean_baseline,False
DBC,actionable_sell_3pct,26,150,0.6733333333333333,0.5468787371442239,0.246789105788604,0.77365975801557,0.3235294117647059,0.2972972972972973,0.24666666666666667,0.22666666666666666,0.2371405090168882,lean_plus_inflation_and_context,lean_baseline,False
VDE,actionable_sell_3pct,26,162,0.6358024691358025,0.4964392803598201,0.26782050022649645,0.9730859509197913,0.27586206896551724,0.17391304347826086,0.2839506172839506,0.17901234567901234,0.2585191685913086,lean_plus_inflation_and_context,lean_baseline,False
POOLED,actionable_sell_3pct,26,1044,0.6819923371647509,0.5481686065627671,0.24072495563993135,0.8244494510792046,0.28,0.3153153153153153,0.21264367816091953,0.23946360153256704,0.22225556401025684,lean_plus_inflation_and_context,lean_baseline,False
VOO,actionable_sell_3pct,56,90,0.5222222222222223,0.5220635950681376,0.39070465008793576,1.9228407604076965,0.2727272727272727,0.5217391304347826,0.25555555555555554,0.4888888888888889,0.394759438399726,lean_plus_all_curated,lean_baseline,False
VXUS,actionable_sell_3pct,56,90,0.5444444444444444,0.5612409347300564,0.37642280005711926,2.077196001769631,0.22727272727272727,0.5882352941176471,0.18888888888888888,0.4888888888888889,0.4050134751464226,lean_plus_all_curated,lean_baseline,False
VWO,actionable_sell_3pct,56,156,0.42948717948717946,0.5105806451612903,0.3613502376089343,1.7398497382520963,0.20408163265306123,0.6451612903225806,0.1987179487179487,0.6282051282051282,0.40973063138250415,lean_plus_all_curated,lean_baseline,False
VMBS,actionable_sell_3pct,56,102,0.5098039215686274,0.46944444444444444,0.4005204456118125,2.9204341561476324,0.10416666666666667,0.4166666666666667,0.11764705882352941,0.47058823529411764,0.42530864614145636,lean_plus_all_curated,lean_baseline,False
BND,actionable_sell_3pct,56,132,0.48484848484848486,0.4294642857142857,0.41010939626309806,2.5463633037871563,0.11290322580645161,0.35,0.15151515151515152,0.4696969696969697,0.441022067212418,lean_plus_all_curated,lean_baseline,False
GLD,actionable_sell_3pct,56,162,0.38271604938271603,0.5238095238095238,0.40151043238263756,2.1553243967322926,0.23333333333333334,0.7777777777777778,0.2222222222222222,0.7407407407407407,0.43939602160529956,lean_plus_all_curated,lean_baseline,False
DBC,actionable_sell_3pct,56,150,0.5466666666666666,0.48098541018895,0.34763842776751075,1.6398360042605042,0.22807017543859648,0.35135135135135137,0.24666666666666667,0.38,0.3658255177657074,lean_plus_all_curated,lean_baseline,False
VDE,actionable_sell_3pct,56,162,0.5,0.42784857571214396,0.4134784884395742,1.7962234533987378,0.2033898305084746,0.2608695652173913,0.2839506172839506,0.36419753086419754,0.40015038413739235,lean_plus_all_curated,lean_baseline,False
POOLED,actionable_sell_3pct,56,1044,0.4827586206896552,0.4824751759058329,0.38752260792864696,2.0608718966959314,0.20112781954887218,0.481981981981982,0.21264367816091953,0.5095785440613027,0.4023647357068967,lean_plus_all_curated,lean_baseline,False
