entry_name,entry_type,model_type,benchmark,n_features,feature_columns,mae,notes
gbt_lean_plus_two,model,gbt,VOO,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",0.21590894427395152,Base v14/v15 GBT replacement candidate.
gbt_lean_plus_two,model,gbt,VXUS,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",0.13945710356385546,Base v14/v15 GBT replacement candidate.
gbt_lean_plus_two,model,gbt,VMBS,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",0.12460551824270634,Base v14/v15 GBT replacement candidate.
gbt_lean_plus_two,model,gbt,VWO,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",0.14789755139966584,Base v14/v15 GBT replacement candidate.
gbt_lean_plus_two,model,gbt,BND,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",0.12697016978529224,Base v14/v15 GBT replacement candidate.
gbt_lean_plus_two,model,gbt,GLD,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",0.18793441401384886,Base v14/v15 GBT replacement candidate.
gbt_lean_plus_two,model,gbt,DBC,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",0.18729331836974744,Base v14/v15 GBT replacement candidate.
gbt_lean_plus_two,model,gbt,VDE,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",0.21698856323292448,Base v14/v15 GBT replacement candidate.
ridge_lean_v1__v16,model,ridge,VOO,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy",0.2316055177887026,v16 Ridge with book value growth replacing ROE net income TTM.
ridge_lean_v1__v16,model,ridge,VXUS,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy",0.13540155462034556,v16 Ridge with book value growth replacing ROE net income TTM.
ridge_lean_v1__v16,model,ridge,VMBS,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy",0.12384271707945117,v16 Ridge with book value growth replacing ROE net income TTM.
ridge_lean_v1__v16,model,ridge,VWO,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy",0.14601540838913898,v16 Ridge with book value growth replacing ROE net income TTM.
ridge_lean_v1__v16,model,ridge,BND,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy",0.13246565163656376,v16 Ridge with book value growth replacing ROE net income TTM.
ridge_lean_v1__v16,model,ridge,GLD,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy",0.1793232892250617,v16 Ridge with book value growth replacing ROE net income TTM.
ridge_lean_v1__v16,model,ridge,DBC,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy",0.19241164653134288,v16 Ridge with book value growth replacing ROE net income TTM.
ridge_lean_v1__v16,model,ridge,VDE,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy",0.19352845912294656,v16 Ridge with book value growth replacing ROE net income TTM.
gbt_lean_plus_two__v16,model,gbt,VOO,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",0.21841749277391379,v16 GBT with rate adequacy gap replacing vehicle miles traveled.
gbt_lean_plus_two__v16,model,gbt,VXUS,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",0.1404072987149397,v16 GBT with rate adequacy gap replacing vehicle miles traveled.
gbt_lean_plus_two__v16,model,gbt,VMBS,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",0.11791498590474904,v16 GBT with rate adequacy gap replacing vehicle miles traveled.
gbt_lean_plus_two__v16,model,gbt,VWO,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",0.1449781002608599,v16 GBT with rate adequacy gap replacing vehicle miles traveled.
gbt_lean_plus_two__v16,model,gbt,BND,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",0.124495328105734,v16 GBT with rate adequacy gap replacing vehicle miles traveled.
gbt_lean_plus_two__v16,model,gbt,GLD,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",0.18421741193594793,v16 GBT with rate adequacy gap replacing vehicle miles traveled.
gbt_lean_plus_two__v16,model,gbt,DBC,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",0.17040574697574198,v16 GBT with rate adequacy gap replacing vehicle miles traveled.
gbt_lean_plus_two__v16,model,gbt,VDE,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",0.1991082391050134,v16 GBT with rate adequacy gap replacing vehicle miles traveled.
ridge_lean_v1__v18,model,ridge,VOO,12,"mom_12m,vol_63d,yield_slope,real_yield_change_6m,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy",0.22546148113037473,v18 Ridge swap: real_yield_change_6m replacing yield_curvature on the v16 Ridge stack.
ridge_lean_v1__v18,model,ridge,VXUS,12,"mom_12m,vol_63d,yield_slope,real_yield_change_6m,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy",0.1376789179046301,v18 Ridge swap: real_yield_change_6m replacing yield_curvature on the v16 Ridge stack.
ridge_lean_v1__v18,model,ridge,VMBS,12,"mom_12m,vol_63d,yield_slope,real_yield_change_6m,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy",0.13088168919476967,v18 Ridge swap: real_yield_change_6m replacing yield_curvature on the v16 Ridge stack.
ridge_lean_v1__v18,model,ridge,VWO,12,"mom_12m,vol_63d,yield_slope,real_yield_change_6m,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy",0.15947942289605718,v18 Ridge swap: real_yield_change_6m replacing yield_curvature on the v16 Ridge stack.
ridge_lean_v1__v18,model,ridge,BND,12,"mom_12m,vol_63d,yield_slope,real_yield_change_6m,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy",0.1362330852655341,v18 Ridge swap: real_yield_change_6m replacing yield_curvature on the v16 Ridge stack.
ridge_lean_v1__v18,model,ridge,GLD,12,"mom_12m,vol_63d,yield_slope,real_yield_change_6m,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy",0.18313266748545315,v18 Ridge swap: real_yield_change_6m replacing yield_curvature on the v16 Ridge stack.
