benchmark,candidate_name,model_type,n_features,policy_name,threshold,notes,regression_ic,regression_oos_r2,brier_score,accuracy,balanced_accuracy,precision,recall,base_rate,predicted_positive_rate,avg_hold_fraction,mean_policy_return,uplift_vs_sell_50,uplift_vs_regression_sign
VHT,elasticnet_lean_v1,elasticnet,13,classifier_only_0.60,0.6,Drops weaker macro features and adds the strongest v9 add-one winners.,0.0947513015265333,-0.5563808200387332,0.30351226147817617,0.6197916666666666,0.6331914416937381,0.7325581395348837,0.5575221238938053,0.5885416666666666,0.4479166666666667,0.3802083333333333,0.03523194044844278,0.014463504969421143,0.011943649623446996
VHT,elasticnet_lean_v1,elasticnet,13,hybrid_confirm_0.60,0.6,Drops weaker macro features and adds the strongest v9 add-one winners.,0.0947513015265333,-0.5563808200387332,0.30351226147817617,0.6197916666666666,0.6331914416937381,0.7325581395348837,0.5575221238938053,0.5885416666666666,0.4479166666666667,0.2552083333333333,0.024361345825755314,0.0035929103467336695,0.0010730550007595312
VPU,ridge_lean_v1,ridge,12,regression_sign,,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.25197013265333806,-0.3334276533669289,0.31616945596783425,0.5833333333333334,0.5944022770398482,0.7340425531914894,0.5564516129032258,0.6458333333333334,0.4895833333333333,0.6145833333333334,0.049724961016911116,0.024990229807706026,0.0
VPU,ridge_lean_v1,ridge,12,classifier_only_0.50,0.5,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.25197013265333806,-0.3334276533669289,0.31616945596783425,0.5833333333333334,0.5944022770398482,0.7340425531914894,0.5564516129032258,0.6458333333333334,0.4895833333333333,0.4895833333333333,0.0493467232764318,0.02461199206722672,-0.0003782377404793133
VPU,ridge_lean_v1,ridge,12,hybrid_confirm_0.50,0.5,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.25197013265333806,-0.3334276533669289,0.31616945596783425,0.5833333333333334,0.5944022770398482,0.7340425531914894,0.5564516129032258,0.6458333333333334,0.4895833333333333,0.3802083333333333,0.047783624553740946,0.023048893344535862,-0.0019413364631701707
VPU,ridge_lean_v1,ridge,12,classifier_only_0.55,0.55,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.25197013265333806,-0.3334276533669289,0.31616945596783425,0.5833333333333334,0.5944022770398482,0.7340425531914894,0.5564516129032258,0.6458333333333334,0.4895833333333333,0.4791666666666667,0.04864387222618186,0.023909141016976786,-0.0010810887907292538
VPU,ridge_lean_v1,ridge,12,hybrid_confirm_0.55,0.55,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.25197013265333806,-0.3334276533669289,0.31616945596783425,0.5833333333333334,0.5944022770398482,0.7340425531914894,0.5564516129032258,0.6458333333333334,0.4895833333333333,0.375,0.04805148883566185,0.023316757626456755,-0.0016734721812492678
VPU,ridge_lean_v1,ridge,12,classifier_only_0.60,0.6,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.25197013265333806,-0.3334276533669289,0.31616945596783425,0.5833333333333334,0.5944022770398482,0.7340425531914894,0.5564516129032258,0.6458333333333334,0.4895833333333333,0.4427083333333333,0.04694443060800647,0.022209699398801384,-0.0027805304089046495
VPU,ridge_lean_v1,ridge,12,hybrid_confirm_0.60,0.6,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.25197013265333806,-0.3334276533669289,0.31616945596783425,0.5833333333333334,0.5944022770398482,0.7340425531914894,0.5564516129032258,0.6458333333333334,0.4895833333333333,0.3489583333333333,0.04662423607665142,0.02188950486744633,-0.0031007249402596956
VPU,gbt_lean_plus_two,gbt,13,regression_sign,,Adds the two strongest v9 GBT add-one winners.,0.2829468815751888,-0.30477710425451954,0.36641636982454157,0.5104166666666666,0.4682163187855788,0.6229508196721312,0.6129032258064516,0.6458333333333334,0.6354166666666666,0.5416666666666666,0.04740299532242074,0.02266826411321565,0.0
VPU,gbt_lean_plus_two,gbt,13,classifier_only_0.50,0.5,Adds the two strongest v9 GBT add-one winners.,0.2829468815751888,-0.30477710425451954,0.36641636982454157,0.5104166666666666,0.4682163187855788,0.6229508196721312,0.6129032258064516,0.6458333333333334,0.6354166666666666,0.6354166666666666,0.03217997000371103,0.007445238794505939,-0.015223025318709713
VPU,gbt_lean_plus_two,gbt,13,hybrid_confirm_0.50,0.5,Adds the two strongest v9 GBT add-one winners.,0.2829468815751888,-0.30477710425451954,0.36641636982454157,0.5104166666666666,0.4682163187855788,0.6229508196721312,0.6129032258064516,0.6458333333333334,0.6354166666666666,0.4427083333333333,0.03956758575493316,0.014832854545728066,-0.00783540956748758
