experiment_mode,step,candidate_feature,policy_name,threshold,feature_set_key,n_features,feature_columns,n_benchmarks,mean_regression_ic,mean_regression_oos_r2,mean_brier_score,mean_accuracy,mean_balanced_accuracy,mean_precision,mean_recall,mean_policy_return,mean_uplift_vs_sell_50,mean_uplift_vs_regression_sign,mean_avg_hold_fraction
forward_add,2,buyback_acceleration,classifier_only,0.5,investment_book_yield|buyback_acceleration,2,"investment_book_yield,buyback_acceleration",7,0.34416509131330436,-0.24135688947362957,0.26981443160388824,0.5733704721204721,0.5404237060304942,0.6970277012063305,0.6245128398940437,0.04901973667063629,0.013271942070001883,-0.020836698390544837,0.5981036324786324
forward_add,5,unearned_premium_growth_yoy,hybrid_confirm,0.55,investment_book_yield|roe|npw_growth_yoy|buyback_yield|unearned_premium_growth_yoy,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,unearned_premium_growth_yoy",7,0.34416509131330436,-0.24135688947362957,0.26771060065778957,0.6247697903947903,0.5833863272187727,0.7372279595806106,0.6771662846653618,0.04849034869493396,0.012742554094299549,-0.021366086366247174,0.4037571225071225
forward_add,5,unearned_premium_growth_yoy,hybrid_confirm,0.6,investment_book_yield|roe|npw_growth_yoy|buyback_yield|unearned_premium_growth_yoy,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,unearned_premium_growth_yoy",7,0.34416509131330436,-0.24135688947362957,0.26771060065778957,0.6247697903947903,0.5833863272187727,0.7372279595806106,0.6771662846653618,0.03965820689436084,0.003910412293726423,-0.030198228166820294,0.3318279405779406
forward_add,5,unearned_premium_growth_yoy,regression_sign,,investment_book_yield|roe|npw_growth_yoy|buyback_yield|unearned_premium_growth_yoy,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,unearned_premium_growth_yoy",7,0.34416509131330436,-0.24135688947362957,0.26771060065778957,0.6247697903947903,0.5833863272187727,0.7372279595806106,0.6771662846653618,0.06985643506118112,0.03410864046054672,0.0,0.6544022181522181
forward_add,5,unearned_premium_to_npw_ratio,classifier_only,0.5,investment_book_yield|roe|npw_growth_yoy|buyback_yield|unearned_premium_to_npw_ratio,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,unearned_premium_to_npw_ratio",7,0.34416509131330436,-0.24135688947362957,0.25268634518390903,0.6359193121693122,0.5919091979711275,0.7375822067468033,0.708034780757946,0.06373619105507175,0.027988396454437348,-0.0061202440061093755,0.643612382987383
forward_add,5,unearned_premium_to_npw_ratio,classifier_only,0.55,investment_book_yield|roe|npw_growth_yoy|buyback_yield|unearned_premium_to_npw_ratio,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,unearned_premium_to_npw_ratio",7,0.34416509131330436,-0.24135688947362957,0.25268634518390903,0.6359193121693122,0.5919091979711275,0.7375822067468033,0.708034780757946,0.05654401738281075,0.020796222782176344,-0.013312417678370375,0.556702787952788
forward_add,5,unearned_premium_to_npw_ratio,classifier_only,0.6,investment_book_yield|roe|npw_growth_yoy|buyback_yield|unearned_premium_to_npw_ratio,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,unearned_premium_to_npw_ratio",7,0.34416509131330436,-0.24135688947362957,0.25268634518390903,0.6359193121693122,0.5919091979711275,0.7375822067468033,0.708034780757946,0.04778287115228721,0.012035076551652799,-0.02207356390889392,0.4662451668701669
forward_add,5,unearned_premium_to_npw_ratio,hybrid_confirm,0.5,investment_book_yield|roe|npw_growth_yoy|buyback_yield|unearned_premium_to_npw_ratio,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,unearned_premium_to_npw_ratio",7,0.34416509131330436,-0.24135688947362957,0.25268634518390903,0.6359193121693122,0.5919091979711275,0.7375822067468033,0.708034780757946,0.054943223583953524,0.0191954289833191,-0.014913211477227616,0.4416514041514042
forward_add,5,unearned_premium_to_npw_ratio,hybrid_confirm,0.55,investment_book_yield|roe|npw_growth_yoy|buyback_yield|unearned_premium_to_npw_ratio,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,unearned_premium_to_npw_ratio",7,0.34416509131330436,-0.24135688947362957,0.25268634518390903,0.6359193121693122,0.5919091979711275,0.7375822067468033,0.708034780757946,0.046871344112274234,0.011123549511639822,-0.0229850909489069,0.3797601241351241
forward_add,5,unearned_premium_to_npw_ratio,hybrid_confirm,0.6,investment_book_yield|roe|npw_growth_yoy|buyback_yield|unearned_premium_to_npw_ratio,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,unearned_premium_to_npw_ratio",7,0.34416509131330436,-0.24135688947362957,0.25268634518390903,0.6359193121693122,0.5919091979711275,0.7375822067468033,0.708034780757946,0.039788298030672124,0.004040503430037713,-0.030068137030509007,0.3266582722832723
forward_add,5,unearned_premium_to_npw_ratio,regression_sign,,investment_book_yield|roe|npw_growth_yoy|buyback_yield|unearned_premium_to_npw_ratio,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,unearned_premium_to_npw_ratio",7,0.34416509131330436,-0.24135688947362957,0.25268634518390903,0.6359193121693122,0.5919091979711275,0.7375822067468033,0.708034780757946,0.06985643506118112,0.03410864046054672,0.0,0.6544022181522181
