target_variant,item_type,item_name,benchmark,horizon_months,gate_status,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value,strategy,n_features,model_type,brier_score,accuracy,balanced_accuracy,precision,recall,base_rate,predicted_positive_rate
binary_outperform_3pct,baseline,historical_mean,KIE,6,FAIL,168,-0.06531085960403622,0.5535714285714286,0.5073412698412699,-0.17325378642946987,-0.06531085960403622,0.6286261399231651,historical_mean,,,0.2834623015873016,0.5297619047619048,0.5301075268817204,0.5833333333333334,0.5268817204301075,0.5535714285714286,0.5
binary_outperform_3pct,baseline,last_value,KIE,6,FAIL,168,0.14833945923416833,0.5773809523809523,0.4226190476190476,-0.7492251881809895,0.14833945923416833,0.23180192380791148,last_value,,,0.4226190476190476,0.5773809523809523,0.5744086021505377,0.6222222222222222,0.6021505376344086,0.5535714285714286,0.5357142857142857
binary_outperform_3pct,baseline,zero,KIE,6,FAIL,168,,0.44642857142857145,0.5535714285714286,-1.2912386267722824,,3.6931019457497505e-29,zero,,,0.5535714285714286,0.44642857142857145,0.5,0.0,0.0,0.5535714285714286,0.0
binary_outperform_3pct,model,elasticnet,KIE,6,FAIL,168,0.19149492484329497,0.5238095238095238,0.4515209100006719,-0.14889152300259045,0.19149492484329497,0.11208985679435682,,14.0,elasticnet,0.26201145320758185,0.6071428571428571,0.6103225806451613,0.6666666666666666,0.5806451612903226,0.5535714285714286,0.48214285714285715
binary_outperform_3pct,model,ridge,KIE,6,FAIL,168,0.20776435950244873,0.5416666666666666,0.45773843429408473,-0.12600634958208112,0.20776435950244873,0.09426176752793528,,14.0,ridge,0.25713494528391917,0.6130952380952381,0.6144086021505377,0.6666666666666666,0.6021505376344086,0.5535714285714286,0.5
binary_outperform_3pct,model,bayesian_ridge,KIE,6,FAIL,168,0.24035484726753875,0.5238095238095238,0.48494855246452817,-0.5571553513078831,0.24035484726753875,0.04189689308862306,,16.0,bayesian_ridge,0.2748793664942433,0.5773809523809523,0.576989247311828,0.627906976744186,0.5806451612903226,0.5535714285714286,0.5119047619047619
binary_outperform_3pct,model,gbt,KIE,6,FAIL,168,0.1735726612828327,0.5535714285714286,0.4486277040222473,-0.1938785236804157,0.1735726612828327,0.17406680516510048,,11.0,gbt,0.28724781573819064,0.5773809523809523,0.5808602150537634,0.6375,0.5483870967741935,0.5535714285714286,0.47619047619047616
binary_outperform_3pct,ensemble,ensemble,KIE,6,FAIL,222,0.1024949311383021,0.5,0.4712535600150531,-0.2385449567397635,0.1024949311383021,0.3703600619405275,,13.0,ensemble,0.2994619431389429,0.5675675675675675,0.5764705882352941,0.6363636363636364,0.4666666666666667,0.5405405405405406,0.3963963963963964
binary_outperform_3pct,baseline,historical_mean,VXUS,6,FAIL,102,-0.3162128857605646,0.6470588235294118,0.47320261437908495,-0.1572425469199572,-0.3162128857605646,0.02870607726420978,historical_mean,,,0.257156862745098,0.6470588235294118,0.5,0.6470588235294118,1.0,0.6470588235294118,1.0
binary_outperform_3pct,baseline,last_value,VXUS,6,FAIL,102,-0.07280814607143535,0.5686274509803921,0.43137254901960786,-0.9412379742462114,-0.07280814607143535,0.6488560643237189,last_value,,,0.43137254901960786,0.5686274509803921,0.4709595959595959,0.6309523809523809,0.803030303030303,0.6470588235294118,0.8235294117647058
binary_outperform_3pct,baseline,zero,VXUS,6,FAIL,102,,0.35294117647058826,0.6470588235294118,-1.9118569613693168,,2.333421201926584e-19,zero,,,0.6470588235294118,0.35294117647058826,0.5,0.0,0.0,0.6470588235294118,0.0
binary_outperform_3pct,model,elasticnet,VXUS,6,FAIL,102,-0.09557345651104963,0.6274509803921569,0.49491321234648017,-0.3975275520552377,-0.09557345651104963,0.5644847643863735,,14.0,elasticnet,0.2923071721698309,0.5784313725490197,0.49747474747474746,0.6455696202531646,0.7727272727272727,0.6470588235294118,0.7745098039215687
binary_outperform_3pct,model,ridge,VXUS,6,FAIL,102,-0.15119862422149982,0.5392156862745098,0.571908207679083,-0.9966880664040669,-0.15119862422149982,0.3442586169963278,,14.0,ridge,0.3760007002871859,0.5294117647058824,0.4659090909090909,0.625,0.6818181818181818,0.6470588235294118,0.7058823529411765
