candidate_name,model_type,candidate_feature,replace_feature,priority_rank,research_source,candidate_available_now,status,notes,benchmark,ic,ic_delta,hit_rate,hit_rate_delta,oos_r2,oos_r2_delta,mae,mae_delta,policy_return_sign,policy_return_sign_delta,policy_return_neutral_3pct,policy_return_neutral_3pct_delta
ridge_lean_v1,ridge,cr_acceleration,combined_ratio_ttm,4,gemini;claude,True,queued_available,Immediate stand-in for monthly combined ratio delta,VMBS,0.22074449614556566,-0.19325647614417665,0.7583333333333333,0.025000000000000022,-0.15726065504902964,0.07508694316711506,0.12034814783673567,-0.005798312266469929,0.11124336317349016,0.002200151472404155,0.10740501551980311,0.0003265542826667994
ridge_lean_v1,ridge,cr_acceleration,combined_ratio_ttm,4,gemini;claude,True,queued_available,Immediate stand-in for monthly combined ratio delta,BND,0.26509800435574915,-0.174784657095871,0.7266666666666667,0.0,-0.08725804688120142,0.3534069640191311,0.11056123728212214,-0.018004274652535956,0.09412854549325654,0.0014955648289417672,0.09378778947594113,0.0014010949150551344
ridge_lean_v1,ridge,cr_acceleration,combined_ratio_ttm,4,gemini;claude,True,queued_available,Immediate stand-in for monthly combined ratio delta,GLD,0.15111371750156896,-0.10842104180170173,0.5777777777777777,-0.04444444444444451,-0.4699322840721092,0.05746291013859284,0.16988076052745416,-0.005865642708529767,0.03847864981777434,-0.0065823832930482495,0.03845155751256048,-0.007050908697445443
ridge_lean_v1,ridge,cr_acceleration,combined_ratio_ttm,4,gemini;claude,True,queued_available,Immediate stand-in for monthly combined ratio delta,DBC,0.04828888292729842,0.059720795096198154,0.6190476190476191,0.0,-0.9462413345459086,0.9388928444247349,0.19422185942048,-0.025804868144155974,0.07617207873754131,0.004227822627994954,0.07692214060448625,0.0036937249463948746
ridge_lean_v1,ridge,cr_acceleration,combined_ratio_ttm,4,gemini;claude,True,queued_available,Immediate stand-in for monthly combined ratio delta,VDE,-0.016074570202784036,-0.012422194100640965,0.5666666666666667,-0.033333333333333326,-0.8122181249369351,0.08871616232373469,0.22304722809742142,0.004252854403864387,0.04367413064363555,-0.0090848172960988,0.041943446867228035,-0.005873040626893998
gbt_lean_plus_two,gbt,pgr_vs_peers_6m,mom_3m,5,claude,True,queued_available,Immediate repo-ready relative feature,VOO,0.06672732211353938,-0.04602669605089771,0.6111111111111112,0.0185185185185186,-0.2537063376506734,-0.06282691271549368,0.1396004343474202,0.0002576461051219947,0.04805599765552777,0.002258976235061265,0.048912149931524415,0.002655136750632496
gbt_lean_plus_two,gbt,pgr_vs_peers_6m,mom_3m,5,claude,True,queued_available,Immediate repo-ready relative feature,VXUS,0.2680302860885091,0.05483217145028843,0.6944444444444444,-0.0092592592592593,0.010752736415168829,0.0646680210552083,0.13786301596893064,-0.004953826209076639,0.07904389451028519,-0.0005212629388764572,0.07634872299303377,-0.0004422617179044991
gbt_lean_plus_two,gbt,pgr_vs_peers_6m,mom_3m,5,claude,True,queued_available,Immediate repo-ready relative feature,VWO,0.11635000564891872,0.030383318933230985,0.5919540229885057,0.005747126436781658,-0.14973369219115962,0.047387476952194474,0.14223874832142683,-0.0030417985312293228,0.06671395531389224,0.0017711966988521316,0.06205136571686752,-0.005234129023282907
gbt_lean_plus_two,gbt,pgr_vs_peers_6m,mom_3m,5,claude,True,queued_available,Immediate repo-ready relative feature,VMBS,0.03925320295522335,-0.06459956205739195,0.7,0.008333333333333304,-0.28894553275450163,-0.027493896198430345,0.13898939269578758,0.0033922385997759985,0.10518519055054498,0.0035509435752647672,0.10147883987393401,-0.002939724906865296
gbt_lean_plus_two,gbt,pgr_vs_peers_6m,mom_3m,5,claude,True,queued_available,Immediate repo-ready relative feature,BND,0.21247018728253425,0.01632374324833158,0.68,0.046666666666666745,-0.20223943075231188,0.04966222452059488,0.12588959620082865,-0.0028063649731869256,0.09221055401879129,0.008193837867318143,0.08878561929848622,0.004526228719685846
gbt_lean_plus_two,gbt,pgr_vs_peers_6m,mom_3m,5,claude,True,queued_available,Immediate repo-ready relative feature,GLD,0.0143473056241682,-0.07262509611920002,0.5555555555555556,0.0,-0.5592394808130683,0.007356088822062512,0.18877099721704,0.00194606437399919,0.04730492000340092,0.006277633156482887,0.04601171585494923,0.0026831506672915367
gbt_lean_plus_two,gbt,pgr_vs_peers_6m,mom_3m,5,claude,True,queued_available,Immediate repo-ready relative feature,DBC,-0.1262899611178867,-0.18059255457674672,0.6666666666666666,-0.017857142857142905,-0.7367284156823171,-0.10809093413255666,0.20068258972173364,0.010430955874248471,0.08654984241286734,-0.006635095784067194,0.0899214594304637,-0.002232803255792143
gbt_lean_plus_two,gbt,pgr_vs_peers_6m,mom_3m,5,claude,True,queued_available,Immediate repo-ready relative feature,VDE,-0.17550579682985235,-0.1636627290519338,0.4777777777777778,-0.055555555555555525,-0.8643639647899835,-0.19199823519864267,0.23148148283547484,0.013677475874515926,0.024003655208652788,-0.013309872421328264,0.02532438125380921,-0.015726483127751247
ridge_lean_v1,ridge,unearned_premium_growth_yoy,investment_income_growth_yoy,6,chatgpt,True,queued_available,Already available but not in current winner,VOO,0.18706831670906093,-0.1414158735602618,0.49074074074074076,-0.08333333333333331,-0.5683923855383115,-0.11498290381512177,0.16285382741237434,0.009065664594722356,0.03213363692725991,-0.010186625988862053,0.03225778485111122,-0.008976036499394935
ridge_lean_v1,ridge,unearned_premium_growth_yoy,investment_income_growth_yoy,6,chatgpt,True,queued_available,Already available but not in current winner,VXUS,0.30420036773462134,-0.1107205121609649,0.6018518518518519,-0.10185185185185186,-0.5670156182542034,-0.5402579154439713,0.17173764447811515,0.028617825220317056,0.06721580071922342,-0.017425622518654524,0.06662175007244917,-0.017204690588206284
ridge_lean_v1,ridge,unearned_premium_growth_yoy,investment_income_growth_yoy,6,chatgpt,True,queued_available,Already available but not in current winner,VWO,0.19587004185768386,-0.14819100771662064,0.5919540229885057,-0.028735632183908066,-0.627599695084337,0.08524655482309873,0.158797558161525,0.003348783839969699,0.06998947778078046,-0.0073400362099983185,0.06819405896980178,-0.0061044875890926414
