snapshot_date,fold_idx,train_start_date,train_end_date,target_scale,scale_column,model_name,actual_scaled_target,predicted_scaled_target,actual_dollars,predicted_dollars,feature_set
2024-11-29 00:00:00,1,,,to_current_bvps,current_bvps,trailing_2_mean,0.09706643658326143,0.03726783475645516,4.5,1.7277368193092613,baseline_only
2025-11-28 00:00:00,2,,,to_current_bvps,current_bvps,trailing_2_mean,0.22332506203473945,0.0615134882812465,13.5,3.718490366601351,baseline_only
2023-11-30 00:00:00,0,,,to_current_bvps,current_bvps,trailing_2_median,0.02596053997923157,0.09918769792263166,0.75,2.8655325929848288,baseline_only
2024-11-29 00:00:00,1,,,to_current_bvps,current_bvps,trailing_2_median,0.09706643658326143,0.03726783475645516,4.5,1.7277368193092613,baseline_only
2025-11-28 00:00:00,2,,,to_current_bvps,current_bvps,trailing_2_median,0.22332506203473945,0.0615134882812465,13.5,3.718490366601351,baseline_only
2023-11-30 00:00:00,0,,,to_persistent_bvps,persistent_bvps,historical_mean,0.014553046825883462,0.06351061537751608,0.75,3.2730576698495186,baseline_only
2024-11-29 00:00:00,1,,,to_persistent_bvps,persistent_bvps,historical_mean,0.06414313326377365,0.05127122323960792,4.5,3.5969634291086385,baseline_only
2025-11-28 00:00:00,2,,,to_persistent_bvps,persistent_bvps,historical_mean,0.15143764807236695,0.05384560524444106,13.5,4.800098786878847,baseline_only
2023-11-30 00:00:00,0,,,to_persistent_bvps,persistent_bvps,prior_positive_year,0.014553046825883462,0.02928223388305847,0.75,1.5090774925037487,baseline_only
2024-11-29 00:00:00,1,,,to_persistent_bvps,persistent_bvps,prior_positive_year,0.06414313326377365,0.014553046825883462,4.5,1.02097773189795,baseline_only
2025-11-28 00:00:00,2,,,to_persistent_bvps,persistent_bvps,prior_positive_year,0.15143764807236695,0.06414313326377365,13.5,5.718078100679062,baseline_only
2023-11-30 00:00:00,0,,,to_persistent_bvps,persistent_bvps,trailing_2_mean,0.014553046825883462,0.06410732163048574,0.75,3.303809284620062,baseline_only
2024-11-29 00:00:00,1,,,to_persistent_bvps,persistent_bvps,trailing_2_mean,0.06414313326377365,0.02191764035447097,4.5,1.537645209652124,baseline_only
2025-11-28 00:00:00,2,,,to_persistent_bvps,persistent_bvps,trailing_2_mean,0.15143764807236695,0.03934809004482855,13.5,3.5077090959002692,baseline_only
2023-11-30 00:00:00,0,,,to_persistent_bvps,persistent_bvps,trailing_2_median,0.014553046825883462,0.06410732163048574,0.75,3.303809284620062,baseline_only
2024-11-29 00:00:00,1,,,to_persistent_bvps,persistent_bvps,trailing_2_median,0.06414313326377365,0.02191764035447097,4.5,1.537645209652124,baseline_only
2025-11-28 00:00:00,2,,,to_persistent_bvps,persistent_bvps,trailing_2_median,0.15143764807236695,0.03934809004482855,13.5,3.5077090959002692,baseline_only
