candidate_name,model_type,candidate_feature,replace_feature,benchmark,ic,ic_delta,oos_r2,oos_r2_delta,policy_return_sign,policy_return_sign_delta
gbt_lean_plus_two__v16,gbt,commodity_equity_momentum,yield_curvature,BND,0.24483859986682915,0.004609107066092216,-0.11466129322719043,0.06866444722390797,0.09537916413881611,0.011060793636191904
gbt_lean_plus_two__v16,gbt,commodity_equity_momentum,yield_curvature,GLD,0.14563723105063778,0.003673941563254346,-0.4553362316269989,0.08975498431928663,0.03994567430518207,-0.008950697110561914
gbt_lean_plus_two__v16,gbt,commodity_equity_momentum,yield_curvature,DBC,0.2041653590573427,0.11020754691326128,-0.2946953674043469,-0.05154963356758491,0.09734318966119179,0.0006743013916653828
gbt_lean_plus_two__v16,gbt,commodity_equity_momentum,yield_curvature,VDE,0.08020387924042185,0.06485638193792885,-0.4679910474355138,-0.01978171922634564,0.04669605267455836,0.0038314006534969636
gbt_lean_plus_two__v16,gbt,vwo_vxus_spread_6m,real_rate_10y,VOO,0.1365704243738074,-0.02582554782037899,-0.20389400318276318,0.03195570280503257,0.047958748903077913,0.0011386328579377214
gbt_lean_plus_two__v16,gbt,vwo_vxus_spread_6m,real_rate_10y,VXUS,0.2092133126194042,-0.014195073398064278,-0.07736242681294625,-0.021718427568189647,0.08219567861339375,0.000992107504651743
gbt_lean_plus_two__v16,gbt,vwo_vxus_spread_6m,real_rate_10y,VWO,0.24950026144315995,0.05571312243524526,-0.12117840750243558,0.06761512060156716,0.07654311168212061,0.006396382150502936
gbt_lean_plus_two__v16,gbt,vwo_vxus_spread_6m,real_rate_10y,VMBS,0.10788351492865135,-0.04638789250581303,-0.23296292622871007,-0.07879776316112763,0.10136604715968091,-0.006564082492230394
gbt_lean_plus_two__v16,gbt,vwo_vxus_spread_6m,real_rate_10y,BND,0.21187432832235586,-0.028355164478381073,-0.1925252761510503,-0.00919953569995191,0.08679673413084828,0.0024783636282240673
gbt_lean_plus_two__v16,gbt,vwo_vxus_spread_6m,real_rate_10y,GLD,0.09225805423408158,-0.04970523525330185,-0.5188768142976952,0.026214401648590346,0.049998752552039075,0.0011023811362950928
gbt_lean_plus_two__v16,gbt,vwo_vxus_spread_6m,real_rate_10y,DBC,0.23106899689881294,0.1371111847547315,-0.11818426785982705,0.12496146597693492,0.11388374643311838,0.017214858163591973
gbt_lean_plus_two__v16,gbt,vwo_vxus_spread_6m,real_rate_10y,VDE,0.1727409005295646,0.15739340322707157,-0.30927573314989276,0.13893359505927538,0.053184609044023744,0.010319957022962345
gbt_lean_plus_two__v16,gbt,gold_vs_treasury_6m,credit_spread_hy,VOO,0.03398816728361887,-0.12840780491056752,-0.35149448906121505,-0.1156447830734193,0.028198253286439576,-0.018621862758700616
gbt_lean_plus_two__v16,gbt,gold_vs_treasury_6m,credit_spread_hy,VXUS,0.11296757219215169,-0.1104408138253168,-0.19264044759033205,-0.13699644834557545,0.06409561366001436,-0.017107957448727645
gbt_lean_plus_two__v16,gbt,gold_vs_treasury_6m,credit_spread_hy,VWO,0.17960043740376969,-0.014186701604145008,-0.2955124930800894,-0.10671896497608668,0.059654414880019664,-0.010492314651598007
gbt_lean_plus_two__v16,gbt,gold_vs_treasury_6m,credit_spread_hy,VMBS,0.14657311397895978,-0.007698293455504601,-0.1714363900709528,-0.01727122700337036,0.10681482057498784,-0.0011153090769234625
gbt_lean_plus_two__v16,gbt,gold_vs_treasury_6m,credit_spread_hy,BND,0.22090677888604418,-0.019322713914692757,-0.1866358638660648,-0.0033101234149663927,0.08978476512949388,0.005466394626869667
gbt_lean_plus_two__v16,gbt,gold_vs_treasury_6m,credit_spread_hy,GLD,0.11811004180093097,-0.02385324768645246,-0.5297753481966505,0.015315867749635004,0.046846154747056674,-0.0020502166686873075
gbt_lean_plus_two__v16,gbt,gold_vs_treasury_6m,credit_spread_hy,DBC,0.1288988550346535,0.03494104289057208,-0.2961475732770318,-0.053001839440269816,0.09273096474104202,-0.003937923528484391
gbt_lean_plus_two__v16,gbt,gold_vs_treasury_6m,credit_spread_hy,VDE,-0.006656662810657936,-0.022004160113150945,-0.5027789893756764,-0.0545696611665083,0.048053938912018895,0.005189286890957497
gbt_lean_plus_two__v16,gbt,breakeven_inflation_10y,nfci,VOO,0.0472696006517269,-0.1151263715424595,-0.35695922689697723,-0.12110952090918148,0.03684559412810405,-0.009974521917036142
gbt_lean_plus_two__v16,gbt,breakeven_inflation_10y,nfci,VXUS,0.09978038371371226,-0.12362800230375623,-0.19357368778267592,-0.13792968853791931,0.07623177619266788,-0.004971794916074121
gbt_lean_plus_two__v16,gbt,breakeven_inflation_10y,nfci,VWO,0.09732672707402784,-0.09646041193388685,-0.32241040825714773,-0.133616880153145,0.07082905862793826,0.0006823290963205858
gbt_lean_plus_two__v16,gbt,breakeven_inflation_10y,nfci,VMBS,0.15405878444312898,-0.0002126229913353983,-0.12266834955878103,0.0314968135088014,0.1083202624545249,0.00039013280261360195
gbt_lean_plus_two__v16,gbt,breakeven_inflation_10y,nfci,BND,0.2540791608956884,0.013849668094951445,-0.16662905195028443,0.01669668850081396,0.09041640923838015,0.006098038735755942
gbt_lean_plus_two__v16,gbt,breakeven_inflation_10y,nfci,GLD,0.15648374307900156,0.014520453591618132,-0.4194306217994741,0.1256605941468114,0.05595074189305549,0.007054370477311507
gbt_lean_plus_two__v16,gbt,breakeven_inflation_10y,nfci,DBC,0.24050481541374327,0.14654700326966186,-0.139956756569106,0.10318897726765597,0.10382070097640633,0.007151812706879923
gbt_lean_plus_two__v16,gbt,breakeven_inflation_10y,nfci,VDE,0.034026406687496596,0.018678909385003585,-0.48187331587636706,-0.033663987667198914,0.039172386011574016,-0.0036922660094873827
